configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,USDRUBF_trades,USDRUBF_expectancy_C1,CNYRUBF_trades,CNYRUBF_expectancy_C1,GLDRUBF_trades,GLDRUBF_expectancy_C1,IMOEXF_trades,IMOEXF_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T2-H1-2696ace53d38,217,2.05897344204,0.432872149378,93.9332564151,-8.54634321303,10.9910465884,0.400921658986,67,0.647433484947,61,0.349278266677,54,0.217243786396,35,0.500516405456,73,0.45573657728,144,0.421281154678,145,0.61767522515,72,0.0606992884483,0.100568829223,0.16721247079,0.218203881433,0.342008717017,75.5658240635,1.85190489357,0.349841778072,63.3943332787,1.7146874055,0.296235202237,54.0814945719,1.60969744522,0.25510138949
T2-H1-8b4dd7c871ba,156,2.16242980003,0.48746914515,76.0451866435,-6.30247965189,12.0659154561,0.410256410256,43,1.07512540644,46,0.0810988498369,43,0.393207030378,24,0.382347698654,51,0.524745137823,105,0.469363662995,105,0.691250327486,51,0.0679196521058,0.129837886122,0.212985737403,0.278171346496,0.414178842654,57.6777542919,1.88166448591,0.372114543819,45.9152974375,1.70186309449,0.300099983252,36.6938575244,1.56090379086,0.24300567897
T2-H1-22d7ea10c462,206,2.39142989647,0.568624374043,117.136621053,-11.5049056973,10.181449908,0.398058252427,62,0.959024866872,55,0.507977557083,54,0.277752290531,35,0.42113399939,83,0.425853690641,123,0.664965566909,133,0.745167634508,73,0.246977063882,0.091234570738,0.198576063128,0.261366280778,0.395744350869,98.7691887014,2.17324881641,0.481800920495,77.1590952462,1.91654916238,0.380094065252,64.5181076722,1.76639075868,0.32098561031
T2-H1-1d7fc9f67a72,182,2.32698403851,0.51889811465,94.4394568664,-6.10083845361,15.4797504613,0.412087912088,55,0.830081739119,49,0.298829528197,48,0.471775967432,30,0.383235596548,64,0.538077977495,118,0.508495477175,123,0.660927556803,59,0.222802836943,0.110909120897,0.200553770471,0.262751177518,0.397737251174,76.0720245148,2.06890028445,0.420287428259,61.2261577061,1.86029861576,0.342045573777,50.9257725157,1.71556624232,0.287716228902
T2-H1-ee4694de69de,179,2.24493810611,0.494134362178,88.4500508299,-6.56815244945,13.4665039386,0.40782122905,56,0.770627110537,46,0.342757625356,46,0.413300925634,31,0.339233525621,59,0.565237920148,120,0.459175112843,119,0.703100460831,60,0.0796849331837,0.115157903758,0.208236722204,0.272816830285,0.406293768778,70.0826184784,1.98641573974,0.393722575721,55.2367516696,1.77745955334,0.313845179941,44.9363664792,1.63248120781,0.258254979766
T2-H1-2584c9b32dae,182,2.13964967274,0.454538757525,82.7260538695,-5.66625726091,14.599770194,0.401098901099,55,0.694557391116,46,0.329416191454,49,0.326853124751,32,0.417389044952,64,0.435226325754,118,0.46501329679,124,0.633800617302,58,0.0712892642081,0.118259173382,0.196625621751,0.260072551312,0.397175612419,64.358621518,1.88661647111,0.355572494575,52.1871307332,1.71893972551,0.291548216387,42.332866127,1.58318552344,0.239168735181
T2-H1-d171cb18dcd0,114,2.44699459697,0.642294949672,73.2216242626,-7.17345792708,10.2072982105,0.421052631579,32,1.27905856819,26,0.427858482125,37,0.0869825993139,19,0.94468807214,33,0.676674858888,81,0.628288319991,78,0.86299062628,36,0.164120983687,0.148334779209,0.246631338229,0.330803384364,0.518036249639,54.8541919111,2.08402019371,0.485435326647,42.6827011263,1.84348904488,0.384528838975,32.2601665628,1.63752050277,0.295964830851
T2-H1-608dc87d09f1,156,2.39295957746,0.575052042961,89.708118702,-6.88205022139,13.0350863211,0.423076923077,46,0.955413840294,38,0.510119909468,46,0.24672749816,26,0.577886945127,53,0.642222075901,103,0.540488822128,106,0.768074826871,50,0.165843741073,0.119184519856,0.198164164771,0.265794999276,0.413647954849,71.3406863505,2.10775583919,0.460262492584,59.1691955656,1.91876074146,0.386726768403,48.7466610022,1.75692288831,0.322825569551
T2-H1-2f9d182d308e,195,1.66964499054,0.215166517328,41.957470879,-5.08679216678,8.24831632654,0.435897435897,56,0.295835654444,50,0.126305295524,58,0.221389797419,31,0.201122619472,67,0.204233676156,128,0.220889176379,134,0.305358470774,61,0.0170399310709,0.0440971335853,0.128476966228,0.200045257318,0.361368072529,37.3443038805,1.59601843235,0.192496411755,28.5170122259,1.45513406748,0.148526105343,21.0299841188,1.33564042878,0.110684126941
T2-H1-0f598fd08d5f,176,2.13751848394,0.45731186791,80.4868887522,-5.84565405438,13.768671222,0.397727272727,53,0.730838962131,47,0.31302174376,47,0.30926504851,29,0.431204983537,61,0.481461062335,115,0.444502295215,119,0.643121917828,57,0.0693926408877,0.121442833757,0.201918988707,0.263241668759,0.404003328383,62.1194564007,1.87793218204,0.35496832229,49.9479656159,1.70591291332,0.288716564254,40.6733123272,1.57483455122,0.237855627645
