configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,USDRUBF_trades,USDRUBF_expectancy_C1,CNYRUBF_trades,CNYRUBF_expectancy_C1,GLDRUBF_trades,GLDRUBF_expectancy_C1,IMOEXF_trades,IMOEXF_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T2-M30-2696ace53d38,457,1.69702232214,0.295952123036,135.250120227,-11.743808335,11.5167172666,0.378555798687,150,0.179159460699,111,0.225318853605,109,0.326121660578,87,0.54963847551,160,0.229334087158,297,0.331840627212,288,0.343918207715,169,0.214211102991,0.0451698191709,0.101659725507,0.14776861688,0.240407587113,120.376150949,1.62036813072,0.26398278717,101.774590288,1.52450349869,0.224173106362,86.5913939352,1.44625568078,0.191573880388
T2-M30-8b4dd7c871ba,305,1.48296043268,0.224235639059,68.3918699131,-16.8561347109,4.05738747858,0.344262295082,94,0.301791900093,80,-0.0168342377484,72,0.342456137404,59,0.28327675307,108,0.159802364552,197,0.259559464678,177,0.246185089467,128,0.193883664667,0.0627326523121,0.167557181337,0.227418720588,0.349993845495,55.2179160107,1.38993039147,0.181637881614,33.20460297,1.23447976255,0.109949016457,20.6335872461,1.1457074684,0.0687786241538
T2-M30-22d7ea10c462,426,1.73095263384,0.31033080641,132.200923531,-15.5625151356,8.49483019801,0.399061032864,134,0.345559488516,110,0.215390410639,96,0.222644812031,86,0.474757034235,143,0.272990597574,283,0.329198827129,242,0.39750350985,184,0.195679750799,0.0475112484481,0.106183101194,0.147055141083,0.244376007082,117.326954253,1.6487129132,0.276063421771,98.9590232107,1.54715471515,0.233945681349,86.1635382363,1.47640715006,0.20466398631
T2-M30-1d7fc9f67a72,382,1.57181138029,0.251576478289,96.1022147063,-14.7950629856,6.49555968771,0.361256544503,117,0.317515196788,98,0.190178594655,95,0.168780955366,72,0.337239495085,136,0.266964785644,246,0.243069121377,231,0.318027914095,151,0.149918983776,0.0563048556691,0.125835973217,0.174272804115,0.278481846645,81.2282454284,1.48331076738,0.213197494563,62.8603143863,1.37402096554,0.165858349304,50.064829412,1.29788740351,0.132797956
T2-M30-ee4694de69de,378,1.50052553378,0.215106649733,81.310313599,-14.0499066343,5.78724939002,0.351851851852,117,0.280455319808,97,0.151025554691,88,0.0567440390616,76,0.379659038671,135,0.182934341256,243,0.232980154442,227,0.265500954705,151,0.139348323716,0.06101886027,0.12330629138,0.174877532222,0.282314099438,66.4363443211,1.4089651759,0.17622372499,51.2531479679,1.31550129509,0.136675061248,38.682132244,1.2381173314,0.103705448375
T2-M30-2584c9b32dae,384,1.73846672049,0.321207546622,123.343697903,-15.1692652007,8.13115838314,0.3671875,121,0.273089399941,98,0.179114007841,88,0.367762835176,77,0.524462055146,138,0.207756021134,246,0.384851085311,232,0.384588111178,152,0.224468790195,0.0654031583593,0.14969968324,0.206187109791,0.310829989205,104.352553375,1.62476550627,0.272460974868,79.8753335063,1.47821880311,0.209646544636,63.4730540357,1.38001729193,0.167475076611
T2-M30-d171cb18dcd0,246,1.68695082742,0.3196142202,78.6250981692,-16.624970073,4.72933772656,0.361788617886,74,0.324226668747,61,0.232069867218,55,0.41522928518,56,0.31497235887,81,0.146817019098,165,0.404441937104,152,0.467692858014,94,0.0801679122448,0.0770351454277,0.172166190315,0.241646955033,0.385562741191,63.7511288913,1.5569963251,0.260208689352,45.3831978493,1.39651493021,0.186762131067,31.9678306934,1.27930429668,0.132646600388
T2-M30-608dc87d09f1,324,1.7118816595,0.310463258155,100.590095642,-16.3334012952,6.15855165892,0.376543209877,99,0.353647615402,85,0.249324632747,73,0.256821689906,67,0.382662754787,111,0.260229266002,213,0.336641535756,196,0.406009030942,128,0.164158793574,0.0614901743051,0.137424664978,0.192884861874,0.312695489741,85.7161263643,1.60661775787,0.265375004224,67.3481953222,1.47662689596,0.209807462063,53.9328281664,1.38168560206,0.169068426854
T2-M30-2f9d182d308e,392,1.39760561247,0.141871983795,55.6138176476,-16.2817501638,3.41571496234,0.40306122449,123,0.108552082357,100,0.0747786530104,91,0.216190706914,78,0.193726819071,142,0.0328045638297,250,0.203822278335,237,0.18747600651,155,0.072141961965,0.0555639468176,0.12448552325,0.181064915822,0.2848636071,44.7518644945,1.31994912855,0.114454896405,31.2786866998,1.2236239465,0.0804079349609,20.2182284936,1.1445482699,0.0522434844795
T2-M30-0f598fd08d5f,366,1.60567243173,0.264785895752,96.9116378451,-14.6843473006,6.59965580093,0.368852459016,114,0.323473886517,94,0.209564228602,86,0.163354360949,72,0.365112531278,132,0.231377555854,234,0.28363162595,221,0.332473260886,145,0.161621015099,0.0578937661107,0.129387036254,0.179190743693,0.286340542111,82.0376685673,1.51271400751,0.224760735801,63.6697375252,1.39791923459,0.175398725965,50.8742525509,1.31795079456,0.140925907343
