parameter,value,configurations,positive_C1_share,mean_expectancy_C1
adx_threshold,15,1,1,0.295952123036
adx_threshold,20,16,1,0.264213494391
adx_threshold,25,1,1,0.272953864652
adx_threshold,30,1,1,0.381957181497
confirmation_window,2,1,1,0.224235639059
confirmation_window,3,17,1,0.277433225871
confirmation_window,4,1,1,0.237678600563
ema_fast,15,1,1,0.31033080641
ema_fast,20,16,1,0.280809614051
ema_fast,25,1,1,0.204563661652
ema_fast,30,1,1,0.170430786552
ema_slow,150,1,1,0.251576478289
ema_slow,200,17,1,0.271990406315
ema_slow,250,1,1,0.302865693788
ema_trend,40,1,1,0.215106649733
ema_trend,50,17,1,0.274939791436
ema_trend,60,1,1,0.289195975289
impulse_distance_atr,0.3,1,1,0.321207546622
impulse_distance_atr,0.5,17,1,0.270735471349
impulse_distance_atr,0.7,1,1,0.254568519881
max_initial_stop_atr,2,1,1,0.3196142202
max_initial_stop_atr,2.5,1,1,0.310463258155
max_initial_stop_atr,3,17,1,0.267541270652
trailing_atr,2,1,1,0.141871983795
trailing_atr,3,17,1,0.272205111831
trailing_atr,4,1,1,0.408920194513
