configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T3-H1-782a150195d6,T3-H1-0050d828c1a8;T3-H1-e465514e7d09;T3-H1-0e8b28aef6af;T3-H1-8f50652483e0;T3-H1-fde65b87e674;T3-H1-d6feb972db57;T3-H1-0ceadfe6ba89;T3-H1-aeeb96942cf3;T3-H1-5ce129d7f93a;T3-H1-4e73cdb77246;T3-H1-d9d86ab01cd1;T3-H1-30681f09c487,12,12,12,0.156307751939,0.446593576968,2.18914684143,ROBUST_PLATEAU
T3-H1-aeef6145060a,T3-H1-0050d828c1a8,1,1,1,0.155579381425,0.444512518358,2.19393090726,LOCAL_SPIKE
T3-H1-0050d828c1a8,T3-H1-782a150195d6;T3-H1-aeef6145060a,2,2,2,0.140160150024,0.400457571497,2.02788478128,ROBUST_PLATEAU
T3-H1-e465514e7d09,T3-H1-782a150195d6;T3-H1-ce4f64b5cf6f,2,2,2,0.143547033252,0.410134380719,2.06299771149,ROBUST_PLATEAU
T3-H1-ce4f64b5cf6f,T3-H1-e465514e7d09,1,1,1,0.123019065548,0.351483044423,1.86129543891,LOCAL_SPIKE
T3-H1-0e8b28aef6af,T3-H1-782a150195d6,1,1,1,0.151817469244,0.43376419784,2.11491448309,LOCAL_SPIKE
T3-H1-8f50652483e0,T3-H1-782a150195d6;T3-H1-59bb19b16087,2,2,2,0.170330980269,0.486659943625,2.25486279123,ROBUST_PLATEAU
T3-H1-59bb19b16087,T3-H1-8f50652483e0,1,1,1,0.178933651902,0.511239005435,2.2978523046,LOCAL_SPIKE
T3-H1-fde65b87e674,T3-H1-782a150195d6,1,1,1,0.13890952394,0.396884354115,2.05723900354,LOCAL_SPIKE
T3-H1-d6feb972db57,T3-H1-782a150195d6;T3-H1-2e29f26637ab,2,2,2,0.151048314902,0.431566614005,2.13020577251,ROBUST_PLATEAU
T3-H1-2e29f26637ab,T3-H1-d6feb972db57;T3-H1-1bef08206dd9,2,2,2,0.138032516264,0.394378617896,1.98381656984,ROBUST_PLATEAU
T3-H1-1bef08206dd9,T3-H1-2e29f26637ab,1,1,1,0.125611010903,0.358888602579,1.91668617616,LOCAL_SPIKE
T3-H1-0ceadfe6ba89,T3-H1-782a150195d6,1,1,0,0.114780308617,0.327943738904,1.83866923036,LOCAL_SPIKE
T3-H1-aeeb96942cf3,T3-H1-782a150195d6;T3-H1-4e27874898fc,2,2,2,0.15091419749,0.4311834214,2.14362789791,ROBUST_PLATEAU
T3-H1-4e27874898fc,T3-H1-aeeb96942cf3,1,1,1,0.145111560614,0.414604458899,2.0391684692,LOCAL_SPIKE
T3-H1-5ce129d7f93a,T3-H1-782a150195d6,1,1,1,0.181643403606,0.51898115316,2.07928325176,LOCAL_SPIKE
T3-H1-4e73cdb77246,T3-H1-782a150195d6;T3-H1-ff3ccac57cfa,2,2,2,0.139756527188,0.399304363394,2.31342650378,ROBUST_PLATEAU
T3-H1-ff3ccac57cfa,T3-H1-4e73cdb77246,1,1,1,0.116396983599,0.332562810283,2.2904348332,LOCAL_SPIKE
T3-H1-65fae596a867,T3-H1-d9d86ab01cd1,1,1,0,0.0756928006841,0.216265144812,1.69752842308,LOCAL_SPIKE
T3-H1-d9d86ab01cd1,T3-H1-782a150195d6;T3-H1-65fae596a867,2,2,1,0.114861208771,0.328174882203,1.94087014147,LOCAL_SPIKE
T3-H1-30681f09c487,T3-H1-782a150195d6;T3-H1-ea3e58b88e04,2,2,2,0.210481247005,0.601374991444,2.44844523604,ROBUST_PLATEAU
T3-H1-ea3e58b88e04,T3-H1-30681f09c487,1,1,1,0.205126183362,0.586074809605,2.32233991613,LOCAL_SPIKE
