parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_period,50,1,1,0.444512518358
ema_period,75,1,1,0.400457571497
ema_period,100,18,1,0.42313581592
ema_period,150,1,1,0.410134380719
ema_period,200,1,1,0.351483044423
adx_threshold,15,1,1,0.43376419784
adx_threshold,20,19,1,0.410072055509
adx_threshold,25,1,1,0.486659943625
adx_threshold,30,1,1,0.511239005435
breakout_period,10,1,1,0.396884354115
breakout_period,20,18,1,0.424517445165
breakout_period,30,1,1,0.431566614005
breakout_period,40,1,1,0.394378617896
breakout_period,55,1,1,0.358888602579
atr_average_period,10,1,1,0.327943738904
atr_average_period,20,19,1,0.423647399072
atr_average_period,30,1,1,0.4311834214
atr_average_period,50,1,1,0.414604458899
stop_atr,1.5,1,1,0.51898115316
stop_atr,2,19,1,0.419588624986
stop_atr,2.5,1,1,0.399304363394
stop_atr,3,1,1,0.332562810283
trail_atr,2,1,1,0.216265144812
trail_atr,2.5,1,1,0.328174882203
trail_atr,3,18,1,0.416174576306
trail_atr,3.5,1,1,0.601374991444
trail_atr,4,1,1,0.586074809605
