strategy,timeframe,configuration_id,changed_parameter,changed_value,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,stable_neighbor_count
T2,M30,T2-M30-608dc87d09f1,max_initial_stop_atr,2.5,324,1.7118816595,0.310463258155,100.590095642,-16.3334012952,6.15855165892,0.376543209877,2
T2,M30,T2-M30-0f598fd08d5f,BASELINE,BASELINE,366,1.60567243173,0.264785895752,96.9116378451,-14.6843473006,6.59965580093,0.368852459016,13
T2,M30,T2-M30-a98459cab4f2,ema_fast,25,333,1.46409690252,0.204563661652,68.11969933,-21.6212270506,3.15059358891,0.357357357357,2
T2,H1,T2-H1-608dc87d09f1,max_initial_stop_atr,2.5,156,2.39295957746,0.575052042961,89.708118702,-6.88205022139,13.0350863211,0.423076923077,2
T2,H1,T2-H1-0f598fd08d5f,BASELINE,BASELINE,176,2.13751848394,0.45731186791,80.4868887522,-5.84565405438,13.768671222,0.397727272727,13
T2,H1,T2-H1-a98459cab4f2,ema_fast,25,151,2.12720307273,0.448601414604,67.7388136053,-8.08558483562,8.37772591376,0.423841059603,2
T2,H1,T2-H1-7c89b4a215cd,adx_threshold,25,128,2.56247368418,0.605196660515,77.4651725459,-5.39311117771,14.3637262414,0.421875,2
T3,M30,T3-M30-782a150195d6,BASELINE,BASELINE,398,1.76921819082,0.327726745964,130.435244894,-17.6351499586,7.39632184587,0.437185929648,12
T3,M30,T3-M30-0050d828c1a8,ema_period,75,406,1.73095694796,0.313218628869,127.166763321,-20.4214749602,6.22710962693,0.433497536946,2
T3,M30,T3-M30-e465514e7d09,ema_period,150,386,1.62170751806,0.272441430538,105.162392188,-19.200946105,5.47693804321,0.419689119171,2
T3,M30,T3-M30-8f50652483e0,adx_threshold,25,331,1.96830671378,0.398470798873,131.893834427,-13.1232162984,10.0504199144,0.453172205438,2
T3,M30,T3-M30-d6feb972db57,breakout_period,30,341,1.93094457407,0.376193476605,128.281975522,-15.012134415,8.54521895261,0.454545454545,2
T3,M30,T3-M30-2e29f26637ab,breakout_period,40,311,1.90529849681,0.371281999506,115.468701846,-15.0015681688,7.69710876536,0.443729903537,2
T3,M30,T3-M30-aeeb96942cf3,atr_average_period,30,413,1.77142321092,0.340503890955,140.628106965,-17.3138807338,8.12227536544,0.423728813559,2
T3,M30,T3-M30-4e73cdb77246,stop_atr,2.5,391,1.77978200514,0.272471361321,106.536302276,-16.568071332,6.4302175034,0.447570332481,2
T3,M30,T3-M30-30681f09c487,trail_atr,3.5,375,1.8495581008,0.385070126276,144.401297353,-17.0904924249,8.449218066,0.426666666667,2
T3,H1,T3-H1-782a150195d6,BASELINE,BASELINE,184,2.18914684143,0.446593576968,82.1732181621,-6.91039527999,11.8912471476,0.461956521739,12
T3,H1,T3-H1-0050d828c1a8,ema_period,75,199,2.02788478128,0.400457571497,79.691056728,-7.49269725215,10.6358303353,0.442211055276,2
T3,H1,T3-H1-e465514e7d09,ema_period,150,178,2.06299771149,0.410134380719,73.003919768,-8.89492945134,8.20736355104,0.460674157303,2
T3,H1,T3-H1-8f50652483e0,adx_threshold,25,151,2.25486279123,0.486659943625,73.4856514874,-8.97732460363,8.18569615471,0.46357615894,2
T3,H1,T3-H1-d6feb972db57,breakout_period,30,162,2.13020577251,0.431566614005,69.9137914689,-7.08772439867,9.86406744059,0.469135802469,2
T3,H1,T3-H1-2e29f26637ab,breakout_period,40,154,1.98381656984,0.394378617896,60.734307156,-7.04942138242,8.61550244499,0.461038961039,2
T3,H1,T3-H1-aeeb96942cf3,atr_average_period,30,183,2.14362789791,0.4311834214,78.9065661162,-9.38864580297,8.40446724396,0.464480874317,2
T3,H1,T3-H1-4e73cdb77246,stop_atr,2.5,181,2.31342650378,0.399304363394,72.2740897743,-5.67342240555,12.7390637622,0.480662983425,2
T3,H1,T3-H1-30681f09c487,trail_atr,3.5,171,2.44844523604,0.601374991444,102.835123537,-7.26324658677,14.1582861477,0.46783625731,2
