group,metric,trades,mean,median,p05,p95
ALL,MAE_R,172,0.465946142348,0.475461795113,0,0.902172472369
ALL,MFE_R,172,1.82371537298,0.869303003194,0,7.24144302307
WINNERS,MAE_R,63,0.404118624381,0.352970566563,0,0.905513498233
WINNERS,MFE_R,63,4.06387414966,2.95556061925,1.21743844209,9.91598835903
LOSERS,MAE_R,109,0.501681313283,0.518971576741,0,0.888015601925
LOSERS,MFE_R,109,0.528944703884,0.398805528563,0,1.59794706569
EXIT:ATR_TRAILING_STOP,R_result,108,1.1595205369,0.353836696217,-0.88349254885,6.25753147609
EXIT:EMA50_TREND_LOSS,R_result,12,-0.581353889053,-0.640116816856,-0.915120756938,-0.0361890463821
EXIT:INITIAL_STOP,R_result,52,-1.01377382481,-1.0001329338,-1.05270178764,-1.00001965452
ALL,holding_hours,172,34.023255814,22,1,94
