group,metric,trades,mean,median,p05,p95
ALL,MAE_R,361,0.474645306288,0.467682405559,0,0.935758003959
ALL,MFE_R,361,1.50261272897,0.736170768512,0,5.19569872359
WINNERS,MAE_R,116,0.352095211276,0.304589445763,0.0102466004617,0.874925506384
WINNERS,MFE_R,116,3.57761480209,2.62580719799,1.13341955324,10.3631637294
LOSERS,MAE_R,245,0.532669024742,0.533853122948,0,0.939388553338
LOSERS,MFE_R,245,0.520162767821,0.44166099421,0,1.45252453929
EXIT:ATR_TRAILING_STOP,R_result,206,0.837567742483,0.153289353013,-0.851571867552,4.431498249
EXIT:EMA50_TREND_LOSS,R_result,48,-0.601602503853,-0.619656739579,-0.830943965092,-0.341815121871
EXIT:INITIAL_STOP,R_result,107,-1.03251444333,-1.00025183214,-1.0706285769,-1.00002815393
ALL,holding_hours,361,16.4778393352,8.5,0.5,67.5
