trade_id,strategy_id,entry_time,exit_time,direction,symbol,entry_price,exit_price,R_result,net_R_C1,gross_R,cost_R,MAE_R,MFE_R,exit_reason,holding_time
T3-H1-IMOEXF-000001,T3,2025-02-17 23:00:00+03:00,2025-02-18 11:00:00+03:00,LONG,IMOEXF,3341,3298.69257674,-0.766121545308,-0.766121545308,-0.766085331846,3.62134613456e-05,0.766049118385,0.398348074802,ATR_TRAILING_STOP,0 days 12:00:00
T3-H1-GLDRUBF-000001,T3,2025-02-25 19:00:00+03:00,2025-02-26 10:00:00+03:00,SHORT,GLDRUBF,8110.7,8156.05841152,-0.416577065511,-0.416577065511,-0.416558698892,1.83666190366e-05,0.416540332273,0.700686516245,ATR_TRAILING_STOP,0 days 15:00:00
T3-H1-CNYRUBF-000001,T3,2025-02-24 19:00:00+03:00,2025-02-26 14:00:00+03:00,SHORT,CNYRUBF,11.988,11.7926089306,1.18972482861,1.18972482861,1.20215722508,0.0124323964755,0.149188757706,2.16323698674,ATR_TRAILING_STOP,1 days 19:00:00
T3-H1-USDRUBF-000001,T3,2025-03-01 00:00:00+03:00,2025-03-03 15:00:00+03:00,SHORT,USDRUBF,89.3,90.7404928766,-1.00277682734,-1.00277682734,-1.00138841367,0.00138841366898,1,0,ATR_TRAILING_STOP,2 days 15:00:00
T3-H1-IMOEXF-000002,T3,2025-03-04 19:00:00+03:00,2025-03-05 11:00:00+03:00,LONG,IMOEXF,3260.5,3246.5935563,-0.21052629902,-0.21052629902,-0.210496030209,3.02688114965e-05,0.210465761397,0.870228330525,ATR_TRAILING_STOP,0 days 16:00:00
T3-H1-CNYRUBF-000002,T3,2025-03-13 13:00:00+03:00,2025-03-14 11:00:00+03:00,SHORT,CNYRUBF,11.863,11.8563831088,0.0163966358659,0.0163966358659,0.0289280210627,0.0125313851968,0.588975104251,1.2030129789,ATR_TRAILING_STOP,0 days 22:00:00
T3-H1-USDRUBF-000002,T3,2025-03-13 13:00:00+03:00,2025-03-14 11:00:00+03:00,SHORT,USDRUBF,87.11,87.3635786308,-0.226739312755,-0.226739312755,-0.224978768318,0.00176054443654,0.651401441519,0.95069399573,ATR_TRAILING_STOP,0 days 22:00:00
T3-H1-USDRUBF-000003,T3,2025-03-17 12:00:00+03:00,2025-03-18 14:00:00+03:00,SHORT,USDRUBF,85.55,83.845017545,1.89323521191,1.89323521191,1.89546126098,0.00222604907697,0.144693190003,3.26116189776,ATR_TRAILING_STOP,1 days 02:00:00
T3-H1-CNYRUBF-000003,T3,2025-03-17 12:00:00+03:00,2025-03-18 16:00:00+03:00,SHORT,CNYRUBF,11.57,11.3362594741,1.71594162703,1.71594162703,1.73087971095,0.0149380839152,0.126973713279,3.16687379002,ATR_TRAILING_STOP,1 days 04:00:00
T3-H1-IMOEXF-000003,T3,2025-03-28 15:00:00+03:00,2025-04-01 09:00:00+03:00,SHORT,IMOEXF,3015.5,3037,-0.454141142906,-0.454141142906,-0.454098905077,4.22378295114e-05,0.454056667247,0.855316047605,ATR_TRAILING_STOP,3 days 18:00:00
T3-H1-CNYRUBF-000004,T3,2025-04-01 17:00:00+03:00,2025-04-02 11:00:00+03:00,SHORT,CNYRUBF,11.545,11.5823505733,-0.346239360983,-0.346239360983,-0.329492828409,0.0167465325743,0.312746295834,0.728474166983,ATR_TRAILING_STOP,0 days 18:00:00
T3-H1-USDRUBF-000004,T3,2025-04-01 19:00:00+03:00,2025-04-02 11:00:00+03:00,SHORT,USDRUBF,85.45,86.3447979803,-1.00447028278,-1.00447028278,-1.00223514139,0.00223514138827,1,0,ATR_TRAILING_STOP,0 days 16:00:00
T3-H1-IMOEXF-000004,T3,2025-04-01 22:00:00+03:00,2025-04-03 09:00:00+03:00,SHORT,IMOEXF,2936,2977.5,-0.726232828397,-0.726232828397,-0.726197832598,3.49957993638e-05,0.726162836799,0.428698542206,ATR_TRAILING_STOP,1 days 11:00:00
T3-H1-GLDRUBF-000002,T3,2025-04-04 15:00:00+03:00,2025-04-07 17:00:00+03:00,LONG,GLDRUBF,8556.9,8419.26165355,-0.943036611903,-0.943036611903,-0.943022909193,1.37027104845e-05,0.98385461279,0.234316349286,ATR_TRAILING_STOP,3 days 02:00:00
T3-H1-IMOEXF-000005,T3,2025-04-03 17:00:00+03:00,2025-04-07 17:00:00+03:00,SHORT,IMOEXF,2908,2738.49432986,2.84035020627,2.84035020627,2.8403837204,3.35141264849e-05,0.00837853162122,4.44062175925,ATR_TRAILING_STOP,4 days 00:00:00
T3-H1-IMOEXF-000006,T3,2025-04-08 23:00:00+03:00,2025-04-09 20:00:00+03:00,SHORT,IMOEXF,2685.5,2693.12197303,-0.0967443467311,-0.0967443467311,-0.0967189744025,2.537232859e-05,0.348869518112,1.04660855434,ATR_TRAILING_STOP,0 days 21:00:00
T3-H1-CNYRUBF-000005,T3,2025-04-14 11:00:00+03:00,2025-04-14 20:00:00+03:00,SHORT,CNYRUBF,11.192,11.3185688853,-0.88337979701,-0.88337979701,-0.869848551875,0.0135312451346,0.856317306741,0.148843696481,ATR_TRAILING_STOP,0 days 09:00:00
T3-H1-USDRUBF-000005,T3,2025-04-11 19:00:00+03:00,2025-04-14 20:00:00+03:00,SHORT,USDRUBF,84.91,85.4209843235,-0.434621515341,-0.434621515341,-0.432933613417,0.00168790192441,0.431245711493,0.565447144677,ATR_TRAILING_STOP,3 days 01:00:00
