trade_id,strategy_id,entry_time,exit_time,direction,symbol,entry_price,exit_price,R_result,net_R_C1,gross_R,cost_R,MAE_R,MFE_R,exit_reason,holding_time
T3-M30-CNYRUBF-000001,T3,2025-01-27 10:30:00+03:00,2025-01-27 15:00:00+03:00,SHORT,CNYRUBF,13.45,13.3990097612,0.800143251178,0.800143251178,0.834198972995,0.034055721817,0.0851393045425,2.46903983173,ATR_TRAILING_STOP,0 days 04:30:00
T3-M30-USDRUBF-000001,T3,2025-01-27 11:00:00+03:00,2025-01-27 16:00:00+03:00,SHORT,USDRUBF,99.71,99.5908790489,0.27006880523,0.27006880523,0.2747607193,0.00469191407035,0.0469191407036,1.9940634799,ATR_TRAILING_STOP,0 days 05:00:00
T3-M30-GLDRUBF-000001,T3,2025-01-28 13:30:00+03:00,2025-01-28 19:30:00+03:00,SHORT,GLDRUBF,8687.6,8723.44523363,-0.744170241334,-0.744170241334,-0.744128724673,4.15166610807e-05,0.744087208012,0.506503265185,ATR_TRAILING_STOP,0 days 06:00:00
T3-M30-CNYRUBF-000002,T3,2025-01-28 17:30:00+03:00,2025-01-29 09:30:00+03:00,SHORT,CNYRUBF,13.372,13.3982628236,-0.438280848206,-0.438280848206,-0.409315880873,0.0289649673329,0.391027058994,0.637229281324,ATR_TRAILING_STOP,0 days 16:00:00
T3-M30-GLDRUBF-000002,T3,2025-02-03 10:30:00+03:00,2025-02-04 09:30:00+03:00,LONG,GLDRUBF,8890.1,8884.38523833,-0.116186734986,-0.116186734986,-0.116146101457,4.06335293464e-05,0.958951292575,0.928476145565,ATR_TRAILING_STOP,0 days 23:00:00
T3-M30-CNYRUBF-000003,T3,2025-02-03 19:00:00+03:00,2025-02-04 12:30:00+03:00,SHORT,CNYRUBF,13.28,13.342071782,-0.89295911667,-0.89295911667,-0.865929147475,0.027029969195,0.83889917828,0.229754738157,ATR_TRAILING_STOP,0 days 17:30:00
T3-M30-CNYRUBF-000004,T3,2025-02-05 18:30:00+03:00,2025-02-06 10:30:00+03:00,SHORT,CNYRUBF,13.035,12.9956959962,0.364455792537,0.364455792537,0.385102504122,0.0206467115849,0.185820404264,1.56915008045,ATR_TRAILING_STOP,0 days 16:00:00
T3-M30-USDRUBF-000002,T3,2025-02-06 10:00:00+03:00,2025-02-06 11:30:00+03:00,SHORT,USDRUBF,97.23,97.7193477061,-1.00817414683,-1.00817414683,-1.00408707341,0.00408707341465,1,0.388271974392,ATR_TRAILING_STOP,0 days 01:30:00
T3-M30-IMOEXF-000001,T3,2025-02-05 22:00:00+03:00,2025-02-07 12:00:00+03:00,LONG,IMOEXF,2961,2971.82793656,0.585896209802,0.585896209802,0.58600446916,0.000108259357681,0.405972591304,1.51563100754,ATR_TRAILING_STOP,1 days 14:00:00
T3-M30-GLDRUBF-000003,T3,2025-02-06 16:30:00+03:00,2025-02-07 13:30:00+03:00,LONG,GLDRUBF,8913.8,8908.72063214,-0.0935957122728,-0.0935957122728,-0.0935588879804,3.68242924535e-05,0.548681957557,1.12682334908,ATR_TRAILING_STOP,0 days 21:00:00
T3-M30-IMOEXF-000002,T3,2025-02-11 22:00:00+03:00,2025-02-12 15:30:00+03:00,LONG,IMOEXF,3026.5,3041.17539916,0.968715776155,0.968715776155,0.96884783115,0.000132054995634,0.165068744543,2.3109624236,ATR_TRAILING_STOP,0 days 17:30:00
T3-M30-GLDRUBF-000004,T3,2025-02-12 12:00:00+03:00,2025-02-12 17:30:00+03:00,SHORT,GLDRUBF,8755.3,8784.58286913,-0.524271391303,-0.524271391303,-0.524235588815,3.58024880666e-05,0.537037321,1.03111165632,ATR_TRAILING_STOP,0 days 05:30:00
T3-M30-CNYRUBF-000005,T3,2025-02-12 20:00:00+03:00,2025-02-12 22:30:00+03:00,SHORT,CNYRUBF,12.661,12.4093804513,2.56856065864,2.56856065864,2.58930668351,0.0207460248745,0.0103730124373,5.24874429326,ATR_TRAILING_STOP,0 days 02:30:00
T3-M30-USDRUBF-000003,T3,2025-02-12 18:30:00+03:00,2025-02-12 22:30:00+03:00,SHORT,USDRUBF,95.48,93.3833731637,3.58252403025,3.58252403025,3.58594797948,0.00342394923754,0.0513592385631,6.36854558183,ATR_TRAILING_STOP,0 days 04:00:00
T3-M30-GLDRUBF-000005,T3,2025-02-12 20:30:00+03:00,2025-02-13 09:30:00+03:00,SHORT,GLDRUBF,8621.8,8585.0747837,0.485133534473,0.485133534473,0.485159956993,2.64225199132e-05,0.947247338889,2.64753649531,ATR_TRAILING_STOP,0 days 13:00:00
T3-M30-IMOEXF-000003,T3,2025-02-12 20:00:00+03:00,2025-02-13 11:00:00+03:00,LONG,IMOEXF,3071.5,3177.5,3.97536444815,3.97536444815,3.97543945786,7.50097069351e-05,0,6.78837847763,ATR_TRAILING_STOP,0 days 15:00:00
T3-M30-USDRUBF-000004,T3,2025-02-14 09:30:00+03:00,2025-02-14 10:30:00+03:00,SHORT,USDRUBF,91.85,92.5118170149,-0.852746017084,-0.852746017084,-0.850184514455,0.002561502629,0.847623011826,0.704413222976,ATR_TRAILING_STOP,0 days 01:00:00
T3-M30-IMOEXF-000004,T3,2025-02-13 23:30:00+03:00,2025-02-14 14:00:00+03:00,LONG,IMOEXF,3263.5,3240.73730649,-0.670067131184,-0.670067131184,-0.670008267376,5.8863807415e-05,0.669949403569,0.912389014932,ATR_TRAILING_STOP,0 days 14:30:00
T3-M30-IMOEXF-000005,T3,2025-02-17 13:30:00+03:00,2025-02-18 10:00:00+03:00,LONG,IMOEXF,3286.5,3323.09766968,1.05247161869,1.05247161869,1.05252914075,5.75220593064e-05,0.445795959625,2.20021876847,ATR_TRAILING_STOP,0 days 20:30:00
T3-M30-IMOEXF-000006,T3,2025-02-19 18:00:00+03:00,2025-02-20 18:30:00+03:00,LONG,IMOEXF,3293,3294.67605476,0.0455159181671,0.0455159181671,0.0455703612623,5.444309511e-05,0.503598629767,1.25219118753,ATR_TRAILING_STOP,1 days 00:30:00
T3-M30-GLDRUBF-000006,T3,2025-02-20 20:00:00+03:00,2025-02-21 10:30:00+03:00,SHORT,GLDRUBF,8372.1,8350.54034919,0.305245185513,0.305245185513,0.305273507106,2.83215930862e-05,0.041066309975,1.66672575312,ATR_TRAILING_STOP,0 days 14:30:00
T3-M30-CNYRUBF-000006,T3,2025-02-24 19:00:00+03:00,2025-02-26 11:00:00+03:00,SHORT,CNYRUBF,11.988,11.7666136611,2.41156675639,2.41156675639,2.43375367732,0.0221869209311,0.266243051174,3.37241198153,ATR_TRAILING_STOP,1 days 16:00:00
T3-M30-USDRUBF-000005,T3,2025-02-28 20:00:00+03:00,2025-02-28 21:30:00+03:00,SHORT,USDRUBF,89.52,90.3151767174,-1.00503032837,-1.00503032837,-1.00251516418,0.00251516418448,1,0.238940597525,ATR_TRAILING_STOP,0 days 01:30:00
T3-M30-USDRUBF-000006,T3,2025-02-28 23:30:00+03:00,2025-03-03 09:30:00+03:00,SHORT,USDRUBF,89.27,90.1741407514,-1.00442408994,-1.00442408994,-1.00221204497,0.00221204496862,1,0.0110602248431,ATR_TRAILING_STOP,2 days 10:00:00
T3-M30-IMOEXF-000007,T3,2025-03-03 11:30:00+03:00,2025-03-03 22:30:00+03:00,SHORT,IMOEXF,3147,3184.97290241,-0.788484897165,-0.788484897165,-0.78844337272,4.1524444968e-05,0.788401848275,0.342576670986,ATR_TRAILING_STOP,0 days 11:00:00
T3-M30-CNYRUBF-000007,T3,2025-03-10 18:00:00+03:00,2025-03-11 09:30:00+03:00,SHORT,CNYRUBF,11.921,11.9057655897,0.122393154433,0.122393154433,0.144182131557,0.021788977124,0.239678748364,1.19839374182,ATR_TRAILING_STOP,0 days 15:30:00
T3-M30-GLDRUBF-000007,T3,2025-03-10 18:00:00+03:00,2025-03-11 09:30:00+03:00,SHORT,GLDRUBF,8223.1,8205.47048112,0.290497077464,0.290497077464,0.290530040701,3.29632369312e-05,0.214261040053,1.51795706068,ATR_TRAILING_STOP,0 days 15:30:00
T3-M30-CNYRUBF-000008,T3,2025-03-11 13:30:00+03:00,2025-03-11 18:30:00+03:00,SHORT,CNYRUBF,11.795,11.8674003057,-0.898018596219,-0.898018596219,-0.87451035007,0.0235082461487,0.851002103921,0.752263876759,ATR_TRAILING_STOP,0 days 05:00:00
T3-M30-GLDRUBF-000008,T3,2025-03-11 15:30:00+03:00,2025-03-11 18:30:00+03:00,SHORT,GLDRUBF,8110,8166.26259117,-1.0000710952,-1.0000710952,-1.0000355476,3.5547598476e-05,1,0.175960612456,ATR_TRAILING_STOP,0 days 03:00:00
T3-M30-USDRUBF-000007,T3,2025-03-10 18:00:00+03:00,2025-03-11 19:30:00+03:00,SHORT,USDRUBF,87.81,87.1724931833,0.951118833193,0.951118833193,0.954121543844,0.00300271065167,0.345311724942,2.53729050066,ATR_TRAILING_STOP,1 days 01:30:00
T3-M30-CNYRUBF-000009,T3,2025-03-13 13:00:00+03:00,2025-03-13 17:30:00+03:00,SHORT,CNYRUBF,11.863,11.9455437418,-0.967139584801,-0.967139584801,-0.944789278125,0.0223503066759,0.922438971449,0.569932820236,ATR_TRAILING_STOP,0 days 04:30:00
T3-M30-USDRUBF-000008,T3,2025-03-13 13:00:00+03:00,2025-03-13 17:30:00+03:00,SHORT,USDRUBF,87.11,87.7309558406,-1.0064416819,-1.0064416819,-1.00322084095,0.00322084095087,1,0.467021937876,ATR_TRAILING_STOP,0 days 04:30:00
T3-M30-CNYRUBF-000010,T3,2025-03-13 19:30:00+03:00,2025-03-14 10:30:00+03:00,SHORT,CNYRUBF,11.701,11.8220014341,-1.01910457626,-1.01910457626,-1.00279909012,0.0163054861486,0.986493603967,0.0570692015202,ATR_TRAILING_STOP,0 days 15:00:00
T3-M30-USDRUBF-000009,T3,2025-03-13 19:30:00+03:00,2025-03-14 10:30:00+03:00,SHORT,USDRUBF,86.18,87.0016772754,-1.00486809131,-1.00486809131,-1.00243404565,0.00243404565267,1,0.07302136958,ATR_TRAILING_STOP,0 days 15:00:00
T3-M30-GLDRUBF-000009,T3,2025-03-18 12:00:00+03:00,2025-03-18 13:00:00+03:00,SHORT,GLDRUBF,8003.6,8067.97020565,-1.00006214055,-1.00006214055,-1.00003107028,3.10702751323e-05,1,0.200403274603,ATR_TRAILING_STOP,0 days 01:00:00
T3-M30-USDRUBF-000010,T3,2025-03-18 12:00:00+03:00,2025-03-18 13:00:00+03:00,SHORT,USDRUBF,82.81,83.3858151224,-1.0069466741,-1.0069466741,-1.00347333705,0.0034733370524,1,0.034733370524,ATR_TRAILING_STOP,0 days 01:00:00
T3-M30-IMOEXF-000008,T3,2025-03-27 10:30:00+03:00,2025-03-28 10:30:00+03:00,SHORT,IMOEXF,3120.5,3077.87692518,2.10582731862,2.10582731862,2.1059261395,9.88208837309e-05,0.54351486052,3.77989880271,ATR_TRAILING_STOP,1 days 00:00:00
T3-M30-GLDRUBF-000010,T3,2025-03-31 09:00:00+03:00,2025-03-31 11:00:00+03:00,LONG,GLDRUBF,8516.9,8561.04376729,0.806153716503,0.806153716503,0.806190243823,3.65273206473e-05,0.173504773075,2.79616639555,ATR_TRAILING_STOP,0 days 02:00:00
T3-M30-USDRUBF-000011,T3,2025-03-31 09:30:00+03:00,2025-03-31 11:00:00+03:00,LONG,USDRUBF,87.83,87.2923025798,-1.00743912812,-1.00743912812,-1.00371956406,0.00371956406132,1,0.409152046745,ATR_TRAILING_STOP,0 days 01:30:00
