trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
CNYRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-01-30 16:00:00+03:00,2024-01-30 18:00:00+03:00,2024-01-30 18:00:00+03:00,12.445,12.3953160597,0.0496839402697,49.6839402697,2024-01-31 12:00:00+03:00,12.4250832787,ATR_TRAILING_STOP,10,-0.400868393791,0.0402544562517,-0.441122850043,0.301908421888,0.905725265663,2024-01-30 14:00:00+03:00,2,20127.2281259,WF01,FLAT
USDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-01-30 12:00:00+03:00,2024-01-30 15:00:00+03:00,2024-01-30 15:00:00+03:00,89.5,89.2196136614,0.280386338642,280.386338642,2024-01-31 12:00:00+03:00,89.521149243,ATR_TRAILING_STOP,13,0.0754289353377,0.00713301514506,0.0682959201926,0.285320605803,1.96157916489,2024-01-30 11:00:00+03:00,3,3566.50757253,WF01,FLAT
IMOEXF-000001,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-30 16:00:00+03:00,2024-01-30 17:00:00+03:00,2024-01-30 17:00:00+03:00,3191.5,3182.93039296,8.56960704291,8569.60704291,2024-02-02 11:00:00+03:00,3221.90420562,ATR_TRAILING_STOP,41,3.54791129495,0.000233382929927,3.54767791202,0,5.19277019088,2024-01-30 15:00:00+03:00,1,116.691464964,WF01,FLAT
GLDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-01 00:00:00+03:00,2024-02-01 09:00:00+03:00,2024-02-01 09:00:00+03:00,5846.5,5818.67932294,27.8206770647,27820.6770647,2024-02-02 18:00:00+03:00,5891.25184239,ATR_TRAILING_STOP,24,1.60858207329,7.18889765102e-05,1.60851018432,0.406172717283,3.26375953356,2024-01-31 23:00:00+03:00,1,35.9444882551,WF01,FLAT
GLDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-02 19:00:00+03:00,2024-02-02 20:00:00+03:00,2024-02-02 20:00:00+03:00,5887.5,5864.21173024,23.2882697569,23288.2697569,2024-02-05 10:00:00+03:00,5864.21173024,INITIAL_STOP,6,-1,8.58801457076e-05,-1.00008588015,0.738569253086,0.0171760291415,2024-02-02 17:00:00+03:00,1,43.6307682988,WF01,FLAT
CNYRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-02 21:00:00+03:00,2024-02-02 23:00:00+03:00,2024-02-02 23:00:00+03:00,12.595,12.5759535277,0.0190464723499,19.0464723499,2024-02-05 16:00:00+03:00,12.5898585546,ATR_TRAILING_STOP,9,-0.269942135926,0.105006321552,-0.374948457478,0.210012643104,4.30525918363,2024-02-02 19:00:00+03:00,2,52271.5573368,WF01,FLAT
IMOEXF-000002,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-02-13 10:00:00+03:00,2024-02-13 11:00:00+03:00,2024-02-13 11:00:00+03:00,3260.5,3245.37957379,15.1204262106,15120.4262106,2024-02-14 21:00:00+03:00,3253.24346159,ATR_TRAILING_STOP,25,-0.479916260787,0.000132271403739,-0.480048532191,0.925899826171,0.628289167759,2024-02-13 00:00:00+03:00,1,68.4819835565,WF01,FLAT
USDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-14 17:00:00+03:00,2024-02-14 18:00:00+03:00,2024-02-14 18:00:00+03:00,91.59,91.3458640358,0.244135964162,244.135964162,2024-02-16 11:00:00+03:00,92.0952399453,ATR_TRAILING_STOP,25,2.06950232442,0.00819215639477,2.06131016803,0.53249016566,3.89127428752,2024-02-14 16:00:00+03:00,1,4098.87565168,WF01,FLAT
USDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-16 12:00:00+03:00,2024-02-16 14:00:00+03:00,2024-02-16 14:00:00+03:00,92.5,92.1205079811,0.379492018883,379.492018883,2024-02-16 19:00:00+03:00,92.2494666544,ATR_TRAILING_STOP,5,-0.660180802561,0.00527020306221,-0.665451005623,0.658775382776,0.974987566509,2024-02-16 11:00:00+03:00,2,2691.25591046,WF01,FLAT
GLDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-02-16 11:00:00+03:00,2024-02-16 12:00:00+03:00,2024-02-16 12:00:00+03:00,5867.6,5843.76433756,23.8356624363,23835.6624363,2024-02-16 20:00:00+03:00,5855.18487231,ATR_TRAILING_STOP,8,-0.520863547315,8.39078840516e-05,-0.520947455199,0.549596640538,1.43482481728,2024-02-16 10:00:00+03:00,1,42.2024510918,WF01,FLAT
