trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
GLDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2024-01-12 10:00:00+03:00,2024-01-12 10:30:00+03:00,2024-01-12 10:30:00+03:00,5777.6,5802.89752559,25.2975255898,25297.5255898,2024-01-12 14:00:00+03:00,5790.6,EMA50_TREND_LOSS,7,-0.5138842514,7.90591156e-05,-0.513963310515,0.17393005432,0.22531847946,2024-01-11 21:30:00+03:00,1,39.5295578,WF01,FLAT
IMOEXF-000001,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-15 11:30:00+03:00,2024-01-15 12:30:00+03:00,2024-01-15 12:30:00+03:00,3198,3193.63924119,4.3607588081,4360.7588081,2024-01-15 13:30:00+03:00,3193.63924119,INITIAL_STOP,2,-1,0.000458635776022,-1.00045863578,0.687953664034,0.458635776022,2024-01-15 11:00:00+03:00,2,229.317888011,WF01,FLAT
USDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-01-12 16:00:00+03:00,2024-01-12 17:30:00+03:00,2024-01-12 17:30:00+03:00,88.3,88.6458915505,0.345891550516,345.891550516,2024-01-15 16:00:00+03:00,87.9786122827,ATR_TRAILING_STOP,28,0.929157468026,0.00578215916815,0.923375308857,0.722769896018,2.16830968806,2024-01-12 15:30:00+03:00,3,2891.07958407,WF01,FLAT
CNYRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-01-15 16:00:00+03:00,2024-01-15 17:00:00+03:00,2024-01-15 17:00:00+03:00,12.141,12.1754260383,0.0344260383343,34.4260383343,2024-01-16 12:30:00+03:00,12.1636455967,ATR_TRAILING_STOP,22,-0.657804318014,0.0580955607084,-0.715899878722,0.522860046376,0.958576751689,2024-01-15 15:30:00+03:00,2,29047.7803542,WF01,FLAT
GLDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2024-01-16 15:30:00+03:00,2024-01-16 16:30:00+03:00,2024-01-16 16:30:00+03:00,5771.5,5791.83270698,20.3327069757,20332.7069757,2024-01-17 11:00:00+03:00,5761.44322201,ATR_TRAILING_STOP,20,0.49461087486,9.83636857791e-05,0.494512511174,0.959045936347,2.26236477292,2024-01-16 14:00:00+03:00,2,48.9290662617,WF01,FLAT
GLDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2024-01-17 12:00:00+03:00,2024-01-17 12:30:00+03:00,2024-01-17 12:30:00+03:00,5757.3,5782.50314345,25.2031434466,25203.1434466,2024-01-17 14:30:00+03:00,5777.4,EMA50_TREND_LOSS,4,-0.797519565071,7.93551806041e-05,-0.797598920252,0.611034890652,0.154742602178,2024-01-17 10:30:00+03:00,1,39.6688642428,WF01,FLAT
GLDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2024-01-19 17:00:00+03:00,2024-01-19 17:30:00+03:00,2024-01-19 17:30:00+03:00,5733.3,5758.96797482,25.6679748176,25667.9748176,2024-01-22 15:00:00+03:00,5710.22799316,ATR_TRAILING_STOP,26,0.898863545115,7.79181066761e-05,0.898785627008,0.241546130696,2.07651754292,2024-01-19 16:30:00+03:00,1,38.6398166523,WF01,FLAT
USDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-01-22 15:30:00+03:00,2024-01-22 16:00:00+03:00,2024-01-22 16:00:00+03:00,88.04,88.1934284055,0.153428405534,153.428405534,2024-01-22 23:00:00+03:00,88.1934284055,INITIAL_STOP,14,-1,0.013035395845,-1.01303539584,0.847300729924,0.716946771474,2024-01-22 14:30:00+03:00,1,6577.88073581,WF01,FLAT
USDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-01-25 12:00:00+03:00,2024-01-25 12:30:00+03:00,2024-01-25 12:30:00+03:00,88.81,88.5981060711,0.211893928863,211.893928863,2024-01-25 21:30:00+03:00,88.973622763,ATR_TRAILING_STOP,18,0.772191840698,0.00943868477371,0.762753155925,0.283160543211,2.5484448889,2024-01-25 11:30:00+03:00,1,4714.66956748,WF01,FLAT
CNYRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-01-25 11:00:00+03:00,2024-01-25 12:30:00+03:00,2024-01-25 12:30:00+03:00,12.328,12.3000957845,0.0279042155363,27.9042155363,2024-01-25 22:30:00+03:00,12.3603879855,ATR_TRAILING_STOP,20,1.16068432364,0.0716737583036,1.08901056533,0.501716308125,3.11780848621,2024-01-25 10:30:00+03:00,3,35580.3229774,WF01,FLAT
