trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R_C1,fold,fold_start_state
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-02-15 19:00:00+03:00,3267,3251.05117019,15.9488298137,2024-02-16 15:00:00+03:00,3262.9086256,ATR_TRAILING_STOP,12,-256.531322009,-0.256656723058,4.0913743966,11.5,0.256531322009,0.721056035729,-4.0913743966,-0.256656723058,62.700524846,0.125401049692,-256.656723058,0.001,15948.8298137,0.000125401049692,T3_MTF_Trend_v1.0,15.9488298137,-0.256782124108,WF01,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-19 11:00:00+03:00,5909.3,5873.52933762,35.7706623816,2024-02-21 10:00:00+03:00,5910.96887882,ATR_TRAILING_STOP,30,46.6549600327,0.046599048292,13.9,25.7,0.388586597914,0.718465868086,1.66887882376,0.046599048292,27.9558703535,0.0559117407071,46.599048292,0.001,35770.6623816,5.59117407071e-05,T3_MTF_Trend_v1.0,35.7706623816,0.0465431365513,WF01,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-02-20 14:00:00+03:00,12.828,12.7717646371,0.0562353628961,2024-02-21 16:00:00+03:00,12.7864279748,ATR_TRAILING_STOP,18,-739.250590635,-0.774815400694,0.042,0.008,0.746861011239,0.142259240236,-0.0415720252355,-0.774815400694,17782.4050295,35.564810059,-774.815400694,0.001,56.2353628961,0.035564810059,T3_MTF_Trend_v1.0,0.0562353628961,-0.810380210753,WF01,FLAT
USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-02-22 20:00:00+03:00,93.29,92.5822544809,0.707745519144,2024-02-26 11:00:00+03:00,92.7122197997,ATR_TRAILING_STOP,7,-816.367161181,-0.81919303566,0.577780200303,0.15,0.816367161181,0.211940585906,-0.577780200303,-0.81919303566,1412.93723938,2.82587447875,-819.19303566,0.001,707.745519144,0.00282587447875,T3_MTF_Trend_v1.0,0.707745519144,-0.822018910139,WF01,FLAT
GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-22 20:00:00+03:00,5984,5935.49537848,48.5046215224,2024-02-26 20:00:00+03:00,5995,ATR_TRAILING_STOP,16,226.888192298,0.22674128062,32,264.7,0.65973094925,5.45721194582,11,0.22674128062,20.6261992998,0.0412523985996,226.846939899,0.001,48504.6215224,4.12331843281e-05,T3_MTF_Trend_v1.0,48.5046215224,0.226700047436,WF01,FLAT
GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-07 10:00:00+03:00,6211.9,6168.23351575,43.6664842464,2024-03-12 10:00:00+03:00,6271.28203355,ATR_TRAILING_STOP,32,1363.6181699,1.35985377734,21.1,118.8,0.483208125503,2.72062205259,59.3820335457,1.35985377734,22.9634805088,0.0459269610177,1363.57224294,0.001,43666.4842464,4.58017180571e-05,T3_MTF_Trend_v1.0,43.6664842464,1.35980797562,WF01,FLAT
GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-13 19:00:00+03:00,6361.6,6315.35719732,46.2428026846,2024-03-14 19:00:00+03:00,6352.3129388,ATR_TRAILING_STOP,16,-204.1202423,-0.200875826384,12.4,33.1,0.26814983695,0.715787064763,-9.28706120358,-0.200875826384,21.9789918281,0.0439579836561,-204.164200284,0.001,46242.8026846,4.32499737017e-05,T3_MTF_Trend_v1.0,46.2428026846,-0.200919076358,WF01,FLAT
GLDRUBF-000005,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-15 16:00:00+03:00,6444.9,6404.14861287,40.7513871335,2024-03-18 10:00:00+03:00,6434.70159736,ATR_TRAILING_STOP,10,-253.844877218,-0.250308108694,13.7,39.6,0.336184875256,0.971746062785,-10.19840264,-0.250308108694,24.8906506418,0.0497813012836,-253.894658519,0.001,40751.3871335,4.9078083979e-05,T3_MTF_Trend_v1.0,40.7513871335,-0.250357186778,WF01,FLAT
USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-03-15 14:00:00+03:00,92.05,91.666800958,0.383199041978,2024-03-18 10:00:00+03:00,92.4859608541,ATR_TRAILING_STOP,12,1128.36788651,1.13246852556,0.04,0.95,0.104384394579,2.47912937125,0.435960854064,1.13246852556,2588.2321222,5.1764642444,1123.19142227,0.001,383.199041978,0.00521921972894,T3_MTF_Trend_v1.0,0.383199041978,1.12724930583,WF01,FLAT
IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-03-18 10:00:00+03:00,3328.5,3304.39873335,24.1012666496,2024-03-18 11:00:00+03:00,3304.39873335,ATR_TRAILING_STOP,1,-997.433432769,-1.00008298319,24.1012666496,0,1,0,-24.1012666496,-1.00008298319,41.3851042467,0.0827702084934,-997.516202978,0.001,24101.2666496,8.29831904306e-05,T3_MTF_Trend_v1.0,24.1012666496,-1.00016596638,WF01,FLAT
GLDRUBF-000006,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-19 22:00:00+03:00,6424,6384.99194193,39.0080580697,2024-03-21 11:00:00+03:00,6522.43982558,ATR_TRAILING_STOP,21,2553.32862123,2.52352540601,16.5,175.7,0.422989526178,4.50419756057,98.439825578,2.52352540601,25.9379636873,0.0518759273746,2553.2767453,0.001,39008.0580697,5.12714577185e-05,T3_MTF_Trend_v1.0,39.0080580697,2.52347413455,WF01,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-03-21 11:00:00+03:00,3298,3278.50812361,19.491876395,2024-03-21 16:00:00+03:00,3278.50812361,ATR_TRAILING_STOP,5,-987.45827074,-1.00010260685,19.491876395,2,1,0.102606848077,-19.491876395,-1.00010260685,50.6599903842,0.101319980768,-987.55959072,0.001,19491.876395,0.000102606848077,T3_MTF_Trend_v1.0,19.491876395,-1.0002052137,WF01,FLAT
GLDRUBF-000007,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-03-25 17:00:00+03:00,6530.6,6464.92752519,65.6724748105,2024-03-26 11:00:00+03:00,6505.20468045,ATR_TRAILING_STOP,10,-401.128980113,-0.386727005903,25.3953195537,38.5,0.386696551744,0.586242563739,-25.3953195537,-0.386727005903,15.7953901413,0.0315907802826,-401.160570894,0.001,65672.4748105,3.04541591553e-05,T3_MTF_Trend_v1.0,65.6724748105,-0.386757460062,WF01,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-05-21 19:00:00+03:00,12.417,12.4759216338,0.0589216338198,2024-05-22 11:00:00+03:00,12.4392220283,ATR_TRAILING_STOP,8,-377.145487728,-0.411088877793,0.0222220283247,0.044,0.377145487728,0.746754581425,-0.0222220283247,-0.411088877793,16971.6950324,33.9433900648,-411.088877793,0.001,58.9216338198,0.0339433900648,T3_MTF_Trend_v1.0,0.0589216338198,-0.445032267857,WF02,FLAT
USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-05-21 19:00:00+03:00,90.1,90.5263586825,0.426358682509,2024-05-22 11:00:00+03:00,90.3048571406,ATR_TRAILING_STOP,8,-480.480752371,-0.485171638431,0.204857140552,0.24,0.480480752371,0.562906327104,-0.204857140552,-0.485171638431,2345.4430296,4.6908860592,-485.171638431,0.001,426.358682509,0.0046908860592,T3_MTF_Trend_v1.0,0.426358682509,-0.48986252449,WF02,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-05-23 19:00:00+03:00,6767.7,6830.1050316,62.4050316042,2024-05-27 10:00:00+03:00,6768.77747583,ATR_TRAILING_STOP,23,-17.2658486588,-0.0172978973566,11.8,47.7,0.189087317107,0.764361442881,-1.07747583122,-0.0172978973566,16.0243489074,0.0320486978147,-17.2978973566,0.001,62405.0316042,3.20486978147e-05,T3_MTF_Trend_v1.0,62.4050316042,-0.0173299460544,WF02,FLAT
CNYRUBF-000002,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-05-24 11:00:00+03:00,12.338,12.3805825027,0.042582502742,2024-05-27 16:00:00+03:00,12.2252704834,ATR_TRAILING_STOP,21,2636.43728863,2.60035247922,0.013,0.186,0.305289712039,4.36799126456,0.112729516577,2.60035247922,23387.2846144,46.7745692289,2589.6627194,0.001,42.582502742,0.046967648006,T3_MTF_Trend_v1.0,0.042582502742,2.55338483122,WF02,FLAT
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-24 15:00:00+03:00,3387,3415.03287874,28.0328787406,2024-05-28 11:00:00+03:00,3337.19573026,ATR_TRAILING_STOP,26,1776.63771906,1.77656637427,26,92.5,0.927482341025,3.29969679019,49.8042697445,1.77656637427,35.6723977317,0.0713447954635,1776.56637427,0.001,28032.8787406,7.13447954635e-05,T3_MTF_Trend_v1.0,28.0328787406,1.77649502947,WF02,FLAT
USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-05-27 12:00:00+03:00,88.66,89.1458365813,0.48583658131,2024-05-28 16:00:00+03:00,88.8364360832,ATR_TRAILING_STOP,20,-361.397375424,-0.367275932011,0.38,0.32,0.782156005987,0.658657689252,-0.176436083206,-0.367275932011,2048.31896547,4.09663793093,-365.494013355,0.001,485.83658131,0.00411661055783,T3_MTF_Trend_v1.0,0.48583658131,-0.371392542569,WF02,FLAT
IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-29 16:00:00+03:00,3291,3328.05627662,37.0562766245,2024-05-29 19:00:00+03:00,3328.05627662,ATR_TRAILING_STOP,3,-1017.76566374,-1.00005397196,37.0562766245,5,1,0.134929908114,-37.0562766245,-1.00005397196,27.4654054981,0.0549308109962,-1017.82059455,0.001,37056.2766245,5.39719632457e-05,T3_MTF_Trend_v1.0,37.0562766245,-1.00010794393,WF02,FLAT
GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-05-31 21:00:00+03:00,6639.1,6704.62896892,65.5289689196,2024-06-03 21:00:00+03:00,6678.11176853,ATR_TRAILING_STOP,15,-595.233237366,-0.595366738866,39.011768527,33.1,0.595336218014,0.50512011017,-39.011768527,-0.595366738866,15.2577865562,0.0305155731125,-595.263752939,0.001,65528.9689196,3.05208525782e-05,T3_MTF_Trend_v1.0,65.5289689196,-0.595397259719,WF02,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-30 19:00:00+03:00,3280.5,3317.33226441,36.8322644116,2024-06-04 00:00:00+03:00,3162.47433517,ATR_TRAILING_STOP,35,3228.72300906,3.20435538559,9,189,0.244350982591,5.1313706344,118.02566483,3.20435538559,27.3561094843,0.0547122189686,3228.66829684,0.001,36832.2644116,5.43002183535e-05,T3_MTF_Trend_v1.0,36.8322644116,3.20430108537,WF02,FLAT
CNYRUBF-000003,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-06-03 13:00:00+03:00,12.289,12.3677004537,0.0787004536995,2024-06-05 11:00:00+03:00,12.2607367524,ATR_TRAILING_STOP,30,366.948117037,0.333711514253,0.014,0.098,0.177889698749,1.24522789124,0.0282632475765,0.333711514253,12983.2255138,25.9664510275,340.981666009,0.001,78.7004536995,0.025412814107,T3_MTF_Trend_v1.0,0.0787004536995,0.308298700146,WF02,FLAT
USDRUBF-000003,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-06-03 13:00:00+03:00,89.34,89.9281731302,0.588173130173,2024-06-06 13:00:00+03:00,88.9625306942,ATR_TRAILING_STOP,48,636.306361005,0.638365281531,0.13,0.81,0.221023357462,1.37714553496,0.377469305832,0.638365281531,1685.71682829,3.37143365658,632.934927348,0.001,588.173130173,0.00340035934557,T3_MTF_Trend_v1.0,0.588173130173,0.634964922186,WF02,FLAT
CNYRUBF-000004,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2024-06-10 15:00:00+03:00,12.203,12.2698042511,0.0668042510792,2024-06-11 11:00:00+03:00,12.2231818372,ATR_TRAILING_STOP,12,-309.715765803,-0.332042300199,0.0201818371914,0.048,0.302104085674,0.718517148603,-0.0201818371914,-0.332042300199,15346.262229,30.6925244581,-340.408290261,0.001,66.8042510792,0.0299382145251,T3_MTF_Trend_v1.0,0.0668042510792,-0.361980514724,WF02,FLAT
GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-06-07 23:00:00+03:00,6567,6637.69272433,70.6927243342,2024-06-11 11:00:00+03:00,6606.68299237,ATR_TRAILING_STOP,20,-557.90620531,-0.561373079663,39.6829923693,15.2,0.561344788209,0.215015054847,-39.6829923693,-0.561373079663,14.059075992,0.028118151984,-557.934323462,0.001,70692.7243342,2.82914545851e-05,T3_MTF_Trend_v1.0,70.6927243342,-0.561401371118,WF02,FLAT
USDRUBF-000004,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2024-06-17 13:00:00+03:00,88.93,89.6716139348,0.741613934838,2024-06-18 13:00:00+03:00,87.6616203736,ATR_TRAILING_STOP,15,1706.57253702,1.70759955676,0.2,2.49,0.269682095501,3.35754208899,1.26837962641,1.70759955676,1345.4745736,2.69094914721,1703.88158787,0.001,741.613934838,0.00269682095501,T3_MTF_Trend_v1.0,0.741613934838,1.7049027358,WF02,FLAT
