trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R_C1,fold,fold_start_state
IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-01-25 11:00:00+03:00,3152,3161.09265233,9.09265233113,2024-01-25 16:00:00+03:00,3161.09265233,ATR_TRAILING_STOP,10,-1000,-1.00021995782,9.09265233113,0,1,0,-9.09265233113,-1.00021995782,109.978910837,0.219957821675,-1000.21995782,0.001,9092.65233113,0.000219957821675,T3_MTF_Trend_v1.0,9.09265233113,-1.00043991564,WF01,FLAT
GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-01-26 12:00:00+03:00,5809.9,5791.6722254,18.2277745972,2024-01-26 18:30:00+03:00,5808.64899962,ATR_TRAILING_STOP,13,-68.631547749,-0.0687412704137,1.25100038263,26.6,0.068631547749,1.45931144025,-1.25100038263,-0.0687412704137,54.8613323403,0.109722664681,-68.7412704137,0.001,18227.7745972,0.000109722664681,T3_MTF_Trend_v1.0,18.2277745972,-0.0688509930784,WF01,FLAT
CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2024-01-26 12:00:00+03:00,12.452,12.407954075,0.0440459249536,2024-01-29 10:30:00+03:00,12.4899788987,ATR_TRAILING_STOP,28,862.25680797,0.816849656182,0.014,0.078,0.317850062514,1.77087891972,0.0379788986546,0.816849656182,22703.5758939,45.4071517877,816.849656182,0.001,44.0459249536,0.0454071517877,T3_MTF_Trend_v1.0,0.0440459249536,0.771442504394,WF01,FLAT
USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-01-26 12:00:00+03:00,89.68,89.378723562,0.301276437951,2024-01-29 10:30:00+03:00,89.9185011945,ATR_TRAILING_STOP,28,791.6357352,0.784997313644,0.09,0.57,0.298728970018,1.89195014345,0.238501194456,0.784997313644,3319.21077798,6.63842155596,784.997313644,0.001,301.276437951,0.00663842155596,T3_MTF_Trend_v1.0,0.301276437951,0.778358892088,WF01,FLAT
USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-01-30 16:30:00+03:00,89.69,89.3822695232,0.307730476756,2024-01-31 11:30:00+03:00,89.6884421387,ATR_TRAILING_STOP,21,-5.10216125947,-0.0115616151661,0.09,0.36,0.292463720034,1.16985488014,-0.00155786134714,-0.0115616151661,3275.10613755,6.55021227511,-11.6523735346,0.001,307.730476756,0.00649919377854,T3_MTF_Trend_v1.0,0.307730476756,-0.0180608089446,WF01,FLAT
IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-01-31 09:30:00+03:00,3203.5,3196.88256785,6.6174321477,2024-02-01 09:30:00+03:00,3215.33154593,ATR_TRAILING_STOP,31,1770.05282109,1.78763388291,3,20.5,0.45334805602,3.0978783828,11.8315459251,1.78763388291,149.604526095,0.29920905219,1769.75361204,0.001,6617.4321477,0.000302232037346,T3_MTF_Trend_v1.0,6.6174321477,1.78733165087,WF01,FLAT
GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-01 12:00:00+03:00,5869.6,5847.77170499,21.8282950094,2024-02-01 15:00:00+03:00,5847.77170499,ATR_TRAILING_STOP,6,-999.312587296,-1.0000916242,21.8282950094,5,1,0.229060492257,-21.8282950094,-1.0000916242,45.780606633,0.091561213266,-999.404148509,0.001,21828.2950094,9.1624196903e-05,T3_MTF_Trend_v1.0,21.8282950094,-1.00018324839,WF01,FLAT
IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-02-01 10:30:00+03:00,3230,3221.51589077,8.48410923291,2024-02-01 19:30:00+03:00,3225.71362079,ATR_TRAILING_STOP,18,-509.1122969,-0.505460159745,4.5,6,0.530403354844,0.707204473125,-4.28637920816,-0.505460159745,118.774441592,0.237548883183,-509.349845783,0.001,8484.10923291,0.000235734824375,T3_MTF_Trend_v1.0,8.48410923291,-0.505695894569,WF01,FLAT
GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-01 19:30:00+03:00,5886.7,5864.64474656,22.0552534412,2024-02-01 23:00:00+03:00,5864.64474656,ATR_TRAILING_STOP,7,-989.318545811,-1.00009068134,22.0552534412,2.9,1,0.131487947202,-22.0552534412,-1.00009068134,44.8563671439,0.0897127342878,-989.408258545,0.001,22055.2534412,9.06813428978e-05,T3_MTF_Trend_v1.0,22.0552534412,-1.00018136269,WF01,FLAT
GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-02 13:00:00+03:00,5895.8,5876.28893371,19.5110662903,2024-02-02 17:30:00+03:00,5906.17795158,ATR_TRAILING_STOP,9,520.956646152,0.531798284496,8.6,41.5,0.440775500018,2.12699805241,10.3779515819,0.531798284496,50.1984078497,0.100396815699,520.856249336,0.001,19511.0662903,0.000102505930237,T3_MTF_Trend_v1.0,19.5110662903,0.531695778565,WF01,FLAT
