portfolio_id,month,total_trades,PF,expectancy,net_R,win_rate,max_drawdown,recovery_factor,average_holding_hours,losing_streak,drawdown_duration_trades
A,2025-01,3,1.5583672998,0.187219376615,0.561658129844,0.666666666667,-1.00589366541,0.558367299803,54,1,1
A,2025-02,1,,1.86281945815,1.86281945815,1,0,,49,0,0
A,2025-03,4,0.516312477776,-0.298041215264,-1.19216486105,0.25,-2.46474181424,-0.483687522224,14.5,3,3
A,2025-04,4,2.68557164763,0.418427614423,1.67371045769,0.5,-0.79166359114,2.11416879142,61,1,2
A,2025-05,2,0,-0.651154439287,-1.30230887857,0,-1.30230887857,-1,15,2,2
A,2025-06,1,0,-0.709733384895,-0.709733384895,0,-0.709733384895,-1,70,1,1
A,2025-07,7,5.92351510868,1.77332673126,12.4132871188,0.571428571429,-2.37051145875,5.23654381549,47,2,4
A,2025-08,4,0,-0.767363731284,-3.06945492514,0,-3.06945492514,-1,37.25,4,4
A,2025-10,6,0,-0.888332156581,-5.32999293949,0,-5.32999293949,-1,13.8333333333,6,6
A,2025-11,4,5.61637054316,1.23303461164,4.93213844655,0.75,-1.06840176724,4.61637054316,79.5,1,1
A,2025-12,5,1.86419129029,0.184830213275,0.924151066375,0.6,-1.06938252764,0.864191290289,49.2,2,2
A,2026-01,1,,0.585517063785,0.585517063785,1,0,,25,0,0
A,2026-02,3,0.135225252133,-0.388280950464,-1.16484285139,0.333333333333,-1.34698990028,-0.864774747867,44,2,2
A,2026-04,5,5.16855652302,2.09586585544,10.4793292772,0.2,-1.7805412095,5.8854741588,75.8,3,3
A,2026-05,2,,0.28610167637,0.57220335274,1,0,,21.5,0,0
A,2026-06,3,1.39140386403,0.263592874567,0.7907786237,0.333333333333,-2.02036488747,0.391403864027,33,2,2
A,2026-07,7,4.54000977159,1.53805140465,10.7663598325,0.428571428571,-1.03796632804,10.3725521163,29.2857142857,2,2
A,2026-08,7,5.94468143126,1.43774732342,10.064231264,0.714285714286,-2.03536494795,4.94468143126,38.5714285714,2,4
B,2025-02,4,5.63568385087,1.1606343914,4.6425375656,0.75,-1.00147846897,4.63568385087,26.5,1,1
B,2025-03,3,5.69871228272,1.56887814161,4.70663442482,0.666666666667,-1.00168602409,4.69871228272,99,1,1
B,2025-04,3,0.274454566406,-0.4621943823,-1.3865831469,0.333333333333,-1.91109072251,-0.725545433594,18.6666666667,2,3
B,2025-06,3,0,-1.02030212846,-3.06090638538,0,-3.06090638538,-1,6,3,3
B,2025-07,7,4.08158423783,1.16138543006,8.12969801042,0.428571428571,-2.63815537171,3.08158423783,26.4285714286,4,5
B,2025-09,6,4.983162482,1.58681964441,9.52091786644,0.333333333333,-1.86442009588,5.10663765504,48,3,3
B,2025-10,11,1.70767279193,0.350087065205,3.85095771725,0.363636363636,-2.89535444792,1.33004707593,26,4,4
B,2025-11,4,0,-0.672065534885,-2.68826213954,0,-2.68826213954,-1,26.75,4,4
B,2025-12,9,0.0941603766515,-0.43699443632,-3.93294992688,0.222222222222,-4.15711146782,-0.946077572691,24.7777777778,4,9
B,2026-01,4,2.25154215317,0.159199423102,0.636797692408,0.25,-0.508810423042,1.25154215317,23,3,3
B,2026-02,3,0,-0.88827288821,-2.66481866463,0,-2.66481866463,-1,12.3333333333,3,3
B,2026-03,9,51.1094415692,1.69447484939,15.2502736445,0.888888888889,-0.304339325423,50.1094415692,46.8888888889,1,2
B,2026-04,3,2.72688138676,0.495459162573,1.48637748772,0.666666666667,-0.86072934662,1.72688138676,24.3333333333,1,1
B,2026-05,4,4.80921382964,0.495764749748,1.98305899899,0.5,-0.520595347932,3.80921382964,30.5,2,2
B,2026-06,8,4.65444469596,0.75591724676,6.04733797408,0.5,-1.3997782197,4.32021150849,23,2,6
B,2026-07,4,0,-0.4017816009,-1.6071264036,0,-1.6071264036,-1,20,4,4
B,2026-08,12,11.69524682,1.35972811568,16.3167373881,0.75,-1.35380850683,12.0524707193,43.3333333333,2,4
C,2025-01,3,1.5583672998,0.0936096883073,0.280829064922,0.666666666667,-0.502946832705,0.558367299803,54,1,1
C,2025-02,5,7.49575325413,0.650535702375,3.25267851187,0.8,-0.500739234485,6.49575325413,31,1,1
C,2025-03,7,2.01385914482,0.251033540269,1.75723478188,0.428571428571,-0.828552623589,2.1208487329,50.7142857143,2,2
C,2025-04,7,1.09887120825,0.0205090936281,0.143563655397,0.428571428571,-1.05619511841,0.13592531616,42.8571428571,3,3
C,2025-05,2,0,-0.325577219644,-0.651154439287,0,-0.651154439287,-1,15,2,2
C,2025-06,4,0,-0.471329971284,-1.88531988514,0,-1.88531988514,-1,22,4,4
C,2025-07,14,4.98167715457,0.733678040331,10.2714925646,0.5,-2.50433341523,4.10148764624,36.7142857143,4,10
