portfolio_id,quarter,total_trades,PF,expectancy,net_R,win_rate,max_drawdown,recovery_factor,average_holding_hours,losing_streak,drawdown_duration_trades
A,2025Q1,8,1.35506832514,0.154039090867,1.23231272694,0.5,-2.46474181424,0.49997639502,33.625,3,3
A,2025Q2,7,0.887410581932,-0.0483331151111,-0.338331805778,0.285714285714,-2.55499557765,-0.132419722655,49.1428571429,3,5
A,2025Q3,11,2.67132318186,0.849439290337,9.34383219371,0.363636363636,-3.06945492514,3.04413403083,43.4545454545,4,4
A,2025Q4,15,1.07047566591,0.0350864382294,0.526296573441,0.4,-6.39839470673,0.0822544712485,43.1333333333,7,10
A,2026Q1,4,0.569910815599,-0.144831446902,-0.579325787607,0.5,-1.34698990028,-0.430089184401,39.25,2,2
A,2026Q2,10,3.61173854173,1.18423112536,11.8423112536,0.4,-2.02036488747,5.86147152284,52.1,3,5
A,2026Q3,14,5.10317458701,1.48789936404,20.8305910965,0.571428571429,-3.06826201819,6.78905222989,33.9285714286,3,5
B,2025Q1,7,5.6672013321,1.33559599863,9.34917199042,0.714285714286,-1.00168602409,9.33343559317,57.5714285714,1,1
B,2025Q2,6,0.105492333207,-0.74124825538,-4.44748953228,0.166666666667,-4.44748953228,-1,12.3333333333,3,6
B,2025Q3,13,4.51015287615,1.35773968284,17.6506158769,0.384615384615,-2.63815537171,6.69051416233,36.3846153846,4,5
B,2025Q4,24,0.777877758681,-0.115427264549,-2.77025434917,0.25,-9.39173991115,-0.294967106774,25.6666666667,10,16
B,2026Q1,16,4.80171729636,0.826390792016,13.2222526723,0.5625,-3.4779684131,3.80171729636,34.4375,7,10
B,2026Q2,15,4.13452418709,0.634451630719,9.51677446079,0.533333333333,-1.92037356763,4.95568915403,25.2666666667,4,8
B,2026Q3,16,5.69545656636,0.919350686533,14.7096109845,0.5625,-1.6071264036,9.15274053838,37.5,4,4
C,2025Q1,15,2.93311497864,0.352716157245,5.29074235868,0.6,-0.828552623589,6.38552363248,44.8,2,2
C,2025Q2,13,0.400047655498,-0.184070051464,-2.39291066903,0.230769230769,-2.80795098151,-0.852191040649,32.1538461538,6,8
C,2025Q3,24,3.54205931884,0.562384334804,13.4972240353,0.375,-2.50433341523,5.38954755513,39.625,5,10
C,2025Q4,39,0.887461869191,-0.0287686894324,-1.12197888786,0.307692307692,-3.35115095118,-0.33480404321,32.3846153846,7,27
C,2026Q1,20,3.62031836619,0.316073172116,6.32146344233,0.55,-2.32140563224,2.72311885287,35.4,5,13
C,2026Q2,25,3.82140271566,0.427181714289,10.6795428572,0.48,-1.32063527806,8.08667088834,36,4,7
C,2026Q3,30,5.32919031625,0.59233670135,17.7701010405,0.566666666667,-1.02728274607,17.2981597408,35.8333333333,3,6
D,2025Q1,15,3.00869856989,0.362833088948,5.44249633422,0.6,-0.797571144055,6.82383806735,44.8,2,2
D,2025Q2,13,0.386443108302,-0.1899796982,-2.4697360766,0.230769230769,-2.8174095632,-0.876598173324,32.1538461538,6,8
D,2025Q3,24,3.57640997903,0.568855369386,13.6525288653,0.375,-2.50933732456,5.44069094722,39.625,5,10
D,2025Q4,39,0.882383598001,-0.0303490174621,-1.18361168102,0.307692307692,-3.32349101495,-0.356135062708,32.3846153846,7,27
D,2026Q1,20,3.68296923259,0.328974987536,6.57949975072,0.55,-2.36465216252,2.78243872608,35.4,5,13
D,2026Q2,25,3.83086402219,0.425442571391,10.6360642848,0.48,-1.30343834235,8.16000568588,36,4,7
D,2026Q3,30,5.33973616729,0.588522077015,17.6556623104,0.566666666667,-1.02688326248,17.1934463784,35.8333333333,3,6
