generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v1,development,T2,M30,January,2,13,-3.69992679748,-1.84996339874,-1.84996339874,1,1,0.5
v1,development,T2,M30,February,2,14,-5.68326963811,-2.84163481905,-2.84163481905,0,2,0
v1,development,T2,M30,March,2,13,-0.767197615501,-0.383598807751,-0.383598807751,1,1,0.5
v1,development,T2,M30,April,2,11,13.4141759169,6.70708795847,6.70708795847,2,0,1
v1,development,T2,M30,May,2,23,-4.98872029698,-2.49436014849,-2.49436014849,0,2,0
v1,development,T2,M30,June,2,9,11.4703814116,5.7351907058,5.7351907058,2,0,1
v1,development,T2,M30,July,2,17,6.95502110822,3.47751055411,3.47751055411,2,0,1
v1,development,T2,M30,August,2,12,4.069086879,2.0345434395,2.0345434395,2,0,1
v1,development,T2,M30,September,2,17,1.12680757595,0.563403787975,0.563403787975,2,0,1
v1,development,T2,M30,October,2,15,6.04771358078,3.02385679039,3.02385679039,1,1,0.5
v1,development,T2,M30,November,2,16,17.7482593717,8.87412968585,8.87412968585,2,0,1
v1,development,T2,M30,December,2,18,-6.07464351968,-3.03732175984,-3.03732175984,0,2,0
v1,walk_forward,T2,M30,February,1,7,-3.59491018638,-3.59491018638,-3.59491018638,0,1,0
v1,walk_forward,T2,M30,March,1,6,-4.41029275894,-4.41029275894,-4.41029275894,0,1,0
v1,walk_forward,T2,M30,April,1,8,7.85869414047,7.85869414047,7.85869414047,1,0,1
v1,walk_forward,T2,M30,May,1,14,-0.532497638828,-0.532497638828,-0.532497638828,0,1,0
v1,walk_forward,T2,M30,June,1,5,6.97616885755,6.97616885755,6.97616885755,1,0,1
v1,walk_forward,T2,M30,July,1,8,0.98413201695,0.98413201695,0.98413201695,1,0,1
v1,walk_forward,T2,M30,August,1,4,1.50732397348,1.50732397348,1.50732397348,1,0,1
v1,walk_forward,T2,M30,September,1,7,1.10446945365,1.10446945365,1.10446945365,1,0,1
v1,walk_forward,T2,M30,October,1,8,-2.19981242841,-2.19981242841,-2.19981242841,0,1,0
v1,true_oos,T2,M30,January,2,11,-6.92949401177,-3.46474700588,-3.46474700588,0,2,0
v1,true_oos,T2,M30,February,2,26,5.49091028623,2.74545514312,2.74545514312,1,1,0.5
v1,true_oos,T2,M30,March,2,14,-7.99753219437,-3.99876609719,-3.99876609719,0,2,0
v1,true_oos,T2,M30,April,2,15,-2.91049201248,-1.45524600624,-1.45524600624,1,1,0.5
v1,true_oos,T2,M30,May,2,15,12.4341041615,6.21705208075,6.21705208075,1,1,0.5
v1,true_oos,T2,M30,June,2,13,-2.0805721088,-1.0402860544,-1.0402860544,0,2,0
v1,true_oos,T2,M30,July,2,16,-7.09518178236,-3.54759089118,-3.54759089118,0,2,0
v1,true_oos,T2,M30,August,2,19,15.725525255,7.8627626275,7.8627626275,2,0,1
v1,true_oos,T2,M30,September,1,8,15.892947974,15.892947974,15.892947974,1,0,1
v1,true_oos,T2,M30,October,1,13,3.85713330933,3.85713330933,3.85713330933,1,0,1
v1,true_oos,T2,M30,November,1,6,1.57294244073,1.57294244073,1.57294244073,1,0,1
v1,true_oos,T2,M30,December,1,15,0.153531982544,0.153531982544,0.153531982544,1,0,1
v1,development,T2,H1,January,1,1,-1.037932284,-1.037932284,-1.037932284,0,1,0
v1,development,T2,H1,February,2,6,-1.8258752475,-0.91293762375,-0.91293762375,0,2,0
v1,development,T2,H1,March,2,7,-3.16333883849,-1.58166941924,-1.58166941924,0,2,0
v1,development,T2,H1,April,2,5,4.41380425948,2.20690212974,2.20690212974,2,0,1
v1,development,T2,H1,May,2,3,4.51390166821,2.25695083411,2.25695083411,1,1,0.5
v1,development,T2,H1,June,2,6,14.9071918687,7.45359593435,7.45359593435,1,1,0.5
v1,development,T2,H1,July,2,5,-1.10451398688,-0.552256993438,-0.552256993438,1,1,0.5
v1,development,T2,H1,August,2,9,11.2622722299,5.63113611497,5.63113611497,2,0,1
v1,development,T2,H1,September,2,12,4.48935739438,2.24467869719,2.24467869719,1,1,0.5
v1,development,T2,H1,October,2,16,13.5915960214,6.79579801069,6.79579801069,2,0,1
v1,development,T2,H1,November,2,7,15.3025971594,7.6512985797,7.6512985797,1,1,0.5
v1,development,T2,H1,December,1,2,-1.75671282287,-1.75671282287,-1.75671282287,0,1,0
v1,walk_forward,T2,H1,February,1,4,-0.906807565172,-0.906807565172,-0.906807565172,0,1,0
v1,walk_forward,T2,H1,March,1,3,-2.59188355234,-2.59188355234,-2.59188355234,0,1,0
v1,walk_forward,T2,H1,April,1,2,2.01698801983,2.01698801983,2.01698801983,1,0,1
v1,walk_forward,T2,H1,May,1,2,5.2808318064,5.2808318064,5.2808318064,1,0,1
v1,walk_forward,T2,H1,June,1,2,-0.77312316284,-0.77312316284,-0.77312316284,0,1,0
v1,walk_forward,T2,H1,August,1,4,0.773295934049,0.773295934049,0.773295934049,1,0,1
v1,walk_forward,T2,H1,September,1,7,5.67346215869,5.67346215869,5.67346215869,1,0,1
v1,walk_forward,T2,H1,October,1,4,0.140726483363,0.140726483363,0.140726483363,1,0,1
v1,walk_forward,T2,H1,November,1,5,17.3410229392,17.3410229392,17.3410229392,1,0,1
v1,true_oos,T2,H1,January,2,4,1.14717519363,0.573587596815,0.573587596815,2,0,1
v1,true_oos,T2,H1,February,2,4,0.697976606758,0.348988303379,0.348988303379,1,1,0.5
v1,true_oos,T2,H1,March,1,4,-1.19216486105,-1.19216486105,-1.19216486105,0,1,0
v1,true_oos,T2,H1,April,2,9,12.1530397349,6.07651986745,6.07651986745,2,0,1
v1,true_oos,T2,H1,May,2,4,-0.730105525835,-0.365052762917,-0.365052762917,1,1,0.5
v1,true_oos,T2,H1,June,2,4,0.081045238805,0.0405226194025,0.0405226194025,1,1,0.5
v1,true_oos,T2,H1,July,2,14,23.1796469514,11.5898234757,11.5898234757,2,0,1
v1,true_oos,T2,H1,August,2,11,6.99477633883,3.49738816941,3.49738816941,1,1,0.5
v1,true_oos,T2,H1,October,1,6,-5.32999293948,-5.32999293948,-5.32999293948,0,1,0
v1,true_oos,T2,H1,November,1,4,4.93213844655,4.93213844655,4.93213844655,1,0,1
v1,true_oos,T2,H1,December,1,5,0.924151066375,0.924151066375,0.924151066375,1,0,1
v1,development,T3,M30,January,2,10,8.73394446429,4.36697223215,4.36697223215,2,0,1
v1,development,T3,M30,February,2,25,-1.82011529556,-0.910057647781,-0.910057647781,1,1,0.5
v1,development,T3,M30,March,2,13,1.24277912104,0.62138956052,0.62138956052,1,1,0.5
v1,development,T3,M30,April,2,22,13.2840402891,6.64202014454,6.64202014454,1,1,0.5
v1,development,T3,M30,May,2,23,-2.60850879948,-1.30425439974,-1.30425439974,1,1,0.5
