generation,lifecycle_stage,strategy,timeframe,YYYY-MM,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,baseline,T2,M30,2023-01,7,0.232305490034,-0.584504480557,-4.0915313639,-4.0915313639,0.142857142857
v1,baseline,T2,M30,2023-02,7,0.164038828366,-0.298337064533,-2.08835945173,-2.08835945173,0.428571428571
v1,baseline,T2,M30,2023-03,7,3.1995224714,0.520442163349,3.64309514344,-1.09111661805,0.571428571429
v1,baseline,T2,M30,2023-04,3,8.34666678301,1.85182725882,5.55548177648,-0.756190792445,0.666666666667
v1,baseline,T2,M30,2023-05,9,0,-0.495135850906,-4.45622265815,-4.45622265815,0
v1,baseline,T2,M30,2023-06,4,3.81887200882,1.12355313851,4.49421255405,-1.59433012211,0.25
v1,baseline,T2,M30,2023-07,9,3.06877676866,0.663432121252,5.97088909127,-1.60306626493,0.444444444444
v1,baseline,T2,M30,2023-08,8,1.90212242714,0.32022036319,2.56176290552,-2.03559006061,0.5
v1,baseline,T2,M30,2023-09,10,1.00561336377,0.00223381222963,0.0223381222963,-3.97945388792,0.5
v1,baseline,T2,M30,2023-10,7,4.85675775668,1.17821800131,8.2475260092,-2.13846098965,0.571428571429
v1,baseline,T2,M30,2023-11,7,4.11114743238,1.24632721689,8.72429051824,-2.07928467603,0.428571428571
v1,baseline,T2,M30,2023-12,8,0,-0.585066177345,-4.68052941876,-4.68052941876,0
v1,baseline,T2,M30,2024-01,6,1.13883613474,0.0652674277357,0.391604566414,-2.82062423547,0.5
v1,baseline,T2,M30,2024-02,7,0.120000913142,-0.513558598054,-3.59491018638,-4.08512945077,0.142857142857
v1,baseline,T2,M30,2024-03,6,0.138891655637,-0.735048793157,-4.41029275894,-5.12164675655,0.166666666667
v1,baseline,T2,M30,2024-04,8,4.78983578018,0.982336767559,7.85869414047,-1.61757411126,0.5
v1,baseline,T2,M30,2024-05,14,0.914022400141,-0.0380355456306,-0.532497638828,-2.56824417743,0.357142857143
v1,baseline,T2,M30,2024-06,5,4.19393881853,1.39523377151,6.97616885755,-1.17829360307,0.4
v1,baseline,T2,M30,2024-07,8,1.2802456368,0.123016502119,0.98413201695,-1.84802563073,0.25
v1,baseline,T2,M30,2024-08,4,1.80036636537,0.376830993371,1.50732397348,-1.88329250042,0.25
v1,baseline,T2,M30,2024-09,7,1.52428619346,0.157781350522,1.10446945365,-1.05681080967,0.428571428571
v1,baseline,T2,M30,2024-10,8,0.469635542107,-0.274976553552,-2.19981242841,-3.56644594363,0.25
v1,baseline,T2,M30,2024-11,9,2.57575183491,1.00266320594,9.02396885347,-5.72677032863,0.111111111111
v1,baseline,T2,M30,2024-12,10,0.758984125201,-0.139411410092,-1.39411410092,-2.98011509002,0.2
v1,walk_forward,T2,M30,2024-02,7,0.120000913142,-0.513558598054,-3.59491018638,-4.08512945077,0.142857142857
v1,walk_forward,T2,M30,2024-03,6,0.138891655637,-0.735048793157,-4.41029275894,-5.12164675655,0.166666666667
v1,walk_forward,T2,M30,2024-04,8,4.78983578018,0.982336767559,7.85869414047,-1.61757411126,0.5
v1,walk_forward,T2,M30,2024-05,14,0.914022400141,-0.0380355456306,-0.532497638828,-2.56824417743,0.357142857143
v1,walk_forward,T2,M30,2024-06,5,4.19393881853,1.39523377151,6.97616885755,-1.17829360307,0.4
v1,walk_forward,T2,M30,2024-07,8,1.2802456368,0.123016502119,0.98413201695,-1.84802563073,0.25
v1,walk_forward,T2,M30,2024-08,4,1.80036636537,0.376830993371,1.50732397348,-1.88329250042,0.25
v1,walk_forward,T2,M30,2024-09,7,1.52428619346,0.157781350522,1.10446945365,-1.05681080967,0.428571428571
v1,walk_forward,T2,M30,2024-10,8,0.469635542107,-0.274976553552,-2.19981242841,-3.56644594363,0.25
v1,true_oos,T2,M30,2025-01,5,0,-0.709856654745,-3.54928327372,-3.54928327372,0
v1,true_oos,T2,M30,2025-02,11,3.50745054034,1.21678469063,13.3846315969,-2.24278308789,0.363636363636
v1,true_oos,T2,M30,2025-03,2,0,-0.897882767322,-1.79576553464,-1.79576553464,0
v1,true_oos,T2,M30,2025-04,8,0.0885413803398,-0.577772229645,-4.62217783716,-4.62217783716,0.125
v1,true_oos,T2,M30,2025-05,8,0.83899665654,-0.0861301122954,-0.689040898363,-2.75352174087,0.375
v1,true_oos,T2,M30,2025-06,6,0.235671056892,-0.29084506854,-1.74507041124,-2.28314056006,0.333333333333
v1,true_oos,T2,M30,2025-07,6,0.0367338408082,-0.467468007822,-2.80480804693,-2.80480804693,0.166666666667
v1,true_oos,T2,M30,2025-08,6,1.30597335121,0.177133292995,1.06279975797,-1.95221134145,0.333333333333
v1,true_oos,T2,M30,2025-09,8,8.29035538118,1.98661849675,15.892947974,-1.01830484393,0.625
v1,true_oos,T2,M30,2025-10,13,1.96270438291,0.296702562256,3.85713330933,-3.36791445821,0.538461538462
v1,true_oos,T2,M30,2025-11,6,1.44566768144,0.262157073454,1.57294244073,-2.92213707284,0.333333333333
v1,true_oos,T2,M30,2025-12,15,1.01827583822,0.0102354655029,0.153531982544,-2.17822892,0.2
v1,true_oos,T2,M30,2026-01,6,0,-0.563368456341,-3.38021073805,-3.38021073805,0
v1,true_oos,T2,M30,2026-02,15,0.0337240506136,-0.526248087377,-7.89372131065,-7.89372131065,0.2
v1,true_oos,T2,M30,2026-03,12,0.236405478513,-0.516813888311,-6.20176665973,-6.20176665973,0.0833333333333
v1,true_oos,T2,M30,2026-04,7,1.60819371798,0.244526546383,1.71168582468,-1.96788924714,0.285714285714
v1,true_oos,T2,M30,2026-05,7,10.2371695053,1.87473500855,13.1231450599,-0.743306254943,0.428571428571
v1,true_oos,T2,M30,2026-06,7,0.891451111708,-0.0479288139371,-0.33550169756,-1.62055943236,0.571428571429
v1,true_oos,T2,M30,2026-07,10,0.281906231642,-0.429037373543,-4.29037373543,-4.33486643145,0.3
v1,true_oos,T2,M30,2026-08,13,3.70511299775,1.12790196131,14.662725497,-3.89030854816,0.538461538462
v1,baseline,T2,H1,2023-01,1,0,-1.037932284,-1.037932284,-1.037932284,0
v1,baseline,T2,H1,2023-02,2,0,-0.459533841154,-0.919067682308,-0.919067682308,0
v1,baseline,T2,H1,2023-03,4,0.549033123272,-0.142863821536,-0.571455286143,-1.26717795837,0.5
v1,baseline,T2,H1,2023-04,1,NA,4.31974035329,4.31974035329,0,1
v1,baseline,T2,H1,2023-05,1,0,-0.766930138188,-0.766930138188,-0.766930138188,0
v1,baseline,T2,H1,2023-06,4,23.92846069,3.92007875789,15.6803150315,-0.683879970992,0.75
v1,baseline,T2,H1,2023-07,3,1.49328237038,0.293392638724,0.880177916171,-1.01883996926,0.333333333333
v1,baseline,T2,H1,2023-08,5,11.459146191,2.09779525917,10.4889762958,-1.00285205927,0.8
v1,baseline,T2,H1,2023-09,5,0.56523442059,-0.236820952862,-1.18410476431,-2.72354763207,0.2
v1,baseline,T2,H1,2023-10,7,7.52460687391,1.22251100391,8.55757702736,-0.950338553215,0.571428571429
v1,baseline,T2,H1,2023-11,2,0,-1.01921288991,-2.03842577983,-2.03842577983,0
v1,baseline,T2,H1,2023-12,2,0,-0.878356411437,-1.75671282287,-1.75671282287,0
v1,baseline,T2,H1,2024-02,4,0.565938299262,-0.226701891298,-0.906807565192,-2.08912134761,0.25
v1,baseline,T2,H1,2024-03,3,0,-0.863961184115,-2.59188355234,-2.59188355234,0
