generation,strategy,timeframe,futures_type,instrument_universe,lifecycle_stage,candidate_id,classification,period_start,period_end,first_trade_exit,last_trade_exit,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_win_R,average_loss_R,trade_frequency,trade_frequency_provenance,bootstrap_probability_mean_R_gt_0,observed_quarters,positive_quarters,positive_quarter_share,instrument_gate,direction_gate,net_R_without_top1,top1_positive_R_share,net_R_without_top3,top3_positive_R_share,net_R_without_top5,top5_positive_R_share,concentration_provenance,baseline_PF,baseline_expectancy_R,baseline_max_drawdown_R,WF_PF,WF_expectancy_R,WF_max_drawdown_R,TRUE_OOS_PF,TRUE_OOS_expectancy_R,TRUE_OOS_max_drawdown_R,phase2_candidate_PF,phase2_candidate_expectancy_R,phase2_candidate_max_drawdown_R
v1,T2,M30,perpetual,USDRUBF|CNYRUBF,baseline,NA,NA,NA,NA,2023-01-20T15:30:00+03:00,2024-12-28T14:00:00+03:00,178,1.48755149674,0.222571280767,39.6176879764,-15.0847664713,2.62633750757,0.325842696629,2.08407166466,-0.677153904783,NA,NA,NA,8,6,0.75,NA,NA,24.8669487943,0.122031834921,10.0718003677,0.244431064421,-0.971414470671,0.335790809416,DERIVED_FROM_C1_TRADES,1.48755149674,0.222571280767,-15.0847664713,1.24573377987,0.114825006411,-9.20677620732,1.32993115826,0.164408323389,-19.6736197975,1.48755149674,0.222571280767,-15.0847664713
v1,T2,M30,perpetual,USDRUBF|CNYRUBF,walk_forward,T2_M30_candidate_v1,WALK_FORWARD_BORDERLINE,NA,NA,2024-02-05T15:30:00+03:00,2024-10-29T10:30:00+03:00,67,1.24573377987,0.114825006411,7.69327542955,-9.20677620732,0.835610126315,0.313432835821,1.85717302247,-0.680594740053,NA,NA,NA,4,2,0.5,NA,NA,-0.947870482051,0.221564245048,-8.12735901274,0.40565070446,-14.7205690417,0.574704625947,DERIVED_FROM_C1_TRADES,1.48755149674,0.222571280767,-15.0847664713,1.24573377987,0.114825006411,-9.20677620732,1.32993115826,0.164408323389,-19.6736197975,1.48755149674,0.222571280767,-15.0847664713
v1,T2,M30,perpetual,USDRUBF|CNYRUBF,true_oos,T2_M30_candidate_v1,BORDERLINE,NA,NA,2025-01-15T20:00:00+03:00,2026-08-27T18:30:00+03:00,171,1.32993115826,0.164408323389,28.1138232995,-19.6736197975,1.42901121344,0.309941520468,2.13820760858,-0.722128643687,NA,NA,0.8343,7,5,0.714285714286,NA,NA,13.502150483,0.128936001737,-7.85811176144,0.317422757802,-23.0169098825,0.451186690612,SOURCE,1.48755149674,0.222571280767,-15.0847664713,1.24573377987,0.114825006411,-9.20677620732,1.32993115826,0.164408323389,-19.6736197975,1.48755149674,0.222571280767,-15.0847664713
v1,T2,H1,perpetual,USDRUBF|CNYRUBF,baseline,NA,NA,NA,NA,2023-01-23T20:00:00+03:00,2024-11-29T17:00:00+03:00,79,2.79452271777,0.754333511668,59.5923474218,-9.21675383381,6.465654665,0.443037974684,2.65143590273,-0.754725208494,47.5,SOURCE,NA,8,6,0.75,NA,NA,44.217573365,0.165675986477,31.3982257382,0.303815126358,20.7065685391,0.419026631059,DERIVED_FROM_C1_TRADES,2.79452271777,0.754333511668,-9.21675383381,3.24792360974,0.816803426097,-3.49869111752,2.40553629688,0.621125887693,-9.46784963186,2.24786524529,0.532454866083,-9.72662840455
v1,T2,H1,perpetual,USDRUBF|CNYRUBF,walk_forward,T2_candidate_v1,WALK_FORWARD_BORDERLINE,NA,NA,2024-02-05T16:00:00+03:00,2024-11-29T17:00:00+03:00,33,3.24792360974,0.816803426097,26.9545130612,-3.49869111752,7.70417054717,0.484848484848,2.43408514254,-0.705344071733,NA,NA,NA,4,3,0.75,NA,NA,11.5797390044,0.394778046896,2.82225602491,0.619643922231,-1.05337861926,0.719158586294,DERIVED_FROM_C1_TRADES,2.79452271777,0.754333511668,-9.21675383381,3.24792360974,0.816803426097,-3.49869111752,2.40553629688,0.621125887693,-9.46784963186,2.24786524529,0.532454866083,-9.72662840455
v1,T2,H1,perpetual,USDRUBF|CNYRUBF,true_oos,T2_candidate_v1,PASS,NA,NA,2025-01-27T19:00:00+03:00,2026-08-30T19:00:00+03:00,69,2.40553629688,0.621125887693,42.8576862508,-9.46784963186,4.5266547228,0.434782608696,2.44499128448,-0.781847494451,NA,NA,NA,7,5,0.714285714286,NA,NA,29.8644581649,0.177140755312,15.8652525729,0.367996317605,5.4571586207,0.509893128148,DERIVED_FROM_C1_TRADES,2.79452271777,0.754333511668,-9.21675383381,3.24792360974,0.816803426097,-3.49869111752,2.40553629688,0.621125887693,-9.46784963186,2.24786524529,0.532454866083,-9.72662840455
v1,T3,M30,perpetual,USDRUBF|CNYRUBF,baseline,NA,NA,NA,NA,2023-01-31T10:00:00+03:00,2024-12-24T16:30:00+03:00,235,2.00268933089,0.425920854548,100.091400819,-17.8646979833,5.60274799564,0.43829787234,1.94091596807,-0.756234423428,NA,NA,NA,8,7,0.875,NA,NA,90.2037365481,0.0494595036943,74.9578549511,0.125721572927,61.4811784702,0.193133826412,DERIVED_FROM_C1_TRADES,2.00268933089,0.425920854548,-17.8646979833,1.86427903047,0.358769755588,-8.94922459667,2.09841295133,0.448784117735,-14.3940115028,2.39563875011,0.530481219958,-8.94922459666
v1,T3,M30,perpetual,USDRUBF|CNYRUBF,walk_forward,T3_M30_candidate_v1,WALK_FORWARD_PASS,NA,NA,2024-02-05T15:30:00+03:00,2024-10-16T10:30:00+03:00,60,1.86427903047,0.358769755588,21.5261853353,-8.94922459667,2.40536876717,0.416666666667,1.85730832343,-0.711614935731,NA,NA,NA,4,3,0.75,NA,NA,13.8305087566,0.165738267181,2.70297005332,0.405386979522,-3.75446140081,0.544457727715,DERIVED_FROM_C1_TRADES,2.00268933089,0.425920854548,-17.8646979833,1.86427903047,0.358769755588,-8.94922459667,2.09841295133,0.448784117735,-14.3940115028,2.39563875011,0.530481219958,-8.94922459666
v1,T3,M30,perpetual,USDRUBF|CNYRUBF,true_oos,T3_M30_candidate_v1,PASS,NA,NA,2025-01-22T20:00:00+03:00,2026-08-29T14:00:00+03:00,162,2.09841295133,0.448784117735,72.703027073,-14.3940115028,5.05092184059,0.444444444444,1.92905810942,-0.735435075617,NA,NA,0.9972,7,6,0.857142857143,NA,NA,58.3559193198,0.103296725219,35.7221159568,0.266256243393,20.5296782878,0.375639199617,SOURCE,2.00268933089,0.425920854548,-17.8646979833,1.86427903047,0.358769755588,-8.94922459667,2.09841295133,0.448784117735,-14.3940115028,2.39563875011,0.530481219958,-8.94922459666
v1,T3,H1,perpetual,USDRUBF|CNYRUBF,baseline,NA,NA,NA,NA,2023-02-10T10:00:00+03:00,2024-12-09T16:00:00+03:00,114,2.13329433172,0.487242051472,55.5455938679,-12.9984183288,4.27325790437,0.438596491228,2.09116197327,-0.765820387428,54.5,SOURCE,NA,8,5,0.625,NA,NA,41.5811259431,0.133557018569,26.9716312675,0.273283112123,17.2760047202,0.366012672733,DERIVED_FROM_C1_TRADES,2.13329433172,0.487242051472,-12.9984183288,3.38032767202,0.967991319974,-5.03856213251,2.67722820365,0.590007031994,-11.4999386679,2.05031716776,0.463442957611,-16.7839035694
