generation,lifecycle_stage,strategy,timeframe,months_observed,positive_months,negative_months,flat_months,positive_month_share,total_net_R,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_positive_month_streak,longest_negative_month_streak
v1,development,T2,M30,24,15,9,0,0.625,39.6176879764,1.65073699902,1.0443007353,4.49102772207,9.02396885347,-4.68052941876,6,2
v1,walk_forward,T2,M30,9,5,4,0,0.555555555556,7.69327542955,0.854808381061,0.98413201695,4.02501778178,7.85869414047,-4.41029275894,4,2
v1,true_oos,T2,M30,20,9,11,0,0.45,28.1138232995,1.40569116498,-0.512271297962,7.00055004291,15.892947974,-7.89372131065,5,5
v1,development,T2,H1,22,11,11,0,0.5,59.5923474218,2.70874306463,-0.238695689976,5.63039274005,17.3410229392,-2.59188355234,4,4
v1,walk_forward,T2,H1,9,6,3,0,0.666666666667,26.9545130612,2.99494589569,0.773295934049,5.70460863104,17.3410229392,-2.59188355234,4,2
v1,true_oos,T2,H1,18,12,6,0,0.666666666667,42.8576862508,2.38098256949,0.688147843743,5.02735074813,12.4132871188,-5.32999293948,5,2
v1,development,T3,M30,24,18,6,0,0.75,105.15391136,4.38141297334,3.32236587131,6.59875867471,19.5714314165,-6.18113833766,7,4
v1,walk_forward,T3,M30,9,6,3,0,0.666666666667,21.5261853353,2.39179837058,1.70854505912,5.30351792904,12.3225145294,-6.12352499684,5,2
v1,true_oos,T3,M30,19,11,8,0,0.578947368421,72.703027073,3.82647510911,1.0858899476,7.9693141744,25.3784858,-7.80547293521,4,3
v1,development,T3,H1,22,11,11,0,0.5,57.2556586968,2.60252994076,0.130935450937,6.58393846493,22.8821462152,-4.3009925522,6,4
v1,walk_forward,T3,H1,8,5,3,0,0.625,33.5303075622,4.19128844527,1.98552262959,8.18270443713,22.8821462152,-2.94555261956,5,2
v1,true_oos,T3,H1,17,11,6,0,0.647058823529,57.2306821034,3.36651071197,1.98305899899,5.98135700472,16.3167373881,-3.93294992688,4,2
v2,development,T2,M30,60,37,23,0,0.616666666667,179.500078995,2.99166798325,2.67023059759,8.09211265417,23.3631214622,-11.9565835251,9,4
v2,walk_forward,T2,M30,12,7,5,0,0.583333333333,14.0841726476,1.17368105397,1.84906859525,5.25812705872,9.78591407182,-12.9234614551,4,2
v2,true_oos,T2,M30,21,12,9,0,0.571428571429,140.011328726,6.66720612983,1.58981229154,20.2150298584,88.3102148687,-10.4861279919,3,2
v2,development,T2,H1,60,37,23,0,0.616666666667,194.368185188,3.23946975313,1.57954405381,7.06244368163,24.3936141512,-8.88193544805,12,5
v2,walk_forward,T2,H1,12,9,3,0,0.75,33.525522037,2.79379350308,1.55569137228,5.63100004855,15.3475400733,-4.75919348381,4,1
v2,true_oos,T2,H1,21,10,11,0,0.47619047619,38.732434746,1.84440165457,-0.289177875372,6.45811137634,17.9908035387,-5.3157243642,7,6
v2,development,T3,M30,60,41,19,0,0.683333333333,257.573978294,4.29289963823,2.75187082701,8.03728438709,30.8063279363,-9.50972968452,9,3
v2,walk_forward,T3,M30,12,7,5,0,0.583333333333,29.5074559539,2.45895466282,1.58524543829,7.08499936689,14.5711079108,-7.91709200678,3,2
v2,true_oos,T3,M30,21,15,6,0,0.714285714286,155.750286569,7.4166803128,5.44113715907,12.2212517904,36.1799591394,-11.7654022044,4,1
v2,development,T3,H1,59,35,24,0,0.593220338983,151.550692518,2.56865580539,0.963942675299,6.99466478669,31.197474464,-11.101405783,6,5
v2,walk_forward,T3,H1,8,4,4,0,0.5,29.0909635943,3.63637044929,3.00319463905,8.58227145731,16.6395481024,-7.69431330597,2,1
v2,true_oos,T3,H1,20,13,7,0,0.65,64.3352683952,3.21676341976,1.23641802856,7.6046845451,18.4047412263,-7.77315036312,3,2
v3,development,T2,M30,24,16,8,0,0.666666666667,96.9116378452,4.03798491022,4.13558892908,6.55236844372,22.5179194732,-4.47767707812,7,3
v3,walk_forward,T2,M30,12,8,4,0,0.666666666667,61.3976206196,5.11646838497,2.88572952122,6.85327090652,22.3337983283,-1.88890061675,6,2
v3,true_oos,T2,M30,21,9,12,0,0.428571428571,33.1829893298,1.58014234904,-0.962518435596,7.88181322377,22.6986002986,-11.1034642053,4,3
v3,development,T2,H1,24,14,10,0,0.583333333333,80.4868887521,3.35362036467,1.05728259447,6.87956760217,24.3793270492,-4.43060922523,5,3
v3,walk_forward,T2,H1,12,9,3,0,0.75,48.306567917,4.02554732641,1.65181165775,7.56688305896,25.0037528462,-4.43060922523,5,1
v3,true_oos,T2,H1,21,13,8,0,0.619047619048,65.5357324264,3.12074916316,1.63766454159,7.02897180285,23.2340982915,-5.88375222121,4,3
v3,development,T3,M30,24,20,4,0,0.833333333333,130.435244894,5.43480187058,4.57471724335,7.63476900835,27.6297800293,-8.98726102617,7,1
v3,walk_forward,T3,M30,12,10,2,0,0.833333333333,46.6658745082,3.88882287568,1.54932078299,10.015524147,30.4758907122,-9.98676947601,7,1
v3,true_oos,T3,M30,21,12,9,0,0.571428571429,156.472159178,7.45105519897,3.24529456942,12.7520578183,46.0192224832,-6.17486123799,5,4
v3,development,T3,H1,23,14,9,0,0.608695652174,82.173218162,3.57274861574,0.921279470191,7.01559764488,26.0704473775,-2.95461926846,3,2
v3,walk_forward,T3,H1,8,6,2,0,0.75,38.2931490927,4.78664363659,2.08914057426,6.97498582378,20.856357902,-1.61593806101,6,1
v3,true_oos,T3,H1,20,12,8,0,0.6,84.4310545203,4.22155272601,0.566413488568,9.14000148492,27.4675869924,-5.02517283863,4,2
