generation,lifecycle_stage,strategy,timeframe,quarter,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,baseline,T2,M30,2023-Q1,21,0.732521209693,-0.120799793914,-2.53679567219,-7.03470567314,0.380952380952
v1,baseline,T2,M30,2023-Q2,16,1.82175442818,0.349591979523,5.59347167237,-6.80674357271,0.1875
v1,baseline,T2,M30,2023-Q3,27,1.88147126277,0.316851485892,8.55499011908,-3.97945388792,0.481481481481
v1,baseline,T2,M30,2023-Q4,22,2.27725651441,0.558694868576,12.2912871087,-6.75981409479,0.318181818182
v1,baseline,T2,M30,2024-Q1,19,0.366978889984,-0.400715704153,-7.6135983789,-10.2173492222,0.263157894737
v1,baseline,T2,M30,2024-Q2,27,2.36848239863,0.529717235526,14.3023653592,-3.02429398982,0.407407407407
v1,baseline,T2,M30,2024-Q3,19,1.47935545012,0.189259233899,3.59592544409,-2.94010331009,0.315789473684
v1,baseline,T2,M30,2024-Q4,27,1.34677185293,0.201112678672,5.43004232414,-7.92658275705,0.185185185185
v1,walk_forward,T2,M30,2024-Q1,13,0.130509663203,-0.615784841948,-8.00520294532,-9.20677620732,0.153846153846
v1,walk_forward,T2,M30,2024-Q2,27,2.36848239863,0.529717235526,14.3023653592,-3.02429398982,0.407407407407
v1,walk_forward,T2,M30,2024-Q3,19,1.47935545012,0.189259233899,3.59592544409,-2.94010331009,0.315789473684
v1,walk_forward,T2,M30,2024-Q4,8,0.469635542107,-0.274976553552,-2.19981242841,-3.56644594363,0.25
v1,true_oos,T2,M30,2025-Q1,18,1.75255900885,0.446643488251,8.03958278852,-5.79206636161,0.222222222222
v1,true_oos,T2,M30,2025-Q2,22,0.393476775401,-0.320740415762,-7.05628914676,-7.05628914676,0.272727272727
v1,true_oos,T2,M30,2025-Q3,20,2.6521301847,0.70754698425,14.150939685,-4.3261010279,0.4
v1,true_oos,T2,M30,2025-Q4,34,1.3503597421,0.164223756841,5.5836077326,-3.36791445821,0.352941176471
v1,true_oos,T2,M30,2026-Q1,33,0.111611619892,-0.529566627528,-17.4756987084,-17.4756987084,0.121212121212
v1,true_oos,T2,M30,2026-Q2,21,2.97919987926,0.690444246999,14.499329187,-1.96788924714,0.428571428571
v1,true_oos,T2,M30,2026-Q3,23,1.91025104891,0.450971815722,10.3723517616,-4.3707126104,0.434782608696
v1,baseline,T2,H1,2023-Q1,7,0.215782964984,-0.361207893207,-2.52845525245,-3.21487843367,0.285714285714
v1,baseline,T2,H1,2023-Q2,6,14.2568177772,3.20552087444,19.2331252467,-0.766930138188,0.666666666667
v1,baseline,T2,H1,2023-Q3,13,2.84822198245,0.78346534213,10.1850494477,-2.72354763207,0.461538461538
v1,baseline,T2,H1,2023-Q4,11,1.93258196855,0.432948947696,4.76243842466,-3.7951386027,0.363636363636
v1,baseline,T2,H1,2024-Q1,7,0.252576916215,-0.499813016791,-3.49869111754,-3.49869111754,0.142857142857
v1,baseline,T2,H1,2024-Q2,8,2.24306005797,0.575221568719,4.60177254975,-1.92292411358,0.375
v1,baseline,T2,H1,2024-Q3,13,2.00388601152,0.343235860751,4.46206618976,-3.28525812399,0.538461538462
v1,baseline,T2,H1,2024-Q4,14,5.39787041529,1.59821728095,22.3750419332,-1.46347121484,0.571428571429
