generation,research_branch,strategy,timeframe,instrument_scope,lifecycle_stage,artifact_type,repository_path,source_commit,exists,usable,notes
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,development,trades,TradingSystemLab/results/multitimeframe_research/T2/M30/CNYRUBF_trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,development,trades,TradingSystemLab/results/multitimeframe_research/T2/M30/USDRUBF_trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,walk_forward,trades,TradingSystemLab/results/walk_forward/M30/T2/stitched_forward_trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,walk_forward,metrics,TradingSystemLab/results/walk_forward/M30/T2/aggregate_metrics.json,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,true_oos,trades,TradingSystemLab/results/true_oos_validation/M30/T2/trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,M30,USDRUBF|CNYRUBF,true_oos,metrics,TradingSystemLab/results/true_oos_validation/M30/T2/metrics.json,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,development,trades,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,development,trades,TradingSystemLab/results/multitimeframe_research/T2/H1/USDRUBF_trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,walk_forward,trades,TradingSystemLab/results/walk_forward_validation/T2/trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,walk_forward,metrics,TradingSystemLab/results/walk_forward_validation/T2/metrics.json,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,true_oos,trades,TradingSystemLab/results/true_oos_validation/T2/trades.csv,NA,true,true,Committed source artifact; no market data read.
v1,canonical_v1,T2,H1,USDRUBF|CNYRUBF,true_oos,metrics,TradingSystemLab/results/true_oos_validation/T2/metrics.json,NA,true,true,Committed source artifact; no market data read.
