generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,total_net_R,positive_R_contribution,negative_R_contribution,worst_month_R,monthly_equity_drawdown_contribution,months_contributing_to_portfolio_drawdown,months_offsetting_portfolio_loss,offset_R_during_other_instrument_losses
v2,quarterly,baseline,T2,M30,Si,19.7243036038,83.6263661385,-63.9020625347,-5.56462501064,-25.9198558518,22,12,34.1027907638
v2,quarterly,baseline,T2,M30,CNY,13.7825014606,47.9377998772,-34.1552984166,-4.00289460369,-2.91577883564,10,3,14.6174477995
v2,quarterly,baseline,T2,M30,GD,-9.7506196969,48.8172951845,-58.5679148814,-4.58040093764,-24.0483217758,24,10,27.5860400313
v2,quarterly,baseline,T2,M30,BR,37.1685782615,95.8504383387,-58.6818600772,-5.02424071262,-11.6992687834,20,7,29.5125065351
v2,quarterly,baseline,T2,M30,MIX,47.7754034575,100.121810263,-52.3464068053,-4.78340106372,9.38810423826,18,13,42.1467109654
v2,quarterly,baseline,T2,M30,NG,70.7999119086,121.366328851,-50.5664169423,-4.01638659127,-7.94148462788,22,9,41.542092422
v2,quarterly,baseline,T2,H1,Si,52.9914120246,70.6836265366,-17.692214512,-2.00001276286,15.1923037169,12,16,34.2663732411
v2,quarterly,baseline,T2,H1,CNY,64.1037778885,80.6006739792,-16.4968960907,-3.41598724336,-1.6630711226,6,3,4.44295174709
v2,quarterly,baseline,T2,H1,GD,15.3437894759,51.3156769253,-35.9718874494,-3.31347669545,-8.13695689464,21,5,12.530696993
v2,quarterly,baseline,T2,H1,BR,20.9347124211,56.3637595141,-35.429047093,-3.1230368981,4.31441984703,18,8,22.1171841272
v2,quarterly,baseline,T2,H1,MIX,-7.98713375323,34.586503797,-42.5736375502,-4.16312822426,-26.2687462374,22,8,13.9871154818
v2,quarterly,baseline,T2,H1,NG,48.9816271309,83.8395450336,-34.8579179027,-4.6018232258,-15.3545589272,17,13,37.0253608334
v2,quarterly,baseline,T3,M30,Si,79.5098641048,119.321613313,-39.8117492084,-3.17462768856,-19.5370612312,22,6,14.7192875123
v2,quarterly,baseline,T3,M30,CNY,46.8197505852,65.3872419875,-18.5674914023,-5.08742205694,0.150749579107,5,4,9.94873143083
v2,quarterly,baseline,T3,M30,GD,8.53662800832,64.5989883458,-56.0623603375,-4.43032078608,-7.34287090117,17,9,37.5542087605
v2,quarterly,baseline,T3,M30,BR,-0.920960510669,61.6083377799,-62.5292982906,-7.46408023867,-24.4320222686,20,6,10.2887783414
v2,quarterly,baseline,T3,M30,MIX,52.1916912163,95.8328836102,-43.6411923939,-5.4451785229,5.45521260628,12,11,33.2473169082
