generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,months_observed,months_with_trades,total_trades,total_net_R,PF,expectancy_R,positive_months,negative_months,positive_month_share,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_negative_month_streak,contribution_to_portfolio_total_R,contribution_to_positive_R,contribution_to_negative_R,share_of_portfolio_losses,number_of_months_in_which_instrument_was_worst,number_of_months_in_which_instrument_was_best
v2,quarterly,baseline,T2,M30,Si,60,58,269,19.7243036038,1.15269645622,0.073324548713,26,32,0.433333333333,0.328738393397,-0.301453247848,3.48892863911,14.4109347537,-5.56462501064,6,0.109884651384,0.281286053158,0.542462325366,0.200810981824,13,10
v2,quarterly,baseline,T2,M30,CNY,33,32,138,13.7825014606,1.21046971829,0.09987319899,15,17,0.454545454545,0.417651559413,-0.300960853,3.0649265456,7.60083137821,-4.00289460369,8,0.0767827041513,0.161243817556,0.289943107745,0.107332357321,3,4
v2,quarterly,baseline,T2,M30,GD,60,60,218,-9.7506196969,0.906141698135,-0.0447276132885,25,35,0.416666666667,-0.162510328282,-0.60814150169,2.32972830338,6.33498246711,-4.58040093764,7,-0.0543209771911,0.164202092263,0.497180936549,0.18404852714,14,5
v2,quarterly,baseline,T2,M30,BR,60,59,257,37.1685782615,1.30390871205,0.144624818138,28,31,0.466666666667,0.619476304359,-0.0842647531115,3.6430414734,12.1874886094,-5.02424071262,4,0.207067197238,0.322403002052,0.498148213244,0.184406597689,14,13
v2,quarterly,baseline,T2,M30,MIX,60,59,299,47.7754034575,1.33833838581,0.159783958052,30,29,0.5,0.796256724291,0.0436293111875,3.51767996299,13.1670072202,-4.78340106372,4,0.2661581194,0.336770209495,0.444366776812,0.164497559681,10,14
v2,quarterly,baseline,T2,M30,NG,59,59,257,70.7999119086,1.59319334297,0.275486038555,29,30,0.491525423729,1.19999850693,-0.129387592113,3.78662683785,13.7875434833,-4.01638659127,5,0.394428305018,0.408228375871,0.429256506471,0.158903976346,6,14
v2,quarterly,baseline,T2,H1,Si,60,51,126,52.9914120246,2.0414969124,0.4205667621,28,23,0.466666666667,0.883190200411,0,2.13773533719,7.23205717254,-2.00001276286,4,0.272634186369,0.272464778078,0.271958626629,0.0966673575914,5,17
v2,quarterly,baseline,T2,H1,CNY,33,27,54,64.1037778885,3.84079403438,1.18710699794,14,13,0.424242424242,1.94253872389,0,5.69576944144,23.1040697413,-3.41598724336,3,0.329805918734,0.310692105438,0.253584603637,0.0901363338362,6,7
v2,quarterly,baseline,T2,H1,GD,60,50,114,15.3437894759,1.27820625653,0.134594644525,17,33,0.283333333333,0.255729824598,-0.285911030255,2.21838030341,7.21701969955,-3.31347669545,6,0.0789418775561,0.19780697752,0.552947461799,0.196544491644,11,8
v2,quarterly,baseline,T2,H1,BR,60,51,129,20.9347124211,1.36745038073,0.162284592412,22,29,0.366666666667,0.348911873686,0,2.07400559486,5.75498964511,-3.1230368981,4,0.107706476762,0.217265864531,0.544603106846,0.193578500992,12,10
v2,quarterly,baseline,T2,H1,MIX,60,56,154,-7.98713375323,0.891279816417,-0.0518645048911,22,34,0.366666666667,-0.133118895887,-0.275031493007,1.70497802032,5.08000644094,-4.16312822426,9,-0.0410928040796,0.133320891178,0.654427290091,0.232615371143,13,6
v2,quarterly,baseline,T2,H1,NG,59,54,130,48.9816271309,1.8576833791,0.376781747161,28,26,0.474576271186,0.830197070015,0,2.97112059322,9.79373318024,-4.6018232258,3,0.252004344659,0.323177009316,0.535823905683,0.190457944794,13,12
v2,quarterly,baseline,T3,M30,Si,60,57,276,79.5098641048,1.65967157012,0.288079217771,29,28,0.483333333333,1.32516440175,0,3.82217259674,16.9518498405,-3.17462768856,9,0.308687487111,0.370046838632,0.613658656199,0.157815723988,10,13
v2,quarterly,baseline,T3,M30,CNY,33,30,148,46.8197505852,1.70182143168,0.316349666116,17,13,0.515151515152,1.41878032076,0.127826717336,4.03782604303,12.9322158158,-5.08742205694,5,0.181772052034,0.202782559777,0.286199477528,0.073602445423,4,5
v2,quarterly,baseline,T3,M30,GD,60,58,272,8.53662800832,1.06823817667,0.0313846617953,25,33,0.416666666667,0.142277133472,-0.175550482458,3.15747766515,15.5247749628,-4.43032078608,6,0.0331424317971,0.200337983643,0.8641457206,0.222233942519,14,10
v2,quarterly,baseline,T3,M30,BR,60,59,285,-0.920960510669,0.993404346918,-0.00323144038831,25,34,0.416666666667,-0.0153493418445,-0.452729100008,2.615547975,5.98797344014,-7.46408023867,4,-0.00357551844627,0.191063211398,0.963827159696,0.247869201339,15,6
v2,quarterly,baseline,T3,M30,MIX,60,57,285,52.1916912163,1.43271430578,0.18312874111,37,20,0.616666666667,0.869861520271,0.560624140517,2.92248626824,8.99278329028,-5.4451785229,3,0.202627965612,0.297202280729,0.672685727502,0.172995824356,9,11
v2,quarterly,baseline,T3,M30,NG,59,58,297,71.4370048902,1.57376788904,0.240528635994,38,20,0.64406779661,1.21079669305,0.835538721831,2.9225269991,10.0368129398,-4.61500495747,3,0.277345581892,0.319715369986,0.487933919099,0.125482862375,8,15
v2,quarterly,baseline,T3,H1,Si,59,51,148,44.6657150628,1.78672498293,0.301795372046,24,27,0.406779661017,0.757046018013,0,2.84921130284,13.2099966517,-2.44348469954,3,0.294724585685,0.340393246747,0.445683120498,0.165293976494,11,8
v2,quarterly,baseline,T3,H1,CNY,33,25,69,41.2335363414,2.55541331632,0.597587483208,14,11,0.424242424242,1.24950110125,0,3.63646798336,13.496739066,-4.1823214263,3,0.272077518461,0.267129569777,0.255721990047,0.0948416098069,4,8
v2,quarterly,baseline,T3,H1,GD,59,54,114,33.3534119564,1.67854989336,0.292573789091,28,26,0.474576271186,0.565312067058,0,2.2795295453,7.04333370194,-3.34215410113,7,0.2200808944,0.292975885564,0.461036525798,0.170988213718,7,13
v2,quarterly,baseline,T3,H1,BR,59,46,131,4.19112619608,1.0683065982,0.0319933297411,23,23,0.389830508475,0.0710360372217,0,2.26999622607,13.4043505433,-3.90636306949,5,0.0276549458563,0.166300313886,0.485949564743,0.180227906864,10,10
