generation,futures_type,lifecycle_stage,strategy,timeframe,removed_instrument,original_instrument_count,remaining_instruments,months_observed,total_net_R,mean_monthly_R,median_monthly_R,positive_month_share,monthly_R_std,worst_month_R,monthly_equity_max_drawdown_R,longest_negative_month_streak,delta_total_R_vs_full,delta_positive_month_share,delta_monthly_std,delta_worst_month_R,delta_monthly_equity_DD
v2,quarterly,baseline,T2,M30,Si,6,CNY|GD|BR|MIX|NG,60,159.775775391,2.66292958986,2.89099202331,0.566666666667,7.09888440556,-10.3316297865,-20.5384350832,4,-19.7243036038,-0.05,-1.06151732979,1.62495373865,0.893042135622
v2,quarterly,baseline,T2,M30,CNY,6,Si|GD|BR|MIX|NG,60,165.717577535,2.76195962558,3.18276687154,0.6,7.81829802005,-11.9565835251,-21.4314772188,4,-13.7825014606,-0.0166666666667,-0.342103715309,0,0
v2,quarterly,baseline,T2,M30,GD,6,Si|CNY|BR|MIX|NG,60,189.250698692,3.15417831153,2.15070714107,0.6,7.87280116685,-11.3807412241,-20.897239374,3,9.7506196969,-0.0166666666667,-0.287600568504,0.575842301059,0.534237844844
v2,quarterly,baseline,T2,M30,BR,6,Si|CNY|GD|MIX|NG,60,142.331500734,2.37219167889,1.80167411496,0.65,7.43547374771,-14.8359874494,-17.2497002737,3,-37.1685782615,0.0333333333333,-0.724927987645,-2.87940392431,4.18177694513
v2,quarterly,baseline,T2,M30,MIX,6,Si|CNY|GD|BR|NG,60,131.724675538,2.19541125896,0.577683263077,0.533333333333,7.42929651595,-12.5822849962,-31.7501754768,4,-47.7754034575,-0.0833333333333,-0.731105219406,-0.625701471024,-10.318698258
v2,quarterly,baseline,T2,M30,NG,6,Si|CNY|GD|BR|MIX,60,108.700167087,1.81166945144,1.31312538408,0.6,6.70010425633,-9.46825670788,-19.8433820098,4,-70.7999119086,-0.0166666666667,-1.46029747902,2.48832681725,1.58809520903
v2,quarterly,baseline,T2,H1,Si,6,CNY|GD|BR|MIX|NG,60,141.376773163,2.35627955272,0.318743281414,0.5,6.66059802393,-9.65937750772,-18.3863267688,7,-52.9914120246,-0.116666666667,-0.358498584621,-0.77744205967,-3.62916973324
v2,quarterly,baseline,T2,H1,CNY,6,Si|GD|BR|MIX|NG,60,130.264407299,2.17107345499,1.45265497309,0.6,5.30842002634,-8.88193544805,-14.1849193309,5,-64.1037778885,-0.0166666666667,-1.71067658221,0,0.572237704726
v2,quarterly,baseline,T2,H1,GD,6,Si|CNY|BR|MIX|NG,60,179.024395712,2.98373992853,1.98338563081,0.633333333333,6.70305018431,-8.36496077941,-9.90100565476,5,-15.3437894759,0.0166666666667,-0.316046424239,0.516974668641,4.85615138082
v2,quarterly,baseline,T2,H1,BR,6,Si|CNY|GD|MIX|NG,60,173.433472767,2.89055787944,1.40848480317,0.65,6.58026765125,-5.75889854995,-13.1275463402,3,-20.9347124211,0.0333333333333,-0.438828957299,3.1230368981,1.62961069533
v2,quarterly,baseline,T2,H1,MIX,6,Si|CNY|GD|BR|NG,60,202.355318941,3.37258864902,1.34370458708,0.633333333333,6.71111393442,-7.46439273287,-12.2213721622,5,7.98713375323,0.0166666666667,-0.307982674133,1.41754271518,2.53578487334
v2,quarterly,baseline,T2,H1,NG,6,Si|CNY|GD|BR|MIX,60,145.386558057,2.42310930095,1.0532081409,0.583333333333,5.93232077836,-5.32270499631,-10.8819671935,6,-48.9816271309,-0.0333333333333,-1.08677583019,3.55923045174,3.87518984206
v2,quarterly,baseline,T3,M30,Si,6,CNY|GD|BR|MIX|NG,60,178.064114189,2.96773523649,2.96780162638,0.7,5.93070512809,-8.06981093143,-9.74205741296,3,-79.5098641048,0.0166666666667,-2.16666527428,1.4399187531,9.68266427871
v2,quarterly,baseline,T3,M30,CNY,6,Si|GD|BR|MIX|NG,60,210.754227709,3.51257046182,2.73465039322,0.7,6.85077953651,-9.50972968452,-19.4247216917,3,-46.8197505852,0.0166666666667,-1.24659086587,0,0
v2,quarterly,baseline,T3,M30,GD,6,Si|CNY|BR|MIX|NG,60,249.037350286,4.15062250476,2.69813975388,0.683333333333,8.45046339208,-9.09062493796,-22.4995652612,3,-8.53662800832,0,0.353092989702,0.419104746562,-3.07484356951
v2,quarterly,baseline,T3,M30,BR,6,Si|CNY|GD|MIX|NG,60,258.494938805,4.30824898008,3.09066344877,0.733333333333,7.05934846353,-6.3567564125,-14.7702752239,3,0.920960510669,0.05,-1.03802193885,3.15297327203,4.65444646778
v2,quarterly,baseline,T3,M30,MIX,6,Si|CNY|GD|BR|NG,60,205.382287078,3.42303811796,1.80894221539,0.666666666667,7.36693107129,-7.10238135534,-14.8799972869,4,-52.1916912163,-0.0166666666667,-0.730439331083,2.40734832918,4.54472440475
v2,quarterly,baseline,T3,M30,NG,6,Si|CNY|GD|BR|MIX,60,186.136973404,3.10228289006,1.35247585515,0.65,7.89796261529,-10.4571752946,-18.7918188263,4,-71.4370048902,-0.0333333333333,-0.199407787091,-0.94744561006,0.63290286541
v2,quarterly,baseline,T3,H1,Si,6,CNY|GD|BR|MIX|NG,59,106.884977456,1.81160978738,1.41263721067,0.610169491525,4.85490026688,-9.13740750678,-15.7851460975,5,-44.6657150628,0.0169491525424,-1.979574658,1.9639982762,-2.51518166106
v2,quarterly,baseline,T3,H1,CNY,6,Si|GD|BR|MIX|NG,59,110.317156177,1.86978230808,0.963942675299,0.593220338983,5.57994965541,-7.08599011068,-12.5095122732,5,-41.2335363414,0,-1.25452526947,4.0154156723,0.760452163211
v2,quarterly,baseline,T3,H1,GD,6,Si|CNY|BR|MIX|NG,59,118.197280562,2.00334373834,0.625812394145,0.593220338983,6.2750214081,-9.1008499044,-17.8187977831,4,-33.3534119564,0,-0.559453516781,2.00055587858,-4.54883334667
v2,quarterly,baseline,T3,H1,BR,6,Si|CNY|GD|MIX|NG,59,147.359566322,2.49761976817,1.59075687567,0.64406779661,6.22907915284,-11.6671182194,-14.5799137793,5,-4.19112619608,0.0508474576271,-0.60539577204,-0.565712436375,-1.30994934291
v2,quarterly,baseline,T3,H1,MIX,6,Si|CNY|GD|BR|NG,59,137.910199064,2.33746100109,0.963942675299,0.677966101695,6.53073097565,-10.2807517678,-11.9085722858,3,-13.6404934543,0.0847457627119,-0.303743949231,0.82065401514,1.36139215061
v2,quarterly,baseline,T3,H1,NG,6,Si|CNY|GD|BR|MIX,59,137.084283011,2.32346242391,0.334421482455,0.525423728814,6.71816938461,-10.08797716,-13.9337348269,6,-14.4664095074,-0.0677966101695,-0.116305540271,1.01342862299,-0.663770390445
v2,quarterly,walk_forward,T2,M30,Si,6,CNY|GD|BR|MIX|NG,12,9.62698045796,0.802248371497,0.246414363622,0.583333333333,5.79289734327,-10.1031140557,-10.1031140557,1,-4.45719218963,0,0.300962744677,2.82034739938,2.82034739938
v2,quarterly,walk_forward,T2,M30,CNY,6,Si|GD|BR|MIX|NG,12,16.9025183146,1.40854319288,2.87560021554,0.666666666667,6.38348651787,-14.595382864,-15.498324767,2,2.81834566699,0.0833333333333,0.891551919271,-1.67192140896,-2.57486331194
v2,quarterly,walk_forward,T2,M30,GD,6,Si|CNY|BR|MIX|NG,12,14.3436922537,1.19530768781,1.70579923585,0.75,5.65525138168,-13.9166734632,-13.9166734632,1,0.259519606092,0.166666666667,0.163316783089,-0.993212008109,-0.993212008109
v2,quarterly,walk_forward,T2,M30,BR,6,Si|CNY|GD|MIX|NG,12,15.8795755471,1.32329796226,2.73672352098,0.666666666667,4.4590334982,-10.4068037883,-10.4068037883,1,1.79540289947,0.0833333333333,-1.0329011004,2.51665766679,2.51665766679
v2,quarterly,walk_forward,T2,M30,MIX,6,Si|CNY|GD|BR|NG,12,-0.161511092672,-0.0134592577226,0.0483490152422,0.5,4.47443699283,-11.1760999252,-16.757625763,4,-14.2456837403,-0.0833333333333,-1.01749760577,1.74736152992,-3.83416430789
v2,quarterly,walk_forward,T2,M30,NG,6,Si|CNY|GD|BR|MIX,12,13.8296077573,1.15246731311,1.27427435325,0.666666666667,4.13625103938,-4.41923317902,-8.18243543615,3,-0.254564890252,0.0833333333333,-1.35568355921,8.50422827606,4.74102601893
v2,quarterly,walk_forward,T2,H1,Si,6,CNY|GD|BR|MIX|NG,12,28.965046477,2.41375387309,2.71793126616,0.75,4.3833824832,-3.4956813544,-3.4956813544,1,-4.56047555992,0,-1.49800525163,1.26351212942,1.26351212942
v2,quarterly,walk_forward,T2,H1,CNY,6,Si|GD|BR|MIX|NG,12,18.1808976993,1.51507480828,2.51775066013,0.75,3.62499651619,-4.75919348381,-4.75919348381,1,-15.3446243376,0,-2.25639121863,0,8.881784197e-16
v2,quarterly,walk_forward,T2,H1,GD,6,Si|CNY|BR|MIX|NG,12,40.0013059136,3.33344215947,2.15558208319,0.75,5.64381605042,-2.71183273063,-2.71183273063,1,6.47578387663,0,-0.237571684403,2.04736075318,2.04736075318
v2,quarterly,walk_forward,T2,H1,BR,6,Si|CNY|GD|MIX|NG,12,30.3412792049,2.52843993374,2.23344551808,0.75,5.24385474036,-4.75919348381,-4.75919348381,1,-3.18424283208,0,-0.637532994471,0,8.881784197e-16
v2,quarterly,walk_forward,T2,H1,MIX,6,Si|CNY|GD|BR|NG,12,22.1768067515,1.84806722929,0.354760828115,0.583333333333,5.54161615511,-5.01583238882,-5.01583238882,2,-11.3487152854,-0.166666666667,-0.339771579713,-0.256638905012,-0.256638905012
v2,quarterly,walk_forward,T2,H1,NG,6,Si|CNY|GD|BR|MIX,12,27.9622741384,2.33018951154,-0.255323102578,0.5,6.3681524276,-3.05423397758,-7.14646755186,4,-5.56324789852,-0.25,0.486764692774,1.70495950623,-2.38727406805
v2,quarterly,walk_forward,T3,M30,Si,6,CNY|GD|BR|MIX|NG,12,12.5992748531,1.04993957109,0.667519435635,0.5,5.53156709647,-6.92696003893,-9.42619979515,2,-16.9081811008,-0.0833333333333,-1.86847339694,0.990131967847,0.637417141476
v2,quarterly,walk_forward,T3,M30,CNY,6,Si|GD|BR|MIX|NG,12,19.1833382549,1.59861152124,1.04691797456,0.5,5.9249272996,-8.85095901116,-8.85095901116,2,-10.324117699,-0.0833333333333,-1.47511319382,-0.933867004377,1.21265792547
v2,quarterly,walk_forward,T3,M30,GD,6,Si|CNY|BR|MIX|NG,12,25.6902131858,2.14085109882,-0.243073124034,0.5,7.40913725433,-6.9167834794,-18.0445424707,4,-3.81724276805,-0.0833333333333,0.0090967609147,1.00030852738,-7.98092553403
v2,quarterly,walk_forward,T3,M30,BR,6,Si|CNY|GD|MIX|NG,12,48.6595105875,4.05495921563,2.74804887903,0.583333333333,8.01900083383,-5.82348304819,-7.78648839909,2,19.1520546337,0,0.618960340412,2.09360895859,2.27712853754
v2,quarterly,walk_forward,T3,M30,MIX,6,Si|CNY|GD|BR|NG,12,18.6150603429,1.55125502858,1.50921974273,0.583333333333,6.67841901128,-8.84410847762,-12.4181457041,2,-10.892395611,0,-0.721621482142,-0.92701647084,-2.35452876751
v2,quarterly,walk_forward,T3,M30,NG,6,Si|CNY|GD|BR|MIX,12,22.7898825451,1.89915687875,0.545269647099,0.583333333333,7.69840614365,-7.4929155916,-13.7131721984,2,-6.71757340881,0,0.298365650235,0.424176415184,-3.64955526175
v2,quarterly,walk_forward,T3,H1,Si,6,CNY|GD|BR|MIX|NG,8,21.2942874884,2.66178593605,3.38675651455,0.625,6.05846645275,-4.94250935817,-4.94250935817,1,-7.79667610589,0.125,-1.87875001769,0,0
v2,quarterly,walk_forward,T3,H1,CNY,6,Si|GD|BR|MIX|NG,8,11.6140076791,1.45175095988,1.07491144951,0.625,4.01540628478,-2.59424178046,-2.59424178046,1,-17.4769559152,0.125,-3.92181018566,2.34826757771,2.34826757771
v2,quarterly,walk_forward,T3,H1,GD,6,Si|CNY|BR|MIX|NG,8,25.8356718163,3.22945897704,-0.321258592676,0.375,8.2857859459,-4.94250935817,-8.63172588102,3,-3.25529177797,-0.125,0.348569475458,0,-3.68921652285
v2,quarterly,walk_forward,T3,H1,BR,6,Si|CNY|GD|MIX|NG,8,31.0438649201,3.88048311502,2.94735948855,0.625,7.34718643648,-4.94250935817,-4.94250935817,1,1.95290132581,0.125,-0.590030033963,0,0
v2,quarterly,walk_forward,T3,H1,MIX,6,Si|CNY|GD|BR|NG,8,19.5202672118,2.44003340148,1.39312948567,0.5,7.63085384163,-6.1144519612,-6.1144519612,1,-9.5706963825,0,-0.30636262881,-1.17194260303,-1.17194260303
v2,quarterly,walk_forward,T3,H1,NG,6,Si|CNY|GD|BR|MIX,8,36.1467188558,4.51833985697,2.71463913419,0.5,8.29496331238,-4.83313603433,-4.83313603433,1,7.05575526148,0,0.357746841938,0.109373323847,0.109373323847
v2,quarterly,true_oos,T2,M30,Si,6,CNY|GD|BR|MIX|NG,21,110.315245658,5.25310693609,-0.161033971243,0.47619047619,21.1102874315,-9.31256981045,-22.2070728666,4,-29.6960830685,-0.0952380952381,0.428084987153,1.1735581814,-11.2243317975
v2,quarterly,true_oos,T2,M30,CNY,6,Si|GD|BR|MIX|NG,21,153.144377059,7.29258938376,1.43353626905,0.619047619048,20.4405583392,-8.0562054322,-10.2510496973,3,13.1330483326,0.047619047619,-0.241644105093,2.42992255965,0.731691371737
v2,quarterly,true_oos,T2,M30,GD,6,Si|CNY|BR|MIX|NG,21,34.2372652817,1.6303459658,1.50388800003,0.571428571429,7.22515141504,-10.4861279919,-10.4861279919,2,-105.774063445,0,-13.4570510293,0,0.496613077235
v2,quarterly,true_oos,T2,M30,BR,6,Si|CNY|GD|MIX|NG,21,130.576680559,6.21793716948,1.72826092688,0.52380952381,20.4666455786,-10.7952571338,-11.2918702111,3,-9.43464816726,-0.047619047619,-0.215556865738,-0.309129141972,-0.309129141972
