generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2020-01,Si,2020-01-01,true,false,AVAILABLE,1,-1.00001213085,false,true,false
v2,quarterly,baseline,T2,M30,2020-01,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-01,GD,2020-01-01,true,false,AVAILABLE,2,0.16123538776,true,false,false
v2,quarterly,baseline,T2,M30,2020-01,BR,2020-01-01,true,false,AVAILABLE,2,-1.29305867038,false,true,false
v2,quarterly,baseline,T2,M30,2020-01,MIX,2020-01-01,true,false,AVAILABLE,1,-0.932039538076,false,true,false
v2,quarterly,baseline,T2,M30,2020-01,NG,2020-02-03,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-02,Si,2020-01-01,true,false,AVAILABLE,2,2.64634053345,true,false,false
v2,quarterly,baseline,T2,M30,2020-02,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-02,GD,2020-01-01,true,false,AVAILABLE,5,4.24800183828,true,false,false
v2,quarterly,baseline,T2,M30,2020-02,BR,2020-01-01,true,false,AVAILABLE,3,1.25258941462,true,false,false
v2,quarterly,baseline,T2,M30,2020-02,MIX,2020-01-01,true,false,AVAILABLE,5,5.94453082293,true,false,false
v2,quarterly,baseline,T2,M30,2020-02,NG,2020-02-03,true,true,AVAILABLE,1,-1.00548548845,false,true,false
v2,quarterly,baseline,T2,M30,2020-03,Si,2020-01-01,true,false,AVAILABLE,3,-1.64416215023,false,true,false
v2,quarterly,baseline,T2,M30,2020-03,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-03,GD,2020-01-01,true,false,AVAILABLE,3,-1.80350558544,false,true,false
v2,quarterly,baseline,T2,M30,2020-03,BR,2020-01-01,true,false,AVAILABLE,6,10.1958730286,true,false,false
v2,quarterly,baseline,T2,M30,2020-03,MIX,2020-01-01,true,false,AVAILABLE,3,0.575400285493,true,false,false
v2,quarterly,baseline,T2,M30,2020-03,NG,2020-02-03,true,false,AVAILABLE,2,-1.45190783711,false,true,false
v2,quarterly,baseline,T2,M30,2020-04,Si,2020-01-01,true,false,AVAILABLE,5,-0.915748993066,false,true,false
v2,quarterly,baseline,T2,M30,2020-04,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-04,GD,2020-01-01,true,false,AVAILABLE,8,-4.58040093764,false,true,false
v2,quarterly,baseline,T2,M30,2020-04,BR,2020-01-01,true,false,AVAILABLE,5,1.42180008056,true,false,false
v2,quarterly,baseline,T2,M30,2020-04,MIX,2020-01-01,true,false,AVAILABLE,7,-3.94598890072,false,true,false
v2,quarterly,baseline,T2,M30,2020-04,NG,2020-02-03,true,false,AVAILABLE,6,-3.22704002868,false,true,false
v2,quarterly,baseline,T2,M30,2020-05,Si,2020-01-01,true,false,AVAILABLE,5,0.984985203489,true,false,false
v2,quarterly,baseline,T2,M30,2020-05,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-05,GD,2020-01-01,true,false,AVAILABLE,4,0.714939736276,true,false,false
v2,quarterly,baseline,T2,M30,2020-05,BR,2020-01-01,true,false,AVAILABLE,4,12.1874886094,true,false,false
v2,quarterly,baseline,T2,M30,2020-05,MIX,2020-01-01,true,false,AVAILABLE,2,2.2506497022,true,false,false
v2,quarterly,baseline,T2,M30,2020-05,NG,2020-02-03,true,false,AVAILABLE,1,1.29618121016,true,false,false
v2,quarterly,baseline,T2,M30,2020-06,Si,2020-01-01,true,false,AVAILABLE,3,1.25599933332,true,false,false
v2,quarterly,baseline,T2,M30,2020-06,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-06,GD,2020-01-01,true,false,AVAILABLE,4,6.33498246711,true,false,false
v2,quarterly,baseline,T2,M30,2020-06,BR,2020-01-01,true,false,AVAILABLE,3,-0.971139177887,false,true,false
v2,quarterly,baseline,T2,M30,2020-06,MIX,2020-01-01,true,false,AVAILABLE,4,-1.09416490319,false,true,false
