generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,partial_overlap_months,instrument_a_negative_months,instrument_b_negative_months,both_negative_months,either_negative_months,both_positive_months,opposite_sign_months,probability_both_negative_given_a_negative,probability_both_negative_given_b_negative,average_combined_R_when_both_negative,worst_combined_R_when_both_negative,average_combined_R_when_opposite_sign
v2,quarterly,baseline,T2,M30,BR,CNY,33,1,18,17,11,24,8,13,0.611111111111,0.647058823529,-3.85102821792,-8.12055116845,1.38964902106
v2,quarterly,baseline,T2,M30,BR,GD,60,0,31,35,17,49,11,31,0.548387096774,0.485714285714,-3.49986464391,-7.23816058425,1.17175205648
v2,quarterly,baseline,T2,M30,BR,MIX,60,0,31,29,18,42,17,23,0.58064516129,0.620689655172,-2.96577524214,-7.78713166296,0.416091801747
v2,quarterly,baseline,T2,M30,BR,NG,59,1,30,30,17,43,16,25,0.566666666667,0.566666666667,-4.10618031838,-7.65901423093,2.21488408644
v2,quarterly,baseline,T2,M30,BR,Si,60,0,31,32,14,49,9,34,0.451612903226,0.4375,-3.94499940154,-8.50162802406,1.29551527785
v2,quarterly,baseline,T2,M30,CNY,GD,33,1,17,18,10,25,7,15,0.588235294118,0.555555555556,-3.91038768062,-7.12339862319,1.75777410696
v2,quarterly,baseline,T2,M30,CNY,MIX,33,1,17,19,9,27,6,17,0.529411764706,0.473684210526,-3.38040388013,-6.01514312272,-0.00977133289761
v2,quarterly,baseline,T2,M30,CNY,NG,33,1,17,16,11,22,10,11,0.647058823529,0.6875,-3.48694715272,-5.11674460293,2.81979062878
v2,quarterly,baseline,T2,M30,CNY,Si,33,1,17,12,5,24,7,19,0.294117647059,0.416666666667,-4.83057841883,-6.6649830223,0.964797721072
v2,quarterly,baseline,T2,M30,GD,MIX,60,0,35,29,16,48,12,31,0.457142857143,0.551724137931,-3.23081412079,-8.52638983836,1.2382302753
v2,quarterly,baseline,T2,M30,GD,NG,59,1,35,30,22,43,16,21,0.628571428571,0.733333333333,-3.82935044967,-7.80744096633,3.36813618442
v2,quarterly,baseline,T2,M30,GD,Si,60,0,35,32,21,46,13,24,0.6,0.65625,-3.70675439487,-8.04238217511,0.587612674704
v2,quarterly,baseline,T2,M30,MIX,NG,59,1,28,30,13,45,13,32,0.464285714286,0.433333333333,-3.90114432512,-7.1730289294,2.34148401694
v2,quarterly,baseline,T2,M30,MIX,Si,60,0,29,32,16,45,14,27,0.551724137931,0.5,-4.62248149717,-7.24148568204,2.05884190771
