generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,pearson_monthly_R,covariance_monthly_R,same_sign_months,opposite_sign_months,same_sign_share,opposite_sign_share,both_negative_months,both_positive_months,sample_flag
v2,quarterly,baseline,T2,M30,BR,CNY,32,0.0124446503438,0.135649177854,19,13,0.59375,0.40625,11,8,ADEQUATE
v2,quarterly,baseline,T2,M30,BR,GD,60,-0.139914245276,-1.18749373054,28,31,0.466666666667,0.516666666667,17,11,ADEQUATE
v2,quarterly,baseline,T2,M30,BR,MIX,60,0.0662793397262,0.849373317364,35,23,0.583333333333,0.383333333333,18,17,ADEQUATE
v2,quarterly,baseline,T2,M30,BR,NG,59,0.0967620592735,1.34307332378,33,25,0.559322033898,0.423728813559,17,16,ADEQUATE
v2,quarterly,baseline,T2,M30,BR,Si,60,-0.158996128041,-2.02089035127,23,34,0.383333333333,0.566666666667,14,9,ADEQUATE
v2,quarterly,baseline,T2,M30,CNY,GD,32,0.00922086422934,0.0559542481111,17,15,0.53125,0.46875,10,7,ADEQUATE
v2,quarterly,baseline,T2,M30,CNY,MIX,32,0.0437465409909,0.301755325965,15,17,0.46875,0.53125,9,6,ADEQUATE
v2,quarterly,baseline,T2,M30,CNY,NG,32,-0.0542435080849,-0.763131325349,21,11,0.65625,0.34375,11,10,ADEQUATE
v2,quarterly,baseline,T2,M30,CNY,Si,32,0.0315195595081,0.403129002627,12,19,0.375,0.59375,5,7,ADEQUATE
v2,quarterly,baseline,T2,M30,GD,MIX,60,-0.182253589391,-1.49361164566,28,31,0.466666666667,0.516666666667,16,12,ADEQUATE
v2,quarterly,baseline,T2,M30,GD,NG,59,0.127972841488,1.13845355544,38,21,0.64406779661,0.35593220339,22,16,ADEQUATE
v2,quarterly,baseline,T2,M30,GD,Si,60,0.136208540557,1.10713785965,34,24,0.566666666667,0.4,21,13,ADEQUATE
v2,quarterly,baseline,T2,M30,MIX,NG,59,-0.0278926519303,-0.373942882294,26,32,0.440677966102,0.542372881356,13,13,ADEQUATE
v2,quarterly,baseline,T2,M30,MIX,Si,60,0.0463939089039,0.569389398964,30,27,0.5,0.45,16,14,ADEQUATE
v2,quarterly,baseline,T2,M30,NG,Si,59,0.144455748898,1.92241822136,28,29,0.474576271186,0.491525423729,16,12,ADEQUATE
v2,quarterly,baseline,T2,H1,BR,CNY,32,0.110494211131,1.04087224858,15,10,0.46875,0.3125,9,5,ADEQUATE
v2,quarterly,baseline,T2,H1,BR,GD,59,0.169320157925,0.790442132923,30,17,0.508474576271,0.28813559322,18,9,ADEQUATE
v2,quarterly,baseline,T2,H1,BR,MIX,59,-0.0818196547852,-0.294226372428,23,25,0.389830508475,0.423728813559,15,8,ADEQUATE
v2,quarterly,baseline,T2,H1,BR,NG,58,0.0841524839587,0.526908449922,21,25,0.362068965517,0.431034482759,12,9,ADEQUATE
v2,quarterly,baseline,T2,H1,BR,Si,59,-0.0449906762705,-0.202565111954,21,26,0.35593220339,0.440677966102,11,8,ADEQUATE
v2,quarterly,baseline,T2,H1,CNY,GD,32,-0.154994464965,-2.38780468829,10,11,0.3125,0.34375,5,5,ADEQUATE
v2,quarterly,baseline,T2,H1,CNY,MIX,32,-0.06097343821,-0.522525719109,13,12,0.40625,0.375,8,5,ADEQUATE
v2,quarterly,baseline,T2,H1,CNY,NG,32,0.0823966780132,1.46036082313,9,16,0.28125,0.5,4,5,ADEQUATE
v2,quarterly,baseline,T2,H1,CNY,Si,32,0.0947285701177,1.33028708454,16,11,0.5,0.34375,8,7,ADEQUATE
v2,quarterly,baseline,T2,H1,GD,MIX,59,-0.0335315018656,-0.128708260369,23,25,0.389830508475,0.423728813559,17,5,ADEQUATE
v2,quarterly,baseline,T2,H1,GD,NG,58,0.0618831509062,0.414251276264,28,18,0.48275862069,0.310344827586,17,10,ADEQUATE
v2,quarterly,baseline,T2,H1,GD,Si,59,-0.137258046756,-0.659643673561,21,24,0.35593220339,0.406779661017,12,7,ADEQUATE
v2,quarterly,baseline,T2,H1,MIX,NG,58,0.152015740935,0.789356145007,27,26,0.465517241379,0.448275862069,15,11,ADEQUATE
v2,quarterly,baseline,T2,H1,MIX,Si,59,0.102961189875,0.381160315788,23,27,0.389830508475,0.457627118644,12,10,ADEQUATE
v2,quarterly,baseline,T2,H1,NG,Si,58,-0.0267663722109,-0.174094617635,21,25,0.362068965517,0.431034482759,9,12,ADEQUATE
v2,quarterly,baseline,T3,M30,BR,CNY,30,0.162988309862,1.93880725448,15,15,0.5,0.5,8,7,ADEQUATE
v2,quarterly,baseline,T3,M30,BR,GD,59,-0.0932777670821,-0.782635171678,27,30,0.457627118644,0.508474576271,18,9,ADEQUATE
v2,quarterly,baseline,T3,M30,BR,MIX,60,0.193484799797,1.47897904953,32,24,0.533333333333,0.4,14,18,ADEQUATE
v2,quarterly,baseline,T3,M30,BR,NG,58,-0.105432862824,-0.822700267316,21,36,0.362068965517,0.620689655172,8,13,ADEQUATE
v2,quarterly,baseline,T3,M30,BR,Si,60,0.373424689053,3.73315492038,33,23,0.55,0.383333333333,18,15,ADEQUATE
v2,quarterly,baseline,T3,M30,CNY,GD,30,-0.157188775736,-2.65963748962,12,17,0.4,0.566666666667,6,6,ADEQUATE
v2,quarterly,baseline,T3,M30,CNY,MIX,30,0.116051835285,1.30653740335,18,11,0.6,0.366666666667,6,12,ADEQUATE
v2,quarterly,baseline,T3,M30,CNY,NG,30,-0.0750821207432,-1.08736684239,13,17,0.433333333333,0.566666666667,3,10,ADEQUATE
v2,quarterly,baseline,T3,M30,CNY,Si,30,0.573195157709,8.36192648595,19,10,0.633333333333,0.333333333333,5,14,ADEQUATE
v2,quarterly,baseline,T3,M30,GD,MIX,59,-0.325153890794,-3.04130871415,25,30,0.423728813559,0.508474576271,10,15,ADEQUATE
v2,quarterly,baseline,T3,M30,GD,NG,58,-0.130249242048,-1.23153779117,26,31,0.448275862069,0.534482758621,11,15,ADEQUATE
v2,quarterly,baseline,T3,M30,GD,Si,59,-0.146227705621,-1.78765756866,22,33,0.372881355932,0.559322033898,13,9,ADEQUATE
v2,quarterly,baseline,T3,M30,MIX,NG,58,0.0561092752729,0.465594908487,33,22,0.568965517241,0.379310344828,8,25,ADEQUATE
v2,quarterly,baseline,T3,M30,MIX,Si,60,0.180101106496,2.01177383171,28,26,0.466666666667,0.433333333333,10,18,ADEQUATE
v2,quarterly,baseline,T3,M30,NG,Si,58,-0.0873196567502,-0.991914491205,29,26,0.5,0.448275862069,10,19,ADEQUATE
v2,quarterly,baseline,T3,H1,BR,CNY,30,0.0110774568823,0.0637154520413,11,13,0.366666666667,0.433333333333,4,4,ADEQUATE
v2,quarterly,baseline,T3,H1,BR,GD,59,-0.0530186427448,-0.274346210967,18,27,0.305084745763,0.457627118644,9,7,ADEQUATE
v2,quarterly,baseline,T3,H1,BR,MIX,58,0.0033047480018,0.0148726391141,24,18,0.413793103448,0.310344827586,11,9,ADEQUATE
v2,quarterly,baseline,T3,H1,BR,NG,57,-0.181932940285,-0.518854638596,14,24,0.245614035088,0.421052631579,7,6,ADEQUATE
v2,quarterly,baseline,T3,H1,BR,Si,59,0.394000286714,2.54827522284,21,23,0.35593220339,0.389830508475,9,9,ADEQUATE
v2,quarterly,baseline,T3,H1,CNY,GD,30,0.0559813378458,0.509078349738,12,11,0.4,0.366666666667,5,7,ADEQUATE
v2,quarterly,baseline,T3,H1,CNY,MIX,30,0.0717239895089,0.611729921955,11,12,0.366666666667,0.4,5,5,ADEQUATE
v2,quarterly,baseline,T3,H1,CNY,NG,30,-0.0975862441341,-0.720149551118,11,12,0.366666666667,0.4,4,7,ADEQUATE
v2,quarterly,baseline,T3,H1,CNY,Si,30,0.696920313023,7.60662988846,22,5,0.733333333333,0.166666666667,8,11,ADEQUATE
v2,quarterly,baseline,T3,H1,GD,MIX,58,-0.13849067527,-0.626087417965,18,26,0.310344827586,0.448275862069,10,7,ADEQUATE
v2,quarterly,baseline,T3,H1,GD,NG,57,0.159903357114,0.730346849925,34,14,0.59649122807,0.245614035088,14,18,ADEQUATE
v2,quarterly,baseline,T3,H1,GD,Si,59,0.146126622464,0.949072151809,31,17,0.525423728814,0.28813559322,16,14,ADEQUATE
v2,quarterly,baseline,T3,H1,MIX,NG,57,-0.0818242625177,-0.323269352544,19,23,0.333333333333,0.40350877193,9,8,ADEQUATE
v2,quarterly,baseline,T3,H1,MIX,Si,58,0.112180187485,0.636361696919,23,20,0.396551724138,0.344827586207,12,9,ADEQUATE
v2,quarterly,baseline,T3,H1,NG,Si,57,-0.113585701723,-0.535502402123,20,25,0.350877192982,0.438596491228,8,10,ADEQUATE
v2,quarterly,walk_forward,T2,M30,BR,CNY,12,-0.256698356871,-1.4180126508,4,7,0.333333333333,0.583333333333,3,1,ADEQUATE
v2,quarterly,walk_forward,T2,M30,BR,GD,12,0.319551828194,0.795734690552,9,2,0.75,0.166666666667,4,5,ADEQUATE
v2,quarterly,walk_forward,T2,M30,BR,MIX,12,0.385401500613,2.42692239195,6,5,0.5,0.416666666667,2,4,ADEQUATE
v2,quarterly,walk_forward,T2,M30,BR,NG,12,0.357159115072,3.95393348629,8,3,0.666666666667,0.25,5,3,ADEQUATE
v2,quarterly,walk_forward,T2,M30,BR,Si,12,-0.52774155974,-4.53759502371,1,9,0.0833333333333,0.75,1,0,ADEQUATE
v2,quarterly,walk_forward,T2,M30,CNY,GD,12,-0.232933668079,-0.408883575507,4,8,0.333333333333,0.666666666667,2,2,ADEQUATE
v2,quarterly,walk_forward,T2,M30,CNY,MIX,12,-0.253830360271,-1.12674715008,6,6,0.5,0.5,2,4,ADEQUATE
v2,quarterly,walk_forward,T2,M30,CNY,NG,12,-0.489702192987,-3.82155473817,3,9,0.25,0.75,3,0,ADEQUATE
v2,quarterly,walk_forward,T2,M30,CNY,Si,12,-0.0768165608548,-0.465585783496,6,5,0.5,0.416666666667,4,2,ADEQUATE
v2,quarterly,walk_forward,T2,M30,GD,MIX,12,0.133907643754,0.267952762564,6,6,0.5,0.5,1,5,ADEQUATE
v2,quarterly,walk_forward,T2,M30,GD,NG,12,-0.214358601172,-0.754082597966,7,5,0.583333333333,0.416666666667,4,3,ADEQUATE
v2,quarterly,walk_forward,T2,M30,GD,Si,12,-0.441630413644,-1.20662909778,2,9,0.166666666667,0.75,1,1,ADEQUATE
v2,quarterly,walk_forward,T2,M30,MIX,NG,12,0.0284326353765,0.252935985934,3,9,0.25,0.75,1,2,ADEQUATE
v2,quarterly,walk_forward,T2,M30,MIX,Si,12,0.104094159588,0.719211603027,6,5,0.5,0.416666666667,2,4,ADEQUATE
v2,quarterly,walk_forward,T2,M30,NG,Si,12,-0.0761133191561,-0.924519587284,4,7,0.333333333333,0.583333333333,3,1,ADEQUATE
v2,quarterly,walk_forward,T2,H1,BR,CNY,11,0.653165372345,2.64549031959,7,2,0.636363636364,0.181818181818,2,3,ADEQUATE
v2,quarterly,walk_forward,T2,H1,BR,GD,11,0.166632783714,0.138131239357,4,3,0.363636363636,0.272727272727,2,1,ADEQUATE
v2,quarterly,walk_forward,T2,H1,BR,MIX,11,-0.2520173845,-0.446157889727,3,5,0.272727272727,0.454545454545,0,3,ADEQUATE
v2,quarterly,walk_forward,T2,H1,BR,NG,11,-0.23401090132,-0.528155889618,3,5,0.272727272727,0.454545454545,1,2,ADEQUATE
v2,quarterly,walk_forward,T2,H1,BR,Si,11,0.44802039078,1.2623575276,4,4,0.363636363636,0.363636363636,2,2,ADEQUATE
v2,quarterly,walk_forward,T2,H1,CNY,GD,11,-0.0140480559252,-0.0351278950439,2,3,0.181818181818,0.272727272727,1,1,ADEQUATE
v2,quarterly,walk_forward,T2,H1,CNY,MIX,11,0.0378590832682,0.202177401772,3,5,0.272727272727,0.454545454545,1,2,ADEQUATE
v2,quarterly,walk_forward,T2,H1,CNY,NG,11,-0.512448497364,-3.4888371798,0,8,0,0.727272727273,0,0,ADEQUATE
v2,quarterly,walk_forward,T2,H1,CNY,Si,11,0.667628506249,5.67445172394,7,1,0.636363636364,0.0909090909091,4,3,ADEQUATE
v2,quarterly,walk_forward,T2,H1,GD,MIX,12,0.32688518704,0.368272154397,5,4,0.416666666667,0.333333333333,3,2,ADEQUATE
v2,quarterly,walk_forward,T2,H1,GD,NG,12,0.436449767797,0.56450776884,5,4,0.416666666667,0.333333333333,5,0,ADEQUATE
v2,quarterly,walk_forward,T2,H1,GD,Si,11,0.0390161121857,0.0678705642512,6,2,0.545454545455,0.181818181818,4,2,ADEQUATE
v2,quarterly,walk_forward,T2,H1,MIX,NG,12,-0.0496526482159,-0.153651106323,7,5,0.583333333333,0.416666666667,3,4,ADEQUATE
v2,quarterly,walk_forward,T2,H1,MIX,Si,11,0.0418095521407,0.155324370542,5,6,0.454545454545,0.545454545455,2,3,ADEQUATE
v2,quarterly,walk_forward,T2,H1,NG,Si,11,-0.397592814171,-1.88308781834,2,9,0.181818181818,0.818181818182,2,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,BR,CNY,12,-0.197774871997,-0.73982043737,6,6,0.5,0.5,5,1,ADEQUATE
v2,quarterly,walk_forward,T3,M30,BR,GD,12,-0.165422315857,-0.908834632447,9,3,0.75,0.25,9,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,BR,MIX,12,-0.12383104396,-0.395780513615,6,6,0.5,0.5,5,1,ADEQUATE
v2,quarterly,walk_forward,T3,M30,BR,NG,12,-0.314272084608,-1.35875572019,6,6,0.5,0.5,6,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,BR,Si,12,-0.577822592484,-1.98875073797,4,7,0.333333333333,0.583333333333,4,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,CNY,GD,12,-0.189221980075,-3.13586748638,3,9,0.25,0.75,3,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,CNY,MIX,12,0.268342864766,2.58708247046,8,4,0.666666666667,0.333333333333,3,5,ADEQUATE
v2,quarterly,walk_forward,T3,M30,CNY,NG,12,-0.178433046193,-2.32705268981,4,8,0.333333333333,0.666666666667,2,2,ADEQUATE
v2,quarterly,walk_forward,T3,M30,CNY,Si,12,0.751467521027,7.80173865413,8,3,0.666666666667,0.25,3,5,ADEQUATE
v2,quarterly,walk_forward,T3,M30,GD,MIX,12,-0.217267690662,-3.07645756418,5,7,0.416666666667,0.583333333333,4,1,ADEQUATE
v2,quarterly,walk_forward,T3,M30,GD,NG,12,-0.0903657194341,-1.73089290133,7,5,0.583333333333,0.416666666667,6,1,ADEQUATE
v2,quarterly,walk_forward,T3,M30,GD,Si,12,-0.222016400092,-3.38533615106,4,7,0.333333333333,0.583333333333,4,0,ADEQUATE
v2,quarterly,walk_forward,T3,M30,MIX,NG,12,-0.332211960816,-3.70182473305,4,8,0.333333333333,0.666666666667,2,2,ADEQUATE
v2,quarterly,walk_forward,T3,M30,MIX,Si,12,0.625433434332,5.54794233494,6,5,0.5,0.416666666667,2,4,ADEQUATE
v2,quarterly,walk_forward,T3,M30,NG,Si,12,-0.0558862086777,-0.670604090401,7,4,0.583333333333,0.333333333333,4,3,ADEQUATE
v2,quarterly,walk_forward,T3,H1,BR,CNY,6,0.666266838713,5.42856651167,4,0,0.666666666667,0,2,2,ADEQUATE
v2,quarterly,walk_forward,T3,H1,BR,GD,6,-0.112162017387,-0.13195527149,2,2,0.333333333333,0.333333333333,1,0,ADEQUATE
v2,quarterly,walk_forward,T3,H1,BR,MIX,6,0.0858457737985,0.154575400496,3,2,0.5,0.333333333333,0,2,ADEQUATE
v2,quarterly,walk_forward,T3,H1,BR,NG,6,-0.534716485493,-1.72386949992,0,4,0,0.666666666667,0,0,ADEQUATE
v2,quarterly,walk_forward,T3,H1,BR,Si,6,0.433295376439,1.91451488448,4,0,0.666666666667,0,2,2,ADEQUATE
v2,quarterly,walk_forward,T3,H1,CNY,GD,7,-0.370988267623,-5.84598985922,2,2,0.285714285714,0.285714285714,1,1,ADEQUATE
v2,quarterly,walk_forward,T3,H1,CNY,MIX,8,0.574767698095,3.79558395627,3,3,0.375,0.375,0,3,ADEQUATE
v2,quarterly,walk_forward,T3,H1,CNY,NG,8,-0.293112165526,-3.33671425234,2,5,0.25,0.625,2,0,ADEQUATE
v2,quarterly,walk_forward,T3,H1,CNY,Si,7,0.726790654107,10.9889292345,5,1,0.714285714286,0.142857142857,2,3,ADEQUATE
v2,quarterly,walk_forward,T3,H1,GD,MIX,7,-0.641087861766,-2.59538444643,2,4,0.285714285714,0.571428571429,0,1,ADEQUATE
v2,quarterly,walk_forward,T3,H1,GD,NG,7,0.300971544983,1.86909150166,3,2,0.428571428571,0.285714285714,2,1,ADEQUATE
v2,quarterly,walk_forward,T3,H1,GD,Si,7,-0.2444946833,-2.10156292871,2,3,0.285714285714,0.428571428571,1,1,ADEQUATE
v2,quarterly,walk_forward,T3,H1,MIX,NG,8,-0.406232042802,-1.09823855018,2,5,0.25,0.625,0,2,ADEQUATE
v2,quarterly,walk_forward,T3,H1,MIX,Si,7,0.327826071162,1.27343209925,4,2,0.571428571429,0.285714285714,1,3,ADEQUATE
v2,quarterly,walk_forward,T3,H1,NG,Si,7,-0.327308150517,-1.95033900205,0,7,0,1,0,0,ADEQUATE
v2,quarterly,true_oos,T2,M30,BR,CNY,21,-0.397196001221,-2.13500127979,6,13,0.285714285714,0.619047619048,5,1,ADEQUATE
v2,quarterly,true_oos,T2,M30,BR,GD,21,0.00185226574775,0.109767841107,13,4,0.619047619048,0.190476190476,8,5,ADEQUATE
v2,quarterly,true_oos,T2,M30,BR,MIX,21,0.633158214969,5.47842577309,13,6,0.619047619048,0.285714285714,9,4,ADEQUATE
v2,quarterly,true_oos,T2,M30,BR,NG,21,0.0653815318145,0.643572741598,11,7,0.52380952381,0.333333333333,7,4,ADEQUATE
v2,quarterly,true_oos,T2,M30,BR,Si,21,-0.221545263538,-4.06793672652,7,12,0.333333333333,0.571428571429,5,2,ADEQUATE
v2,quarterly,true_oos,T2,M30,CNY,GD,21,0.123720485852,4.47218142128,9,10,0.428571428571,0.47619047619,7,2,ADEQUATE
v2,quarterly,true_oos,T2,M30,CNY,MIX,21,-0.585507334628,-3.09016625015,10,11,0.47619047619,0.52380952381,8,2,ADEQUATE
v2,quarterly,true_oos,T2,M30,CNY,NG,21,0.079053056617,0.474643115644,11,9,0.52380952381,0.428571428571,8,3,ADEQUATE
v2,quarterly,true_oos,T2,M30,CNY,Si,21,0.322101905007,3.60753856446,14,7,0.666666666667,0.333333333333,10,4,ADEQUATE
v2,quarterly,true_oos,T2,M30,GD,MIX,21,0.0456739390776,2.65764230388,12,7,0.571428571429,0.333333333333,8,4,ADEQUATE
v2,quarterly,true_oos,T2,M30,GD,NG,21,0.00218423108778,0.144585805286,8,10,0.380952380952,0.47619047619,5,3,ADEQUATE
v2,quarterly,true_oos,T2,M30,GD,Si,21,-0.152832113823,-18.8716930311,8,11,0.380952380952,0.52380952381,6,2,ADEQUATE
v2,quarterly,true_oos,T2,M30,MIX,NG,21,-0.102147751042,-0.987251022802,11,9,0.52380952381,0.428571428571,7,4,ADEQUATE
v2,quarterly,true_oos,T2,M30,MIX,Si,21,-0.458662804265,-8.26916151306,5,16,0.238095238095,0.761904761905,5,0,ADEQUATE
v2,quarterly,true_oos,T2,M30,NG,Si,21,-0.0230973040521,-0.473727131225,10,10,0.47619047619,0.47619047619,7,3,ADEQUATE
v2,quarterly,true_oos,T2,H1,BR,CNY,21,0.00134719168656,0.00746847038787,9,9,0.428571428571,0.428571428571,8,1,ADEQUATE
v2,quarterly,true_oos,T2,H1,BR,GD,20,0.133028152904,1.3002490328,8,9,0.4,0.45,3,5,ADEQUATE
v2,quarterly,true_oos,T2,H1,BR,MIX,20,-0.212380232786,-0.60031233391,9,10,0.45,0.5,5,4,ADEQUATE
v2,quarterly,true_oos,T2,H1,BR,NG,21,-0.0576620764483,-0.246150875961,7,12,0.333333333333,0.571428571429,4,3,ADEQUATE
v2,quarterly,true_oos,T2,H1,BR,Si,20,-0.167569888019,-1.41740540982,7,10,0.35,0.5,4,3,ADEQUATE
v2,quarterly,true_oos,T2,H1,CNY,GD,20,-0.0850957819526,-0.897418716829,6,10,0.3,0.5,4,2,ADEQUATE
v2,quarterly,true_oos,T2,H1,CNY,MIX,20,-0.168098072117,-0.512660690027,11,7,0.55,0.35,9,2,ADEQUATE
v2,quarterly,true_oos,T2,H1,CNY,NG,21,-0.34345585164,-1.56039283874,9,9,0.428571428571,0.428571428571,7,2,ADEQUATE
v2,quarterly,true_oos,T2,H1,CNY,Si,20,0.433295226269,3.95445030409,14,4,0.7,0.2,9,4,ADEQUATE
v2,quarterly,true_oos,T2,H1,GD,MIX,20,0.132573360056,0.686628566134,12,6,0.6,0.3,6,6,ADEQUATE
v2,quarterly,true_oos,T2,H1,GD,NG,20,-0.210325683338,-1.69415648803,8,9,0.4,0.45,4,4,ADEQUATE
v2,quarterly,true_oos,T2,H1,GD,Si,20,0.0254550741501,0.394525340386,9,7,0.45,0.35,4,5,ADEQUATE
v2,quarterly,true_oos,T2,H1,MIX,NG,20,0.0869863732955,0.202624816451,11,8,0.55,0.4,7,4,ADEQUATE
v2,quarterly,true_oos,T2,H1,MIX,Si,20,0.140543187487,0.629927446261,11,7,0.55,0.35,7,4,ADEQUATE
v2,quarterly,true_oos,T2,H1,NG,Si,20,-0.217701097769,-1.51752886948,8,9,0.4,0.45,5,3,ADEQUATE
v2,quarterly,true_oos,T3,M30,BR,CNY,21,0.0609486137231,1.47438899459,11,9,0.52380952381,0.428571428571,5,6,ADEQUATE
v2,quarterly,true_oos,T3,M30,BR,GD,21,0.266304468773,6.17725421925,11,9,0.52380952381,0.428571428571,5,6,ADEQUATE
v2,quarterly,true_oos,T3,M30,BR,MIX,21,-0.0639909607129,-1.09567726795,11,9,0.52380952381,0.428571428571,4,7,ADEQUATE
v2,quarterly,true_oos,T3,M30,BR,NG,20,-0.117959973846,-2.01218675779,9,10,0.45,0.5,5,4,ADEQUATE
v2,quarterly,true_oos,T3,M30,BR,Si,21,0.204447744053,4.58914691226,14,6,0.666666666667,0.285714285714,6,8,ADEQUATE
v2,quarterly,true_oos,T3,M30,CNY,GD,21,0.226811697659,4.62974977251,11,10,0.52380952381,0.47619047619,4,7,ADEQUATE
v2,quarterly,true_oos,T3,M30,CNY,MIX,21,0.265975271945,4.00756275699,12,9,0.571428571429,0.428571428571,4,8,ADEQUATE
v2,quarterly,true_oos,T3,M30,CNY,NG,20,-0.371285912042,-5.63363960329,7,13,0.35,0.65,4,3,ADEQUATE
v2,quarterly,true_oos,T3,M30,CNY,Si,21,0.870822114406,17.201017469,16,5,0.761904761905,0.238095238095,6,10,ADEQUATE
v2,quarterly,true_oos,T3,M30,GD,MIX,21,0.0489116488374,0.706675680401,10,11,0.47619047619,0.52380952381,3,7,ADEQUATE
v2,quarterly,true_oos,T3,M30,GD,NG,20,-0.457929495158,-6.57100740939,10,10,0.5,0.5,5,5,ADEQUATE
v2,quarterly,true_oos,T3,M30,GD,Si,21,-0.0214804951994,-0.406853211707,10,11,0.47619047619,0.52380952381,3,7,ADEQUATE
v2,quarterly,true_oos,T3,M30,MIX,NG,20,0.112644234058,1.2087267922,12,8,0.6,0.4,6,6,ADEQUATE
v2,quarterly,true_oos,T3,M30,MIX,Si,21,0.172348172377,2.40961213985,11,10,0.52380952381,0.47619047619,3,8,ADEQUATE
v2,quarterly,true_oos,T3,M30,NG,Si,20,-0.174968706644,-2.43245488235,5,15,0.25,0.75,2,3,ADEQUATE
v2,quarterly,true_oos,T3,H1,BR,CNY,19,-0.474517588304,-4.86833500042,3,11,0.157894736842,0.578947368421,2,1,ADEQUATE
v2,quarterly,true_oos,T3,H1,BR,GD,19,-0.09200406356,-1.33145440766,9,6,0.473684210526,0.315789473684,6,3,ADEQUATE
v2,quarterly,true_oos,T3,H1,BR,MIX,19,0.0545677380055,0.374484360445,7,9,0.368421052632,0.473684210526,4,3,ADEQUATE
v2,quarterly,true_oos,T3,H1,BR,NG,19,0.336202886811,2.18833357644,11,4,0.578947368421,0.210526315789,8,3,ADEQUATE
v2,quarterly,true_oos,T3,H1,BR,Si,19,0.285385698224,2.87518298836,7,11,0.368421052632,0.578947368421,5,2,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,GD,19,0.438045992863,5.08433740048,13,5,0.684210526316,0.263157894737,6,4,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,MIX,19,0.219657744642,1.20903706339,9,4,0.473684210526,0.210526315789,4,5,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,NG,19,-0.208586820651,-1.08891582901,3,11,0.157894736842,0.578947368421,2,0,ADEQUATE
v2,quarterly,true_oos,T3,H1,CNY,Si,19,0.301933620813,2.43972075534,13,2,0.684210526316,0.105263157895,7,6,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,MIX,19,-0.0213484395537,-0.165748795104,9,5,0.473684210526,0.263157894737,5,4,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,NG,19,-0.442379840894,-3.25757125493,6,7,0.315789473684,0.368421052632,5,1,ADEQUATE
v2,quarterly,true_oos,T3,H1,GD,Si,19,0.391300124165,4.45994785428,13,3,0.684210526316,0.157894736842,8,5,ADEQUATE
v2,quarterly,true_oos,T3,H1,MIX,NG,20,-0.13650797947,-0.610186145286,7,10,0.35,0.5,4,2,ADEQUATE
v2,quarterly,true_oos,T3,H1,MIX,Si,20,-0.151036641255,-0.793813394377,8,10,0.4,0.5,4,4,ADEQUATE
v2,quarterly,true_oos,T3,H1,NG,Si,20,-0.182375191464,-1.18276469169,5,12,0.25,0.6,4,1,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,GLDRUBF,18,-0.0371426922668,-0.263780265546,9,9,0.5,0.5,3,6,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,IMOEXF,14,-0.422503220931,-2.54149802667,6,8,0.428571428571,0.571428571429,1,5,ADEQUATE
v3,perpetual,baseline,T2,M30,CNYRUBF,USDRUBF,24,0.125048812401,1.26145187207,15,9,0.625,0.375,5,10,ADEQUATE
v3,perpetual,baseline,T2,M30,GLDRUBF,IMOEXF,14,0.391756549953,3.65011647502,6,8,0.428571428571,0.571428571429,1,5,ADEQUATE
