generation,futures_type,lifecycle_stage,strategy,timeframe,instruments,months_observed,positive_months,negative_months,flat_months,positive_month_share,negative_month_share,total_net_R,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_positive_month_streak,longest_negative_month_streak,monthly_downside_deviation,monthly_R_q25,monthly_R_q75,monthly_equity_max_drawdown_R,months_all_active_instruments_negative,months_all_active_instruments_positive,max_number_simultaneously_negative,average_number_negative_per_month,max_number_simultaneously_positive,average_number_positive_per_month,offset_months,offset_month_share,loss_rescue_months,loss_rescue_share,loss_reduction_months,all_negative_months,all_positive_months
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,60,37,23,0,0.616666666667,0.383333333333,179.500078995,2.99166798325,2.67023059759,8.16040173536,23.3631214622,-11.9565835251,9,4,3.79776963017,-2.97167792469,8.79229828655,-21.4314772188,1,2,5,2.9,6,2.55,57,0.95,35,0.603448275862,22,1,2
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,60,37,23,0,0.616666666667,0.383333333333,194.368185188,3.23946975313,1.57954405381,7.01909660855,24.3936141512,-8.88193544805,12,5,2.18414420587,-1.58113756615,6.67826808493,-14.7571570356,2,0,6,2.63333333333,5,2.18333333333,58,0.966666666667,37,0.616666666667,21,2,0
v2,quarterly,baseline,T3,M30,Si|CNY|GD|BR|MIX|NG,60,41,19,0,0.683333333333,0.316666666667,257.573978294,4.29289963823,2.75187082701,8.09737040238,30.8063279363,-9.50972968452,9,3,2.4161979632,-1.10357764066,7.43958053461,-19.4247216917,1,2,5,2.46666666667,6,2.85,56,0.933333333333,39,0.672413793103,17,1,2
v2,quarterly,baseline,T3,H1,Si|CNY|GD|BR|MIX|NG,59,35,24,0,0.593220338983,0.406779661017,151.550692518,2.56865580539,0.963942675299,6.83447492488,31.197474464,-11.101405783,6,5,2.46981236251,-1.26989081968,5.46432930191,-13.2699644364,0,1,5,2.28813559322,5,2.32203389831,52,0.881355932203,30,0.555555555556,22,0,1
v2,quarterly,walk_forward,T2,M30,Si|CNY|GD|BR|MIX|NG,12,7,5,0,0.583333333333,0.416666666667,14.0841726476,1.17368105397,1.84906859525,5.49193459859,9.78591407182,-12.9234614551,4,2,3.76811363218,-0.651027290851,3.66279696213,-12.9234614551,0,0,4,2.91666666667,4,2.91666666667,12,1,7,0.583333333333,5,0,0
v2,quarterly,walk_forward,T2,H1,Si|CNY|GD|BR|MIX|NG,12,9,3,0,0.75,0.25,33.525522037,2.79379350308,1.55569137228,5.88138773483,15.3475400733,-4.75919348381,4,1,1.683795734,-0.0573757906802,3.32541885948,-4.75919348381,1,0,4,2.66666666667,5,2.33333333333,11,0.916666666667,9,0.75,2,1,0
v2,quarterly,walk_forward,T3,M30,Si|CNY|GD|BR|MIX|NG,12,7,5,0,0.583333333333,0.416666666667,29.5074559539,2.45895466282,1.58524543829,7.40004049342,14.5711079108,-7.91709200678,3,2,3.22783209059,-3.44727947616,9.46027863246,-10.0636169366,0,0,5,3.58333333333,4,2.33333333333,12,1,7,0.583333333333,5,0,0
v2,quarterly,walk_forward,T3,H1,Si|CNY|GD|BR|MIX|NG,8,4,4,0,0.5,0.5,29.0909635943,3.63637044929,3.00319463905,7.93721647044,15.6854665148,-4.94250935817,2,1,2.52351048538,-3.34264216598,8.12623763746,-4.94250935817,0,0,4,2.25,4,2.5,8,1,4,0.5,4,0,0
v2,quarterly,true_oos,T2,M30,Si|CNY|GD|BR|MIX|NG,21,12,9,0,0.571428571429,0.428571428571,140.011328726,6.66720612983,1.58981229154,20.6822024443,88.3102148687,-10.4861279919,3,2,3.93891447798,-4.02724596735,8.54187727856,-10.9827410691,0,0,5,3.52380952381,5,2.2380952381,20,0.952380952381,12,0.571428571429,8,0,0
v2,quarterly,true_oos,T2,H1,Si|CNY|GD|BR|MIX|NG,21,10,11,0,0.47619047619,0.52380952381,38.732434746,1.84440165457,-0.289177875372,6.622016515,17.9908035387,-5.3157243642,7,6,2.55925159008,-3.4034450623,5.9862283357,-18.8940848389,1,0,5,3.14285714286,5,2.33333333333,20,0.952380952381,10,0.47619047619,10,1,0
