generation,lifecycle_stage,strategy,timeframe,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,79,35,44,0.443037974683544,59.5923474217733,0.754333511668017,2.79452271776578,2.65143590272886,-0.754725208494018,-0.361246526583,2.53121800041671,15.3747740568,-1.11000181043,41.7974683544304,28,0.449668168549421,0.470999231521,2.51890991078276,1.19208945458,false
v1,baseline,T2,M30,178,58,120,0.325842696629214,39.6176879764491,0.222571280766568,1.48755149674497,2.08407166466262,-0.677153904783189,-0.3969238308935,1.92010507763112,14.7507391821,-1.09861697982,17.3651685393258,10.5,0.458312323728202,0.4812996019145,1.67764321711333,1.008943342625,false
v1,baseline,T3,H1,114,50,64,0.43859649122807,55.5455938678506,0.487242051472373,2.133294331716,2.09116197326537,-0.765820387428407,-0.329548816837553,2.15408138352581,13.9644679247218,-1.04752562596437,39.0175438596491,25,0.551558333724977,0.551073658931,2.06691576450785,1.26522441427,false
v1,baseline,T3,M30,235,103,132,0.438297872340426,100.091400818886,0.42592085454845,2.00268933088816,1.94091596807199,-0.75623442342825,-0.230472239783961,1.86434230148907,9.88766427080251,-1.09593625999077,19.7765957446809,15,0.584906120375522,0.570111828099,1.79042483364123,1.06017583613,false
v1,true_oos,T2,H1,69,30,39,0.434782608695652,42.857686250845,0.621125887693406,2.40553629687693,2.44499128448093,-0.781847494450846,-0.472907599148,2.49043247288193,12.9932280859,-1.06840176724,41.8985507246377,25,0.494992618835762,0.49850805773,2.09918832862886,0.959519536098,false
v1,true_oos,T2,M30,171,53,118,0.309941520467836,28.1138232995023,0.164408323388902,1.32993115826284,2.13820760857585,-0.722128643686589,-0.482541074894,2.16626904745578,14.6116728165,-1.10376364805,18.5994152046784,14.5,0.484294649481547,0.484311246401,1.54478940784293,0.70613160406,false
v1,true_oos,T3,H1,97,43,54,0.443298969072165,57.2306821034161,0.59000703199398,2.67722820365194,2.12448515739393,-0.63189221600968,-0.132089407519,1.82121052333895,7.23850694164,-1.04792554046,31.9175257731959,24,0.524128813682817,0.466572969169,1.99759433277116,1.26532670585,false
v1,true_oos,T3,M30,162,72,90,0.444444444444444,72.7030270730298,0.448784117734752,2.098412951334,1.92905810942392,-0.735435075616584,-0.1580669778035,2.25638728793451,14.3471077532,-1.06645397314,15.5216049382716,14.25,0.561388736137773,0.5829049223525,1.86074026141096,1.088189456805,false
v1,walk_forward,T2,H1,33,16,17,0.484848484848485,26.954513061204,0.816803426097091,3.2479236097358,2.43408514254144,-0.705344071732882,-0.118916832863,2.97810793229873,15.3747740568,-1.11000181041,45.6666666666667,40,0.4529363601139,0.474498999074,2.504095338467,1.51246555955,false
v1,walk_forward,T2,M30,67,21,46,0.313432835820896,7.69327542954863,0.114825006411174,1.24573377987136,1.85717302247448,-0.680594740052508,-0.447555078504,1.59987273088131,8.6411459116,-1.09861697982,12.7537313432836,10.5,0.473516016110616,0.513002730203,1.51785538905294,0.988936085728,false
