generation,lifecycle_stage,strategy,timeframe,total_loss_R,worst_1_loss_share,worst_3_losses_share,worst_5_losses_share,worst_10_losses_share,INITIAL_STOP_loss_share,ATR_TRAILING_STOP_loss_share,EMA50_TREND_LOSS_loss_share,other_exit_loss_share
v1,baseline,T2,H1,33.2079091737368,0.033425826498823,0.0970222686692999,0.159983318039236,0.312514750821098,0.460578284162083,0.431449430954811,0.107972284883105,0
v1,baseline,T2,M30,81.2584685739827,0.013520030577733,0.0403775521234782,0.0667830503928241,0.131589051672869,0.531493725900442,0.33944034254805,0.129065931551508,0
v1,baseline,T3,H1,49.012504795418,0.0213726197087217,0.0636402646226952,0.105664943352702,0.209354013559933,0,1,0,0
v1,baseline,T3,M30,99.822943892529,0.0109788012380267,0.0321580011374129,0.0533151045577802,0.105875762131642,0,1,0,-2.84721210596667e-16
v1,true_oos,T2,H1,30.492052283583,0.0350386965529123,0.10347764993007,0.171173364004107,0.337541496204289,0.502127325572094,0.416569771621172,0.081302902806734,-1.16512776698645e-16
v1,true_oos,T2,M30,85.2111799550175,0.0129532726648389,0.0381869954110217,0.0633129491172165,0.125595418859117,0.556021375880151,0.295198213060754,0.148780411059095,1.66772185559499e-16
v1,true_oos,T3,H1,34.1221796645227,0.0307109789222974,0.0911821358485752,0.151462364722365,0.300814429079455,0,1,0,0
v1,true_oos,T3,M30,66.1891568054926,0.0161122157255145,0.0481952006203119,0.0798554107346082,0.158703385184207,0,1,0,-2.14700645862023e-16
v1,walk_forward,T2,H1,11.990849219459,0.0925707420796073,0.264437810027192,0.432395984192346,0.763426015891393,0.507465236033928,0.444378190882247,0.0481565730838247,0
v1,walk_forward,T2,M30,31.3073580424154,0.0350913347057771,0.103275398749378,0.170627639686899,0.336189878539747,0.561122638894658,0.335758170707732,0.103119190397611,0
v1,walk_forward,T3,H1,13.8265438266982,0.0757619285841819,0.225541427441608,0.370893797627059,0.731951039767252,0,1,0,0
v1,walk_forward,T3,M30,24.9065227505893,0.0440019777535614,0.128797610159134,0.213036024092302,0.417643512820106,0,1,0,1.42641898043212e-16
v2,baseline,T2,H1,316.145223466294,0.00820891921543356,0.023201652386034,0.0303074073542077,0.0470417586396828,0.537390412465977,0.329656922306846,0.132952665227178,-5.39404817547734e-16
v2,baseline,T2,M30,681.405995556091,0.00752049671612872,0.0163168805500843,0.0231390664395939,0.0351201229126551,0.529479471247991,0.33701050350961,0.133510025242399,-3.33683115390956e-16
v2,baseline,T3,H1,320.897105802729,0.00799215732782775,0.0153721053189319,0.0220517605155036,0.0387247186589126,0,1,0,0
v2,baseline,T3,M30,697.09287086157,0.00530667117916144,0.0129177069540397,0.0182428055240366,0.0289701730334441,0,1,0,4.89261226762103e-16
v2,true_oos,T2,H1,143.459394381345,0.0175401975972458,0.0474175205240835,0.0717649366774324,0.117467410531543,0.589583477334607,0.288618348536646,0.121798174128746,0
v2,true_oos,T2,M30,222.101493732867,0.0122628839734226,0.0290684443980153,0.0424594788421924,0.0690204213221889,0.554131136708592,0.349123639403437,0.0967452238879709,0
v2,true_oos,T3,H1,158.055460412486,0.0196569570712823,0.0489810583348148,0.0690860800980425,0.107721092030206,0,0.999999999999999,0,5.3946335083072e-16
v2,true_oos,T3,M30,341.851913070025,0.0100769016621954,0.0250135164846026,0.0358687032608131,0.0578281208203172,0,1,0,3.32561654257375e-16
v2,walk_forward,T2,H1,49.5761561165656,0.0481175836234892,0.0932721989403065,0.13550912862676,0.237762168917153,0.411424644818006,0.486637731823671,0.101937623358323,0
v2,walk_forward,T2,M30,103.546132147859,0.049490130105608,0.107376490120592,0.150201720625464,0.202355667921425,0.484844684892059,0.410094545073557,0.105060770034383,1.37241772535836e-16
v2,walk_forward,T3,H1,47.940688639553,0.0534965230662968,0.098264252219843,0.142948537072452,0.253928532173949,0,1,0,4.44638629058328e-16
v2,walk_forward,T3,M30,157.501706989517,0.0234870003488039,0.0515926215308309,0.0727947931459757,0.112302109165631,0,1,0,1.8045334221232e-16
v3,baseline,T2,H1,70.7565546304846,0.01495807433371,0.0447617918780835,0.0743138308062073,0.146526846069088,0.472257823369673,0.418717438775519,0.109024737854808,0
v3,baseline,T2,M30,160.006684749885,0.0157774637575685,0.0304864311680172,0.0441741347774227,0.0777707658923228,0.525851363394681,0.334477564614874,0.139671071990445,0
v3,baseline,T3,H1,69.1026669701285,0.0163035410637192,0.0473571201666446,0.078021936893125,0.153414078059718,0,1,0,4.1129685259022e-16
v3,baseline,T3,M30,169.568591135324,0.00682203576042461,0.0202050557598003,0.033360449904461,0.0658254152160894,0,0.999999999999999,0,5.02835623745711e-16
v3,true_oos,T2,H1,86.503885390766,0.0155605995260149,0.0401367716261057,0.064261053849766,0.123473718445023,0.609408914431574,0.308202188000678,0.0823888975677476,1.64279958651649e-16
v3,true_oos,T2,M30,186.791522817199,0.0152094625685466,0.0355603336651443,0.0482521672795642,0.0775615637305894,0.591456420347989,0.253949196837412,0.1545943828146,0
v3,true_oos,T3,H1,67.7919480265285,0.0154908388159764,0.0463518563396401,0.076483120231934,0.150475660303907,0,1,0,2.09624522216724e-16
v3,true_oos,T3,M30,160.226547778568,0.00703811565295949,0.0207373023324568,0.0343591143506269,0.0681549447449975,0,1,0,0
v3,walk_forward,T2,H1,34.0545235404668,0.030985332997131,0.0915071920077518,0.150662823447909,0.297995098963023,0.591660228048336,0.307523604521065,0.1008161674306,0
v3,walk_forward,T2,M30,86.7917622271111,0.029086858070747,0.0562038683842538,0.0815309560603622,0.142161686910026,0.604766278133988,0.26067225837371,0.134561463492302,0
v3,walk_forward,T3,H1,16.6618636481835,0.0600296122222224,0.180080643280088,0.300122324878416,0.543147295864027,0,1,0,0
v3,walk_forward,T3,M30,77.6928414845256,0.0167843542364161,0.0459934783084452,0.074757686180352,0.14472510290925,0,1,0,1.82910734678592e-16
