generation,lifecycle_stage,strategy,timeframe,longest_consecutive_loss_streak,streaks_ge_2,streaks_ge_3,streaks_ge_5,mean_loss_streak_length,total_R_from_losing_streaks,worst_streak_cumulative_R,worst_streak_start,worst_streak_end,instruments_in_worst_streak,directions_in_worst_streak
v1,baseline,T2,H1,7,9,5,3,2.0952380952381,-33.2079091737368,-5.884259950314,2023-11-22 14:00:00+03:00,2024-02-21 10:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,baseline,T2,M30,13,24,19,7,3.24324324324324,-81.2584685739827,-9.20677620732,2024-02-05 16:00:00+03:00,2024-03-29 14:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,baseline,T3,H1,10,15,10,4,3.04761904761905,-49.012504795418,-8.2563441282287,2023-09-15 14:00:00+03:00,2023-11-16 20:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,baseline,T3,M30,8,31,23,6,2.64,-99.822943892529,-5.64367536473488,2024-03-22 15:00:00+03:00,2024-04-12 10:30:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,true_oos,T2,H1,11,9,7,2,3.25,-30.492052283583,-9.46784963186,2025-08-20 11:00:00+03:00,2025-11-17 11:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,true_oos,T2,M30,16,25,16,7,3.47058823529412,-85.2111799550175,-11.473382980437,2026-02-11 13:00:00+03:00,2026-03-16 10:30:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,true_oos,T3,H1,10,11,8,3,3.17647058823529,-34.1221796645227,-6.2630537943381,2025-10-22 15:00:00+03:00,2025-12-04 14:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,true_oos,T3,M30,7,23,18,4,3.10344827586207,-66.1891568054926,-6.12221677795,2025-05-06 10:30:00+03:00,2025-05-30 09:30:00+03:00,CNYRUBF|USDRUBF,SHORT
v1,walk_forward,T2,H1,3,5,3,0,1.88888888888889,-11.990849219459,-2.591883552344,2024-03-01 10:00:00+03:00,2024-03-26 12:00:00+03:00,USDRUBF,LONG|SHORT
v1,walk_forward,T2,M30,11,10,8,2,3.28571428571429,-31.3073580424154,-9.20677620732,2024-02-05 16:00:00+03:00,2024-03-29 14:00:00+03:00,CNYRUBF|USDRUBF,LONG|SHORT
v1,walk_forward,T3,H1,3,6,3,0,2.125,-13.8265438266982,-3.02075235317471,2024-02-21 16:00:00+03:00,2024-02-26 13:00:00+03:00,CNYRUBF|USDRUBF,LONG
v1,walk_forward,T3,M30,6,9,6,2,2.33333333333333,-24.9065227505893,-4.584140563485,2024-02-16 11:00:00+03:00,2024-02-19 16:00:00+03:00,CNYRUBF|USDRUBF,LONG
v2,baseline,T2,H1,11,108,69,26,2.7639751552795,-316.145223466294,-8.095151938204,2021-03-04 17:00:00+03:00,2021-03-30 14:00:00+03:00,GD|MIX|NG|Si,LONG|SHORT
v2,baseline,T2,M30,15,214,138,61,2.79940119760479,-681.405995556091,-11.174064176059,2022-11-08 22:30:00+03:00,2022-11-21 17:30:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,baseline,T3,H1,16,101,64,23,2.60355029585799,-320.897105802729,-11.6611610232975,2023-08-15 15:00:00+03:00,2023-09-20 13:00:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,baseline,T3,M30,13,209,134,51,2.63661971830986,-697.09287086157,-10.823850520096,2022-06-10 15:30:00+03:00,2022-07-07 15:30:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,true_oos,T2,H1,9,47,27,12,2.57534246575342,-143.459394381345,-7.6817035935301,2025-10-21 09:00:00+03:00,2025-11-12 21:00:00+03:00,BR|CNY|MIX|NG|Si,LONG|SHORT
v2,true_oos,T2,M30,15,65,42,16,3.23333333333333,-222.101493732867,-13.357307543122,2025-02-18 11:30:00+03:00,2025-03-14 09:30:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,true_oos,T3,H1,13,44,27,14,2.88732394366197,-158.055460412486,-11.412239223181,2025-07-29 15:00:00+03:00,2025-08-08 15:00:00+03:00,BR|GD|MIX|Si,LONG|SHORT
v2,true_oos,T3,M30,14,98,56,25,2.71794871794872,-341.851913070025,-12.83834789492,2025-04-14 20:00:00+03:00,2025-05-05 13:00:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,walk_forward,T2,H1,10,21,10,3,3.04166666666667,-49.5761561165656,-5.2222778406989,2024-02-16 18:00:00+03:00,2024-03-07 13:00:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,walk_forward,T2,M30,8,30,15,8,2.42307692307692,-103.546132147859,-9.400616130776,2024-12-19 16:30:00+03:00,2024-12-27 14:00:00+03:00,BR|CNY|MIX|NG|Si,LONG|SHORT
v2,walk_forward,T3,H1,11,12,9,4,3,-47.940688639553,-8.168639411514,2024-05-22 10:00:00+03:00,2024-05-27 16:00:00+03:00,BR|CNY|GD|MIX|NG|Si,LONG|SHORT
v2,walk_forward,T3,M30,9,47,29,11,2.5125,-157.501706989517,-8.504757637879,2024-02-21 17:00:00+03:00,2024-03-04 22:00:00+03:00,BR|CNY|MIX|NG,LONG|SHORT
v3,baseline,T2,H1,6,26,16,6,2.35555555555556,-70.7565546304846,-4.360592551073,2024-03-21 22:00:00+03:00,2024-04-01 10:00:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG|SHORT
v3,baseline,T2,M30,12,46,32,15,2.71764705882353,-160.006684749885,-7.0930496468188,2023-12-27 19:30:00+03:00,2024-01-10 19:30:00+03:00,CNYRUBF|GLDRUBF|IMOEXF,LONG|SHORT
v3,baseline,T3,H1,10,26,14,5,2.67567567567568,-69.1026669701285,-6.3179251214545,2024-04-27 10:00:00+03:00,2024-05-27 10:00:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG|SHORT
v3,baseline,T3,M30,10,53,34,11,2.43478260869565,-169.568591135324,-8.320872069531,2024-02-13 15:00:00+03:00,2024-02-19 20:00:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG
v3,true_oos,T2,H1,7,27,18,5,2.725,-86.503885390766,-7.09116371813,2025-09-23 13:00:00+03:00,2025-10-03 11:00:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG|SHORT
v3,true_oos,T2,M30,10,51,36,19,3.31081081081081,-186.791522817199,-8.77814733737,2025-03-31 18:00:00+03:00,2025-04-11 18:30:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG|SHORT
v3,true_oos,T3,H1,8,28,18,8,2.75609756097561,-67.7919480265285,-4.768795962578,2026-01-30 10:00:00+03:00,2026-03-03 17:00:00+03:00,CNYRUBF|GLDRUBF|IMOEXF|USDRUBF,LONG|SHORT
