generation,lifecycle_stage,strategy,timeframe,threshold_R,trades_total,trades_reached_threshold,reached_share,reached_and_finished_positive,reached_and_finished_nonpositive,reached_and_finished_negative,reached_and_finished_below_0_25R,reached_and_finished_below_0_5R,mean_final_R_after_reach,median_final_R_after_reach,total_final_R_after_reach
v1,baseline,T2,H1,0.5,79,54,0.683544303797468,35,19,19,22,25,1.51042680634869,0.867114594925,81.5630475428294
v1,baseline,T2,H1,1,79,43,0.544303797468354,35,8,8,11,14,2.02979025592886,1.53944286776,87.2809810049412
v1,baseline,T2,H1,2,79,32,0.405063291139241,31,1,1,2,4,2.83665085954814,1.937817322085,90.7728275055404
v1,baseline,T2,M30,0.5,178,119,0.668539325842697,57,62,62,69,75,0.761902348784007,-0.0444432339875,90.6663795052968
v1,baseline,T2,M30,1,178,90,0.50561797752809,57,33,33,40,46,1.18074690261189,0.471080849279,106.26722123507
v1,baseline,T2,M30,2,178,44,0.247191011235955,43,1,1,1,3,2.63061818866032,1.80637381624,115.747200301054
v1,baseline,T3,H1,0.5,114,79,0.692982456140351,50,29,29,34,39,1.13306033468431,0.508484448447383,89.5117664400602
v1,baseline,T3,H1,1,114,62,0.543859649122807,50,12,12,17,22,1.62932613774287,0.9217756276506,101.018220540058
v1,baseline,T3,H1,2,114,37,0.324561403508772,37,0,0,0,1,2.69875107162739,1.75100712335155,99.8537896502135
v1,baseline,T3,M30,0.5,235,161,0.685106382978723,103,58,58,70,85,1.07237794582762,0.392967871482818,172.652849278247
v1,baseline,T3,M30,1,235,119,0.506382978723404,103,16,16,28,43,1.6504387775231,1.03916224388197,196.402214525249
v1,baseline,T3,M30,2,235,74,0.314893617021277,74,0,0,0,2,2.58170714140828,2.01870739423692,191.046328464213
v1,true_oos,T2,H1,0.5,69,45,0.652173913043478,30,15,15,20,23,1.3942491274224,0.472363691849,62.741210734008
v1,true_oos,T2,H1,1,69,33,0.478260869565217,28,5,5,8,11,2.12323280567567,0.740715986905,70.066682587297
v1,true_oos,T2,H1,2,69,20,0.289855072463768,20,0,0,0,0,3.49092201894855,2.614553398675,69.818440378971
v1,true_oos,T2,M30,0.5,171,108,0.631578947368421,53,55,55,65,74,0.783625123410938,-0.0398481745802,84.6315133283813
v1,true_oos,T2,M30,1,171,65,0.380116959064327,50,15,15,22,31,1.6643427236548,0.607269492219,108.182277037562
v1,true_oos,T2,M30,2,171,34,0.198830409356725,33,1,1,3,4,3.15263257852124,2.155053582215,107.189507669722
v1,true_oos,T3,H1,0.5,97,72,0.742268041237113,43,29,29,35,37,1.12543217531503,0.364353849172,81.0311166226821
v1,true_oos,T3,H1,1,97,54,0.556701030927835,43,11,11,17,19,1.656755589153,1.21532535621,89.4648018142621
v1,true_oos,T3,H1,2,97,36,0.371134020618557,36,0,0,0,1,2.49599090574753,1.90710904307,89.855672606911
v1,true_oos,T3,M30,0.5,162,115,0.709876543209877,72,43,43,54,65,1.02734417428517,0.331521931575,118.144580042795
v1,true_oos,T3,M30,1,162,83,0.512345679012346,71,12,12,22,33,1.65154673672431,0.809413383908,137.078379148118
v1,true_oos,T3,M30,2,162,47,0.290123456790123,47,0,0,1,3,2.78659687640953,1.7730689473,130.970053191248
v1,walk_forward,T2,H1,0.5,33,24,0.727272727272727,16,8,8,10,11,1.45411595339517,0.8504264652,34.898782881484
v1,walk_forward,T2,H1,1,33,19,0.575757575757576,16,3,3,5,6,1.93908111565774,1.36394109806,36.842541197497
v1,walk_forward,T2,H1,2,33,14,0.424242424242424,13,1,1,2,2,2.63765947638884,1.60939677107,36.9272326694437
v1,walk_forward,T2,M30,0.5,67,43,0.641791044776119,21,22,22,23,25,0.663929404073364,-0.00903442544637,28.5489643751546
v1,walk_forward,T2,M30,1,67,33,0.492537313432836,21,12,12,13,15,0.98448522663997,0.700864852044,32.488012479119
v1,walk_forward,T2,M30,2,67,15,0.223880597014925,15,0,0,0,0,2.39781779243187,1.52986548683,35.967266886478
v1,walk_forward,T3,H1,0.5,34,22,0.647058823529412,17,5,5,6,9,2.03284225660572,1.10242584353505,44.7225296453259
v1,walk_forward,T3,H1,1,34,19,0.558823529411765,17,2,2,3,6,2.42379846604065,1.40208931331515,46.0521708547723
v1,walk_forward,T3,H1,2,34,12,0.352941176470588,12,0,0,0,0,3.7198124031994,2.47418834081671,44.6377488383928
v1,walk_forward,T3,M30,0.5,60,41,0.683333333333333,25,16,16,18,23,0.976332259146547,0.378506178518,40.0296226250084
v1,walk_forward,T3,M30,1,60,29,0.483333333333333,25,4,4,6,11,1.57025313359781,1.11462559912,45.5373408743364
v1,walk_forward,T3,M30,2,60,16,0.266666666666667,16,0,0,0,0,2.67818193552213,1.85208816151,42.850910968354
v2,baseline,T2,H1,0.5,707,463,0.654879773691655,262,201,201,233,259,0.881752610872533,0.241953147795,408.251458833983
v2,baseline,T2,H1,1,707,341,0.482319660537482,258,83,83,111,137,1.39206633980201,0.836651843999,474.694621872484
v2,baseline,T2,H1,2,707,196,0.277227722772277,194,2,2,8,17,2.45764311999504,1.841077513715,481.698051519028
v2,baseline,T2,M30,0.5,1438,923,0.641863699582754,503,420,420,490,562,0.684118468473312,0.114249280292,631.441346400867
v2,baseline,T2,M30,1,1438,664,0.461752433936022,494,170,170,232,303,1.18638536473698,0.6404563801965,787.759882185355
v2,baseline,T2,M30,2,1438,359,0.249652294853964,343,16,16,24,44,2.21386729086044,1.57480566179,794.7783574189
v2,baseline,T3,H1,0.5,741,518,0.699055330634278,301,217,217,253,294,0.712045912589478,0.2820778739675,368.83978272135
v2,baseline,T3,H1,1,741,387,0.522267206477733,299,88,88,122,163,1.15771532064031,0.795635844001,448.0358290878
v2,baseline,T3,H1,2,741,205,0.276653171390013,205,0,0,3,8,2.12765036103038,1.69897121997,436.168324011228
v2,baseline,T3,M30,0.5,1563,1064,0.680742162507997,626,438,438,532,619,0.697820915967069,0.25293866191,742.481454588961
v2,baseline,T3,M30,1,1563,780,0.499040307101727,621,159,159,248,335,1.16793439601347,0.675798452372,910.988828890509
