generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,source_schema_id,source_path,source_row_number,source_trade_id,canonical_trade_key,direction,entry_time,exit_time,entry_date,exit_date,entry_year,entry_month,exit_year,exit_month,entry_weekday,exit_weekday,entry_hour,exit_hour,canonical_C1_R,gross_R,cost_R,MAE_R,MFE_R,exit_reason_raw,entry_price,exit_price,stop_raw,holding_source_value,holding_minutes,holding_hours,MAE_status,MFE_status,exit_reason_status,stop_status,holding_status
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,2,T2-H1-CNYRUBF-000001,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|2|T2-H1-CNYRUBF-000001,SHORT,2025-01-24 19:00:00+03:00,2025-01-27 19:00:00+03:00,2025-01-24,2025-01-27,2025,1,2025,1,4,0,19,19,0.591878283623,0.614525007015,0.0226467233919,0.905868935676,2.20805553071,ATR_TRAILING_STOP,13.5,13.4457294553,,3 days 00:00:00,4320,72,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,4,T2-H1-CNYRUBF-000002,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|4|T2-H1-CNYRUBF-000002,SHORT,2025-01-28 13:00:00+03:00,2025-01-29 11:00:00+03:00,2025-01-28,2025-01-29,2025,1,2025,1,1,2,13,11,-0.181505167496,-0.16223489,0.0192702774961,0.231243329953,0.88643276482,ATR_TRAILING_STOP,13.42,13.4368378364,,0 days 22:00:00,1320,22,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,8,T2-H1-CNYRUBF-000003,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|8|T2-H1-CNYRUBF-000003,SHORT,2025-02-24 13:00:00+03:00,2025-02-26 14:00:00+03:00,2025-02-24,2025-02-26,2025,2,2025,2,0,2,13,14,1.94611532797,1.96061741504,0.0145020870627,0.15952295769,3.06719141376,ATR_TRAILING_STOP,12.063,11.7926089306,,2 days 01:00:00,2940,49,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,14,T2-H1-CNYRUBF-000004,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|14|T2-H1-CNYRUBF-000004,SHORT,2025-04-14 22:00:00+03:00,2025-04-15 18:00:00+03:00,2025-04-14,2025-04-15,2025,4,2025,4,0,1,22,18,-0.10192786651,-0.0820552349206,0.0198726315894,0.119235789537,1.39108421126,ATR_TRAILING_STOP,11.254,11.2622581146,,0 days 20:00:00,1200,20,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,17,T2-H1-CNYRUBF-000005,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|17|T2-H1-CNYRUBF-000005,SHORT,2025-04-18 19:00:00+03:00,2025-04-21 14:00:00+03:00,2025-04-18,2025-04-21,2025,4,2025,4,4,0,19,14,-0.726374066722,-0.711771652357,0.0146024143649,0.540289331501,0.591397781778,ATR_TRAILING_STOP,11.044,11.1414868449,,2 days 19:00:00,4020,67,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,21,T2-H1-CNYRUBF-000006,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|21|T2-H1-CNYRUBF-000006,SHORT,2025-05-15 12:00:00+03:00,2025-05-16 11:00:00+03:00,2025-05-15,2025-05-16,2025,5,2025,5,3,4,12,11,-0.836961047146,-0.806847333475,0.0301137136703,0.707672271253,0.316193993539,ATR_TRAILING_STOP,11.118,11.1715867042,,0 days 23:00:00,1380,23,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,27,T2-H1-CNYRUBF-000007,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|27|T2-H1-CNYRUBF-000007,SHORT,2025-05-30 12:00:00+03:00,2025-06-02 10:00:00+03:00,2025-05-30,2025-06-02,2025,5,2025,6,4,0,12,10,-0.620995711317,-0.592530167729,0.0284655435889,0.782802448695,0.469681469217,ATR_TRAILING_STOP,10.884,10.9256313966,,2 days 22:00:00,4200,70,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,32,T2-H1-CNYRUBF-000008,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|32|T2-H1-CNYRUBF-000008,LONG,2025-07-03 20:00:00+03:00,2025-07-04 16:00:00+03:00,2025-07-03,2025-07-04,2025,7,2025,7,3,4,20,16,-0.909053663425,-0.827707022883,0.0813466405425,0.691446444612,0.935486366239,ATR_TRAILING_STOP,11.006,10.9856498782,,0 days 20:00:00,1200,20,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,39,T2-H1-CNYRUBF-000009,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|39|T2-H1-CNYRUBF-000009,LONG,2025-07-23 20:00:00+03:00,2025-07-24 14:00:00+03:00,2025-07-23,2025-07-24,2025,7,2025,7,2,3,20,14,3.23250295776,3.29483713542,0.0623341776676,0,5.85941270075,ATR_TRAILING_STOP,10.978,11.0837152676,,0 days 18:00:00,1080,18,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,40,T2-H1-CNYRUBF-000010,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|40|T2-H1-CNYRUBF-000010,LONG,2025-07-25 17:00:00+03:00,2025-07-29 15:00:00+03:00,2025-07-25,2025-07-29,2025,7,2025,7,4,1,17,15,4.82847595475,4.86128739334,0.0328114385907,0.902314561244,7.13648789348,ATR_TRAILING_STOP,11.093,11.3893166263,,3 days 22:00:00,5640,94,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
v3,perpetual,true_oos,T2,H1,CNYRUBF,V3_TRUE_OOS,TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv,44,T2-H1-CNYRUBF-000011,v3|true_oos|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/true_oos/T2/H1/trades.csv|44|T2-H1-CNYRUBF-000011,LONG,2025-08-19 00:00:00+03:00,2025-08-20 11:00:00+03:00,2025-08-19,2025-08-20,2025,8,2025,8,1,2,0,11,-0.367807929868,-0.320551898945,0.0472560309238,0.37804824739,0.637956417471,ATR_TRAILING_STOP,11.166,11.1524333973,,1 days 11:00:00,2100,35,SOURCE,SOURCE,SOURCE,UNAVAILABLE,DERIVED
