generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,source_schema_id,source_path,source_row_number,source_trade_id,canonical_trade_key,direction,entry_time,exit_time,entry_date,exit_date,entry_year,entry_month,exit_year,exit_month,entry_weekday,exit_weekday,entry_hour,exit_hour,canonical_C1_R,gross_R,cost_R,MAE_R,MFE_R,exit_reason_raw,entry_price,exit_price,stop_raw,holding_source_value,holding_minutes,holding_hours,MAE_status,MFE_status,exit_reason_status,stop_status,holding_status
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,2,CNYRUBF-000001,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|2|CNYRUBF-000001,LONG,2024-01-30 18:00:00+03:00,2024-01-31 12:00:00+03:00,2024-01-30,2024-01-31,2024,1,2024,1,1,2,18,12,-0.441122850043,-0.400868393791,0.0402544562517,0.301908421888,0.905725265663,ATR_TRAILING_STOP,12.445,12.4250832787,12.3953160597,10,1080,18,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,7,CNYRUBF-000002,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|7|CNYRUBF-000002,LONG,2024-02-02 23:00:00+03:00,2024-02-05 16:00:00+03:00,2024-02-02,2024-02-05,2024,2,2024,2,4,0,23,16,-0.374948457478,-0.269942135926,0.105006321552,0.210012643104,4.30525918363,ATR_TRAILING_STOP,12.595,12.5898585546,12.5759535277,9,3900,65,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,12,CNYRUBF-000003,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|12|CNYRUBF-000003,LONG,2024-02-19 09:00:00+03:00,2024-02-21 16:00:00+03:00,2024-02-19,2024-02-21,2024,2,2024,2,0,2,9,16,0.840495782919,0.874504693336,0.0340089104166,0.272071283333,1.71744997604,ATR_TRAILING_STOP,12.735,12.7864279748,12.6761918825,39,3300,55,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,24,CNYRUBF-000004,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|24|CNYRUBF-000004,SHORT,2024-03-28 14:00:00+03:00,2024-03-28 18:00:00+03:00,2024-03-28,2024-03-28,2024,3,2024,3,3,3,14,18,-1.05519075196,-1,0.055190751959,0.965838159283,0.303549135775,INITIAL_STOP,12.707,12.7432379553,12.7432379553,4,240,4,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,26,CNYRUBF-000001,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|26|CNYRUBF-000001,LONG,2024-04-17 19:00:00+03:00,2024-04-18 17:00:00+03:00,2024-04-17,2024-04-18,2024,4,2024,4,2,3,19,17,-0.932443249661,-0.849361900091,0.0830813495694,0.62311012177,1.57854564182,ATR_TRAILING_STOP,12.985,12.9645534881,12.9609272086,13,1320,22,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,28,CNYRUBF-000002,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|28|CNYRUBF-000002,SHORT,2024-04-26 13:00:00+03:00,2024-04-27 09:00:00+03:00,2024-04-26,2024-04-27,2024,4,2024,4,4,5,13,9,1.3642472277,1.40322571992,0.03897849222,0.05846773833,2.96236540872,ATR_TRAILING_STOP,12.655,12.583,12.706310348,12,1200,20,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,36,CNYRUBF-000003,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|36|CNYRUBF-000003,SHORT,2024-05-22 18:00:00+03:00,2024-05-27 16:00:00+03:00,2024-05-22,2024-05-27,2024,5,2024,5,2,0,18,16,4.66148629012,4.7122292124,0.0507429222802,0.989486984464,6.57120843529,ATR_TRAILING_STOP,12.411,12.2252704834,12.4504143638,45,7080,118,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,46,CNYRUBF-000001,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|46|CNYRUBF-000001,SHORT,2024-07-25 21:00:00+03:00,2024-07-26 14:00:00+03:00,2024-07-25,2024-07-26,2024,7,2024,7,3,4,21,14,-0.484118449277,-0.44127949964,0.0428389496375,0.385550546737,1.24232953949,ATR_TRAILING_STOP,11.736,11.756601789,11.7826864855,8,1020,17,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,47,CNYRUBF-000002,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|47|CNYRUBF-000002,SHORT,2024-08-01 12:00:00+03:00,2024-08-02 11:00:00+03:00,2024-08-01,2024-08-02,2024,8,2024,8,3,4,12,11,-0.27989018947,-0.246291287153,0.0335989023168,0.335989023168,0.789574204444,ATR_TRAILING_STOP,11.777,11.7916606746,11.8365257542,14,1380,23,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,walk_forward,T2,H1,CNYRUBF,V3_T2_WF,TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv,48,CNYRUBF-000003,v3|walk_forward|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/walk_forward/T2/H1/trades.csv|48|CNYRUBF-000003,SHORT,2024-08-02 18:00:00+03:00,2024-08-02 23:00:00+03:00,2024-08-02,2024-08-02,2024,8,2024,8,4,4,18,23,-0.143127303197,-0.107345477398,0.0357818257994,0.196800041897,0.339927345094,EMA50_TREND_LOSS,11.803,11.809,11.858894297,5,300,5,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
