generation,futures_type,lifecycle_stage,strategy,timeframe,expected_trade_count,reconstructed_trade_count,trade_count_match,Stage1_net_R,reconstructed_net_R,net_R_delta,Stage1_expectancy_R,reconstructed_expectancy_R,expectancy_delta,Stage1_PF,reconstructed_PF,PF_delta,Stage1_win_rate,reconstructed_win_rate,win_rate_delta,status
v1,perpetual,baseline,T2,H1,79,79,true,59.5923474218,59.5923474217733,-2.66524580183614e-11,0.754333511668,0.754333511668017,1.70974345792274e-14,2.79452271777,2.79452271776578,-4.21973567199529e-12,0.443037974684,0.443037974683544,-4.55746551608627e-13,PASS
v1,perpetual,baseline,T2,M30,178,178,true,39.6176879764,39.6176879764491,4.91340301778109e-11,0.222571280767,0.222571280766568,-4.3184900100357e-13,1.48755149674,1.48755149674497,4.96713781217295e-12,0.325842696629,0.325842696629214,2.13495887635418e-13,PASS
v1,perpetual,baseline,T3,H1,114,114,true,55.5455938679,55.5455938678506,-4.93898255626846e-11,0.487242051472,0.487242051472374,3.7381209239129e-13,2.13329433172,2.133294331716,-3.99857924548996e-12,0.438596491228,0.43859649122807,7.01660951563099e-14,PASS
v1,perpetual,baseline,T3,M30,235,235,true,100.091400819,100.091400818886,-1.14184217636648e-10,0.425920854548,0.42592085454845,4.50306458787963e-13,2.00268933089,2.00268933088816,-1.84474657771716e-12,0.43829787234,0.438297872340426,4.25548485338823e-13,PASS
v1,perpetual,true_oos,T2,H1,69,69,true,42.8576862508,42.857686250845,4.49986714556871e-11,0.621125887693,0.621125887693406,4.05786515500495e-13,2.40553629688,2.40553629687693,-3.06954461848363e-12,0.434782608696,0.434782608695652,-3.47832873615062e-13,PASS
v1,perpetual,true_oos,T2,M30,171,171,true,28.1138232995,28.1138232995023,2.29860575018392e-12,0.164408323389,0.164408323388902,-9.76441150157825e-14,1.32993115826,1.32993115826284,2.84106072001578e-12,0.309941520468,0.309941520467836,-1.63757896132211e-13,PASS
v1,perpetual,true_oos,T3,H1,97,97,true,57.2306821034,57.2306821034161,1.61008983923239e-11,0.590007031994,0.59000703199398,-1.95399252334028e-14,2.67722820365,2.67722820365194,1.93844940099552e-12,0.443298969072,0.443298969072165,1.64923630308067e-13,PASS
v1,perpetual,true_oos,T3,M30,162,162,true,72.703027073,72.7030270730298,2.9757529773633e-11,0.448784117735,0.448784117734752,-2.48412401759879e-13,2.09841295133,2.098412951334,3.99591471023086e-12,0.444444444444,0.444444444444444,4.4442227675745e-13,PASS
v1,perpetual,walk_forward,T2,H1,33,33,true,26.9545130612,26.954513061204,3.98969746129296e-12,0.816803426097,0.816803426097091,9.05941988094128e-14,3.24792360974,3.2479236097358,-4.19841938992249e-12,0.484848484848,0.484848484848485,4.84834394853806e-13,PASS
v1,perpetual,walk_forward,T2,M30,67,67,true,7.69327542955,7.69327542954863,-1.36868294475789e-12,0.114825006411,0.114825006411174,1.73597247687951e-13,1.24573377987,1.24573377987136,1.35624844688209e-12,0.313432835821,0.313432835820896,-1.04471986617227e-13,PASS
v1,perpetual,walk_forward,T3,H1,34,34,true,32.9117048791,32.9117048791006,5.96855898038484e-13,0.967991319974,0.967991319973547,-4.53082016349526e-13,3.38032767202,3.38032767202098,9.81437153768638e-13,0.5,0.5,0,PASS
v1,perpetual,walk_forward,T3,M30,60,60,true,21.5261853353,21.5261853352574,-4.25686152993876e-11,0.358769755588,0.358769755587624,-3.76143560743003e-13,1.86427903047,1.86427903046997,-3.48610029732299e-14,0.416666666667,0.416666666666667,-3.33288951992472e-13,PASS
v2,quarterly,baseline,T2,H1,707,707,true,194.368185188,194.36818518782,-1.8007995095104e-10,0.274919639587,0.274919639586733,-2.67397215480969e-13,1.61480664821,1.61480664821287,2.86637380497723e-12,0.370579915134,0.370579915134371,3.70536934468646e-13,PASS
v2,quarterly,baseline,T2,M30,1438,1438,true,179.500078995,179.500078995144,1.44325440487592e-10,0.124826202361,0.124826202361018,1.83048021185073e-14,1.26342603406,1.26342603406161,1.61026747491633e-12,0.349791376912,0.349791376912378,3.78308495641022e-13,PASS
v2,quarterly,baseline,T3,H1,741,741,true,151.550692518,151.550692518305,3.04822833641083e-10,0.204521852251,0.204521852251424,4.23522328318882e-13,1.47227192074,1.47227192074294,2.93831625697294e-12,0.40620782726,0.406207827260459,4.58855176077577e-13,PASS
v2,quarterly,baseline,T3,M30,1563,1563,true,257.573978294,257.573978294096,9.56674739427399e-11,0.164794611832,0.164794611832435,4.34874358745674e-13,1.36949736407,1.36949736406822,-1.78368431136278e-12,0.401151631478,0.401151631477927,-7.29416527178728e-14,PASS
v2,quarterly,true_oos,T2,H1,297,297,true,38.732434746,38.7324347460096,9.59943236011895e-12,0.130412238202,0.130412238202053,5.25135490647699e-14,1.26998883491,1.26998883491067,6.70574706873595e-13,0.367003367003,0.367003367003367,3.66984220789845e-13,PASS
v2,quarterly,true_oos,T2,M30,437,437,true,140.011328726,140.01132872641,4.09642098020413e-10,0.320392056582,0.320392056582173,1.73083769539062e-13,1.63039345829,1.63039345829348,3.47921691457032e-12,0.33409610984,0.334096109839817,-1.83075776760688e-13,PASS
v2,quarterly,true_oos,T3,H1,327,327,true,64.3352683952,64.3352683951956,-4.43378667114303e-12,0.196743940046,0.19674394004647,4.69652094992057e-13,1.40704236492,1.40704236492239,2.39053221662289e-12,0.373088685015,0.373088685015291,2.90545365544403e-13,PASS
v2,quarterly,true_oos,T3,M30,698,698,true,155.750286569,155.750286568777,-2.23081997319241e-10,0.223137946374,0.223137946373606,-3.94101418166315e-13,1.45560747392,1.45560747392065,6.53033183084517e-13,0.392550143266,0.392550143266476,4.75619543749417e-13,PASS
v2,quarterly,walk_forward,T2,H1,117,117,true,33.525522037,33.5255220369588,-4.12043732467282e-11,0.286542923393,0.28654292339281,-1.89792626059671e-13,1.67624286881,1.67624286881242,2.42161846131239e-12,0.376068376068,0.376068376068376,3.76088049591772e-13,PASS
v2,quarterly,walk_forward,T2,M30,210,210,true,14.0841726476,14.0841726475909,-9.12159237032029e-12,0.0670674887981,0.0670674887980518,-4.81975570565396e-14,1.13601833652,1.13601833651767,-2.3268054150094e-12,0.4,0.4,0,PASS
v2,quarterly,walk_forward,T3,H1,95,95,true,29.0909635943,29.0909635943158,1.57989177296258e-11,0.306220669414,0.306220669413851,-1.49491530265777e-13,1.60681155027,1.60681155026869,-1.30873090142813e-12,0.4,0.4,0,PASS
v2,quarterly,walk_forward,T3,M30,324,324,true,29.5074559539,29.5074559538598,-4.01989552756277e-11,0.0910723949193,0.0910723949193204,2.03725925018716e-14,1.18734689622,1.18734689622014,1.3855583347322e-13,0.37962962963,0.37962962962963,-3.70370401014952e-13,PASS
v3,perpetual,baseline,T2,H1,176,176,true,80.4868887521,80.4868887521349,3.49018591805361e-11,0.45731186791,0.457311867909857,-1.42608147513101e-13,2.13751848394,2.13751848394068,6.82121026329696e-13,0.397727272727,0.397727272727273,2.7272628599917e-13,PASS
v3,perpetual,baseline,T2,M30,366,366,true,96.9116378452,96.9116378451959,-4.07851530326298e-12,0.264785895752,0.264785895751901,-9.85878045867139e-14,1.60567243173,1.60567243172798,-2.01527683429958e-12,0.368852459016,0.368852459016393,3.93463039927155e-13,PASS
v3,perpetual,baseline,T3,H1,184,184,true,82.173218162,82.1732181620042,4.20641299569979e-12,0.446593576967,0.446593576967414,4.14113188185183e-13,2.18914684143,2.18914684143125,1.25499610703628e-12,0.461956521739,0.46195652173913,1.30451205393456e-13,PASS
v3,perpetual,baseline,T3,M30,398,398,true,130.435244894,130.435244893839,-1.61378466145834e-10,0.327726745964,0.327726745964419,4.18665102586147e-13,1.76921819082,1.76921819082489,4.88586948677039e-12,0.437185929648,0.437185929648241,2.41195952099815e-13,PASS
v3,perpetual,true_oos,T2,H1,172,172,true,65.5357324264,65.5357324263975,-2.50111042987555e-12,0.381021700153,0.381021700153474,4.73843186910017e-13,1.75760449522,1.75760449522413,4.13269418686468e-12,0.366279069767,0.366279069767442,4.41868763800812e-13,PASS
v3,perpetual,true_oos,T2,M30,361,361,true,33.1829893298,33.1829893297502,-4.98019403494254e-11,0.0919196380325,0.091919638032549,4.90302243250085e-14,1.17764719099,1.17764719099284,2.8395064077813e-12,0.321329639889,0.321329639889197,1.96676008812346e-13,PASS
v3,perpetual,true_oos,T3,H1,199,199,true,84.4310545203,84.4310545202659,-3.40918404617696e-11,0.424276655881,0.424276655880733,-2.66842103968656e-13,2.24544369911,2.24544369911344,3.44257955475769e-12,0.43216080402,0.4321608040201,1.00475183728577e-13,PASS
v3,perpetual,true_oos,T3,M30,369,369,true,156.472159178,156.472159178471,4.70691929876921e-10,0.424043791812,0.424043791811574,-4.2632564145606e-13,1.97656824882,1.97656824881925,-7.4540373873333e-13,0.441734417344,0.441734417344173,1.73472347597681e-13,PASS
v3,perpetual,walk_forward,T2,H1,85,85,true,48.306567917,48.3065679169586,-4.1403325212741e-11,0.568312563729,0.568312563728925,-7.52731210695856e-14,2.41850664449,2.41850664448605,-3.95461441371481e-12,0.447058823529,0.447058823529412,4.11781719833471e-13,PASS
v3,perpetual,walk_forward,T2,M30,193,193,true,61.3976206196,61.397620619593,-7.02016222930979e-12,0.31812238663,0.318122386630015,1.54321000422897e-14,1.70741299686,1.70741299685714,-2.86015655603933e-12,0.383419689119,0.383419689119171,1.70974345792274e-13,PASS
