generation,lifecycle_stage,strategy,timeframe,source_schema_id,trade_count,MAE_count,MAE_coverage_share,MFE_count,MFE_coverage_share,exit_reason_count,exit_reason_coverage_share,entry_price_count,exit_price_count,stop_field_count,holding_field_count,gross_R_count,cost_R_count,coverage_class_MAE,coverage_class_MFE,coverage_class_exit_reason,coverage_class_stop,coverage_class_holding
v1,baseline,T2,H1,V1_T2_MTF_BASELINE,79,79,1,79,1,79,1,79,79,79,79,79,79,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,baseline,T2,M30,V1_T2_MTF_BASELINE,178,178,1,178,1,178,1,178,178,178,178,178,178,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,baseline,T3,H1,V1_T3_MTF_BASELINE_C1_DERIVED,114,114,1,114,1,114,1,114,114,114,114,114,114,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,baseline,T3,M30,V1_T3_MTF_BASELINE_C1_DERIVED,235,235,1,235,1,235,1,235,235,235,235,235,235,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,true_oos,T2,H1,V1_H1_TRUE_OOS,69,69,1,69,1,69,1,69,69,0,69,0,0,AVAILABLE,AVAILABLE,AVAILABLE,UNAVAILABLE,AVAILABLE
v1,true_oos,T2,M30,V1_T2_M30_TRUE_OOS,171,171,1,171,1,171,1,171,171,171,171,171,171,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,true_oos,T3,H1,V1_H1_TRUE_OOS,97,97,1,97,1,97,1,97,97,0,97,0,0,AVAILABLE,AVAILABLE,AVAILABLE,UNAVAILABLE,AVAILABLE
v1,true_oos,T3,M30,V1_T3_M30_TRUE_OOS,162,162,1,162,1,162,1,162,162,162,162,162,162,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,walk_forward,T2,H1,V1_T2_H1_WF_LEGACY,33,33,1,33,1,33,1,33,33,33,33,33,33,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,walk_forward,T2,M30,V1_T2_M30_WF,67,67,1,67,1,67,1,67,67,67,67,67,67,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,walk_forward,T3,H1,V1_T3_H1_WF_LEGACY_C1_DERIVED,34,34,1,34,1,34,1,34,34,34,34,34,34,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v1,walk_forward,T3,M30,V1_T3_M30_WF,60,60,1,60,1,60,1,60,60,60,60,60,60,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v2,baseline,T2,H1,V2_T2_BASELINE,707,707,1,707,1,707,1,707,707,707,707,707,707,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v2,baseline,T2,M30,V2_T2_BASELINE,1438,1438,1,1438,1,1438,1,1438,1438,1438,1438,1438,1438,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v2,baseline,T3,H1,V2_T3_BASELINE,741,741,1,741,1,741,1,741,741,741,741,741,741,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
v2,baseline,T3,M30,V2_T3_BASELINE,1563,1563,1,1563,1,1563,1,1563,1563,1563,1563,1563,1563,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
