source_schema_id,generation,source_family,lifecycle_stage,canonical_c1_field,instrument_field,direction_field,entry_time_field,exit_time_field,trade_id_field,MAE_field,MFE_field,exit_reason_field,entry_price_field,exit_price_field,stop_field,holding_field,gross_R_field,cost_R_field,MAE_sign_convention,timezone_semantics,normalization_supported
V1_H1_TRUE_OOS,v1,true_oos_validation,true_oos,R_result,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,NA,holding_time,NA,NA,UNKNOWN,source ISO-8601 offset preserved,true
V1_T2_H1_WF_LEGACY,v1,walk_forward_validation,walk_forward,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V1_T2_M30_TRUE_OOS,v1,true_oos_validation,true_oos,net_R,instrument,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,holding_time,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V1_T2_M30_WF,v1,walk_forward,walk_forward,net_R,instrument,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V1_T2_MTF_BASELINE,v1,multitimeframe_research,baseline,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V1_T3_H1_WF_LEGACY_C1_DERIVED,v1,walk_forward_validation,walk_forward,profit_R-2*0.001/initial_risk,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V1_T3_M30_TRUE_OOS,v1,true_oos_validation,true_oos,net_R,instrument,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,holding_time,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V1_T3_M30_WF,v1,walk_forward,walk_forward,net_R,instrument,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V1_T3_MTF_BASELINE_C1_DERIVED,v1,multitimeframe_research,baseline,profit_R-2*0.001/initial_risk,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V2_T2_BASELINE,v2,baseline_v2,baseline,net_R,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V2_T2_WF,v2,walk_forward_v2,walk_forward,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V2_T3_BASELINE,v2,baseline_v2,baseline,net_R,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V2_T3_WF,v2,walk_forward_v2,walk_forward,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V2_TRUE_OOS,v2,true_oos_v2,true_oos,R_result,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,NA,holding_time,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V3_T2_BASELINE,v3,perpetual_v3/baseline,baseline,net_R,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V3_T2_WF,v3,perpetual_v3/walk_forward,walk_forward,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R_C1,UNKNOWN,source ISO-8601 offset preserved,true
V3_T3_BASELINE,v3,perpetual_v3/baseline,baseline,net_R,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V3_T3_WF,v3,perpetual_v3/walk_forward,walk_forward,net_R_C1,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,initial_stop,bars_held,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
V3_TRUE_OOS,v3,perpetual_v3/true_oos,true_oos,R_result,symbol,direction,entry_time,exit_time,trade_id,MAE_R,MFE_R,exit_reason,entry_price,exit_price,NA,holding_time,gross_R,cost_R,UNKNOWN,source ISO-8601 offset preserved,true
