generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_scope,source_family,source_path,source_sha256,source_schema_id,canonical_c1_field,trade_count,first_entry_time,last_exit_time,column_count,has_trade_id,has_direction,has_entry_time,has_exit_time,has_MAE,has_MFE,has_exit_reason,has_entry_price,has_exit_price,has_stop_field,has_holding_field,has_cost_field,has_gross_R_field
v1,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T2/M30/CNYRUBF_trades.csv,f45d7eaaf0f16bd364583cf16be15f17cd1777ff9b906719114865d84256d6f6,V1_T2_MTF_BASELINE,net_R_C1,79,2023-01-23T10:00:00+03:00,2024-12-28T14:00:00+03:00,24,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T2,M30,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T2/M30/USDRUBF_trades.csv,50f77989729406d02af80fb4d0c0ecb0adbc42f4b83dcbaab8f7babde3843de3,V1_T2_MTF_BASELINE,net_R_C1,99,2023-01-20T14:00:00+03:00,2024-12-25T10:30:00+03:00,24,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,walk_forward,T2,M30,USDRUBF|CNYRUBF,walk_forward,TradingSystemLab/results/walk_forward/M30/T2/stitched_forward_trades.csv,b4b800c6825cbe77a546fb84bf51b1b493b4dd44ba20e6ec5eeaeb42d1b5a700,V1_T2_M30_WF,net_R,67,2024-02-02T19:00:00+03:00,2024-10-29T10:30:00+03:00,28,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,true_oos,T2,M30,USDRUBF|CNYRUBF,true_oos_validation,TradingSystemLab/results/true_oos_validation/M30/T2/trades.csv,93e92be47ec42a0b06a262bf2be08ace1a82a2b5c9e534a395dce00a501d5adb,V1_T2_M30_TRUE_OOS,net_R,171,2025-01-15T13:00:00+03:00,2026-08-27T18:30:00+03:00,28,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T2/H1/CNYRUBF_trades.csv,a2cc40af3eda9769d73e65f9c266fcf21d3a30dbb2ad2946de6ffd0c890d02d0,V1_T2_MTF_BASELINE,net_R_C1,38,2023-01-23T16:00:00+03:00,2024-11-29T17:00:00+03:00,24,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T2,H1,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T2/H1/USDRUBF_trades.csv,70fb7077d7f91465a8bd4a2744b67f03eaf3e3392b3d4f47dac298ba9863ac0a,V1_T2_MTF_BASELINE,net_R_C1,41,2023-02-01T10:00:00+03:00,2024-11-26T13:00:00+03:00,24,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,walk_forward,T2,H1,USDRUBF|CNYRUBF,walk_forward_validation,TradingSystemLab/results/walk_forward_validation/T2/trades.csv,eb62818c6d2f56c278ddcb8e4047ea052a690d38f1432146f5284046a7e8e6c3,V1_T2_H1_WF_LEGACY,net_R_C1,33,2024-02-03T00:00:00+03:00,2024-11-29T17:00:00+03:00,25,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,true_oos,T2,H1,USDRUBF|CNYRUBF,true_oos_validation,TradingSystemLab/results/true_oos_validation/T2/trades.csv,efc026b7a3b26f9457f670a1ea3da44bf71bd242a8d46b954a9e93fb18e2a3cd,V1_H1_TRUE_OOS,R_result,69,2025-01-24T19:00:00+03:00,2026-08-30T19:00:00+03:00,12,true,true,true,true,true,true,true,true,true,false,true,false,false
v1,perpetual,baseline,T3,M30,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T3/M30/CNYRUBF_trades.csv,eb56cbfa45121eba39c75b9d15595db488c990f14a2233dbfe0c41732725897d,V1_T3_MTF_BASELINE_C1_DERIVED,profit_R-2*0.001/initial_risk,116,2023-01-30T14:30:00+03:00,2024-12-24T16:30:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T3,M30,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T3/M30/USDRUBF_trades.csv,d5ed693654e8ca69b762678e9b2620de76b97f462856f3f3aae6766bbfb10265,V1_T3_MTF_BASELINE_C1_DERIVED,profit_R-2*0.001/initial_risk,119,2023-01-30T15:00:00+03:00,2024-12-16T17:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
