lifecycle_stage,strategy,timeframe,normalized_trade_count,Stage3A1_trade_count,trade_count_match,normalized_net_R,Stage3A1_net_R,net_R_delta,normalized_expectancy_R,Stage3A1_expectancy_R,expectancy_delta,normalized_PF,Stage3A1_PF,PF_delta,normalized_win_rate,Stage3A1_win_rate,win_rate_delta,status
baseline,T2,H1,176,176,true,80.4868887521349,80.4868887521,3.49018591805361e-11,0.457311867909857,0.45731186791,-1.42608147513101e-13,2.13751848394068,2.13751848394,6.82121026329696e-13,0.397727272727273,0.397727272727,2.7272628599917e-13,PASS
baseline,T2,M30,366,366,true,96.9116378451959,96.9116378452,-4.07851530326298e-12,0.264785895751901,0.264785895752,-9.85878045867139e-14,1.60567243172798,1.60567243173,-2.01527683429958e-12,0.368852459016393,0.368852459016,3.93463039927155e-13,PASS
baseline,T3,H1,184,184,true,82.1732181620042,82.173218162,4.20641299569979e-12,0.446593576967414,0.446593576967,4.14113188185183e-13,2.18914684143125,2.18914684143,1.25499610703628e-12,0.46195652173913,0.461956521739,1.30451205393456e-13,PASS
baseline,T3,M30,398,398,true,130.435244893839,130.435244894,-1.61378466145834e-10,0.327726745964419,0.327726745964,4.18665102586147e-13,1.76921819082489,1.76921819082,4.88586948677039e-12,0.437185929648241,0.437185929648,2.41195952099815e-13,PASS
walk_forward,T2,H1,85,85,true,48.3065679169586,48.306567917,-4.1403325212741e-11,0.568312563728925,0.568312563729,-7.52731210695856e-14,2.41850664448605,2.41850664449,-3.95461441371481e-12,0.447058823529412,0.447058823529,4.11781719833471e-13,PASS
walk_forward,T2,M30,193,193,true,61.397620619593,61.3976206196,-7.02016222930979e-12,0.318122386630015,0.31812238663,1.54321000422897e-14,1.70741299685714,1.70741299686,-2.86015655603933e-12,0.383419689119171,0.383419689119,1.70974345792274e-13,PASS
walk_forward,T3,H1,66,66,true,38.2931490926962,38.2931490927,-3.80140363631654e-12,0.580199228677215,0.580199228677,2.15050199869893e-13,3.29825125815809,3.29825125816,-1.91446858366362e-12,0.545454545454545,0.545454545455,-4.54636328584002e-13,PASS
walk_forward,T3,M30,171,171,true,46.6658745082077,46.6658745082,7.70228325563949e-12,0.272899850925191,0.272899850925,1.91235915991683e-13,1.60064574311524,1.60064574312,-4.75663952670402e-12,0.39766081871345,0.397660818713,4.50250947636732e-13,PASS
true_oos,T2,H1,172,172,true,65.5357324263975,65.5357324264,-2.50111042987555e-12,0.381021700153474,0.381021700153,4.73843186910017e-13,1.75760449522413,1.75760449522,4.13269418686468e-12,0.366279069767442,0.366279069767,4.41868763800812e-13,PASS
true_oos,T2,M30,361,361,true,33.1829893297502,33.1829893298,-4.98019403494254e-11,0.091919638032549,0.0919196380325,4.90302243250085e-14,1.17764719099284,1.17764719099,2.8395064077813e-12,0.321329639889197,0.321329639889,1.96676008812346e-13,PASS
true_oos,T3,H1,199,199,true,84.4310545202659,84.4310545203,-3.40918404617696e-11,0.424276655880733,0.424276655881,-2.66842103968656e-13,2.24544369911344,2.24544369911,3.44257955475769e-12,0.4321608040201,0.43216080402,1.00475183728577e-13,PASS
true_oos,T3,M30,369,369,true,156.472159178471,156.472159178,4.70691929876921e-10,0.424043791811574,0.424043791812,-4.2632564145606e-13,1.97656824881925,1.97656824882,-7.4540373873333e-13,0.441734417344173,0.441734417344,1.73472347597681e-13,PASS
