generation,lifecycle_stage,strategy,timeframe,winners,avg_MFE_R,median_MFE_R,avg_final_R,median_final_R,avg_giveback_R,median_giveback_R,p75_giveback_R,p90_giveback_R,giveback_share_of_MFE,eligible_retention_trades,mean_retention_ratio,median_retention_ratio
v1,baseline,T2,H1,35,4.89171663477229,3.3809936192,2.65143590272886,1.77170063218,2.24028073204342,1.68017732372,2.520648673405,3.264705614564,0.457974347107232,35,0.470238082123297,0.527559333252826
v1,baseline,T2,M30,58,3.84735714382872,3.093595398005,2.08407166466262,1.398705200335,1.76328547916611,1.62104242713315,2.050798806095,2.588452751808,0.458310838647894,58,0.433859802931492,0.439407083665947
v1,baseline,T3,H1,50,3.992100718752,2.6236453776,2.09116197326537,1.41349381954144,1.90093874548663,1.56682446056022,1.88743433176692,2.31879678574303,0.476175046525603,50,0.44454099225327,0.450132641325978
v1,baseline,T3,M30,103,3.47791900333058,2.73950411642,1.94091596807199,1.34582804493678,1.53700303525859,1.48378764479333,1.80681849858931,1.95701212328993,0.441931808586314,103,0.45398777230693,0.49171508281662
v1,true_oos,T2,H1,30,4.1420336105033,2.804362556785,2.44499128448093,1.134254447865,1.69704232602237,1.658481803213,2.2409591728925,2.627198409562,0.409712350406582,30,0.441998071745163,0.44429779931302
v1,true_oos,T2,M30,53,3.83897578190225,2.49299147966,2.13820760857585,0.735943588992,1.7007681733264,1.57248017479,2.05158677836,2.571009030098,0.443026544044426,53,0.39550187739049,0.369126763032086
v1,true_oos,T3,H1,43,3.78128395231023,3.29180684237,2.12448515739393,1.55915351036,1.65679879491631,1.554355316388,1.794218239666,2.337215052506,0.438157730498938,43,0.47526469045249,0.489462854321001
v1,true_oos,T3,M30,72,3.51186966133139,2.4607226,1.92905810942392,1.086464382065,1.58281155190747,1.427289317521,1.8365559090766,2.235352189178,0.450703387240005,72,0.41379366706736,0.458030701111799
v1,walk_forward,T2,H1,16,4.32980014509687,2.892334273825,2.43408514254144,1.506222465265,1.89571500255544,1.55274698068186,2.41846037470973,2.77376484476,0.43782967782062,16,0.437797805411433,0.472390815986645
v1,walk_forward,T2,M30,21,3.55483119779,3.31965198883,1.85717302247448,1.2407283956,1.69765817531552,1.526132351727,2.12743848157,2.60529298596,0.477563653759689,21,0.446252412497565,0.404624277457021
v1,walk_forward,T3,H1,17,4.53675752706059,2.58368993968,2.74930874739993,1.58354143027686,1.78744877966066,1.59806135929703,2.12674072075101,2.37021594584679,0.393992574872911,17,0.4882521231014,0.539236935704014
