analysis,hypothesis_id,scope,label,instrument,session,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
session_filter,M5_SESSION_KEEP_B,T2,Keep only Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,536,1.3128231923,0.17207760738,92.2335975556,-23.4212239618,3.93803490825,0.30223880597
session_filter,M5_SESSION_REMOVE_C,T2,Remove Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,581,1.31558127076,0.175330436505,101.866983609,-31.8032238094,3.20303954781,0.302925989673
session_filter,M5_SESSION_KEEP_B_A,T2,Keep Session_B + Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,581,1.31558127076,0.175330436505,101.866983609,-31.8032238094,3.20303954781,0.302925989673
holding_time,M5_HOLD_000_015,T2,0-15 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,108,0.0209922274812,-0.90090069256,-97.2972747965,-97.2972747965,-1,0.0277777777778
holding_time,M5_HOLD_015_030,T2,15-30 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,136,0.00614728395526,-0.950028388061,-129.203860776,-129.203860776,-1,0.0147058823529
holding_time,M5_HOLD_030_060,T2,30-60 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,198,0.183208869666,-0.578503434607,-114.543680052,-114.972780633,-0.996267807231,0.136363636364
holding_time,M5_HOLD_060_120,T2,60-120 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,172,1.70019974055,0.260783747489,44.854804568,-15.6000924031,2.87529095398,0.377906976744
holding_time,M5_HOLD_120_PLUS,T2,120+ min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,216,8.6295278776,1.60578525704,346.84961552,-9.58276118652,36.1951642923,0.712962962963
instrument_session,M5_USDRUBF_Session_A,T2,USDRUBF / Session_A,USDRUBF,Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,24,0.761504586262,-0.159098520547,-3.81836449313,-12.8075502474,-0.298133867866,0.25
instrument_session,M5_USDRUBF_Session_B,T2,USDRUBF / Session_B,USDRUBF,Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,303,1.57017176792,0.284215540832,86.1173088722,-15.9580057399,5.39649566968,0.320132013201
instrument_session,M5_USDRUBF_Session_C,T2,USDRUBF / Session_C,USDRUBF,Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,129,0.950302297596,-0.0270953930595,-3.49530570468,-21.026670241,-0.166232012231,0.364341085271
instrument_session,M5_CNYRUBF_Session_A,T2,CNYRUBF / Session_A,CNYRUBF,Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,21,2.12672574074,0.640559549851,13.4517505469,-8.82143970868,1.52489287362,0.380952380952
instrument_session,M5_CNYRUBF_Session_B,T2,CNYRUBF / Session_B,CNYRUBF,Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,233,1.04253179311,0.0262501660234,6.11628868346,-18.4152461172,0.33213179148,0.278969957082
instrument_session,M5_CNYRUBF_Session_C,T2,CNYRUBF / Session_C,CNYRUBF,Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,120,0.445346045018,-0.397600612012,-47.7120734415,-53.1992002361,-0.896856968333,0.233333333333
