outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
all,ALL,ALL,1961,0.344212136665,1.1335270944,0.0704690743406,138.189854782,0.0704690743406,-0.529261132705,-56.4226125007,109.752677206
all,ema_position,above_all,1102,0.358439201452,1.1152769676,0.0594815053272,65.5486188706,0.0594815053272,-0.494640007458,-43.3715952865,119.74137931
all,ema_position,below_all,837,0.323775388292,1.1623881233,0.0885671679214,74.1307195502,0.0885671679214,-0.576280119283,-59.5732272967,97.2222222222
all,ema_position,mixed,22,0.409090909091,0.847982437313,-0.0677038017633,-1.48948363879,-0.0677038017633,-0.411688508663,-5.18568308888,86.1363636364
all,volatility,low_volatility,439,0.334851936219,1.12176229533,0.0717980658877,31.5193509247,0.0717980658877,-0.596649845982,-20.9670005807,141.936218679
all,volatility,normal_volatility,661,0.338880484115,1.1102230893,0.0591077708272,39.0702365168,0.0591077708272,-0.544372914244,-43.8116445178,91.7927382753
all,volatility,high_volatility,861,0.353077816492,1.16034402464,0.0785136670622,67.6002673405,0.0785136670622,-0.4948655174,-31.0872973103,107.131242741
all,candle_quality,strong_body,1350,0.348888888889,1.13925943064,0.0722517868219,97.5399122095,0.0722517868219,-0.52904485659,-48.5594427797,115.059259259
all,candle_quality,weak_body,45,0.266666666667,1.09319910094,0.0674481147158,3.03516516221,0.0674481147158,-0.619697160888,-11.4556494429,130.777777778
all,candle_quality,long_wick,281,0.284697508897,1.02823665961,0.0166117865878,4.66791203118,0.0166117865878,-0.656769781439,-21.4916760645,100.854092527
all,candle_quality,neutral,285,0.39298245614,1.24115541263,0.115603036418,32.9468653791,0.115603036418,-0.404067683971,-22.0425826461,90.0701754386
all,instrument,USDRUBF,1060,0.370754716981,1.34707922033,0.166758134208,176.76362226,0.166758134208,-0.46047689456,-26.1997927363,96.9858490566
all,instrument,CNYRUBF,901,0.312985571587,0.926614356446,-0.0428121725618,-38.5737674782,-0.0428121725618,-0.602388877166,-52.9627934905,124.772475028
all,session,Session_A,75,0.28,0.96551275914,-0.021659441365,-1.62445810237,-0.021659441365,-0.776305010881,-19.0273690779,45.7333333333
all,session,Session_B,1354,0.350812407681,1.29082611948,0.148609428043,201.217165571,0.148609428043,-0.516186759584,-24.3146215479,78.2274741507
all,session,Session_C,532,0.336466165414,0.792512684951,-0.115418896027,-61.4028526862,-0.115418896027,-0.539639893878,-73.9946499942,199.013157895
all,instrument_session,USDRUBF|Session_A,38,0.263157894737,0.536097990396,-0.309148633435,-11.7476480705,-0.309148633435,-0.992736880303,-12.8075502474,37.7631578947
all,instrument_session,USDRUBF|Session_B,738,0.373983739837,1.55216925931,0.258209898061,190.558904769,0.258209898061,-0.442394823298,-17.6691854422,79.7967479675
all,instrument_session,USDRUBF|Session_C,284,0.37676056338,0.985253522973,-0.00720998041761,-2.0476344386,-0.00720998041761,-0.398527002766,-21.026670241,149.577464789
