outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
all,ALL,ALL,830,0.302409638554,1.10572933392,0.061035668028,50.6596044632,0.061035668028,-0.592574349261,-56.4226125007,121.120481928
all,ema_position,above_all,468,0.326923076923,1.16774094322,0.0920446994495,43.0769193424,0.0920446994495,-0.561307736269,-40.6634260435,146.816239316
all,ema_position,below_all,359,0.270194986072,1.04254528927,0.026129422985,9.38046285163,0.026129422985,-0.692586614415,-59.5732272967,88.4679665738
all,ema_position,mixed,3,0.333333333333,0.0314834711585,-0.599259243588,-1.79777773077,-0.599259243588,-0.555472946582,-1.85621791392,20
all,volatility,low_volatility,199,0.326633165829,1.20687507867,0.133982697138,26.6625567304,0.133982697138,-0.680014870719,-19.8191858647,174.899497487
all,volatility,normal_volatility,284,0.288732394366,0.947997727182,-0.0302443969405,-8.58940873109,-0.0302443969405,-0.581123207375,-43.8116445178,101.144366197
all,volatility,high_volatility,347,0.299711815562,1.17605911688,0.0939090964377,32.5864564639,0.0939090964377,-0.574072792699,-31.0872973103,106.628242075
all,candle_quality,strong_body,501,0.307385229541,1.07474259772,0.0418863295714,20.9850511153,0.0418863295714,-0.60008351636,-48.5594427797,133.363273453
all,candle_quality,weak_body,32,0.3125,1.35192465794,0.260692818349,8.34217018717,0.260692818349,-0.573750527479,-11.4556494429,139.84375
all,candle_quality,long_wick,166,0.259036144578,1.10378746442,0.0641662405832,10.6515959368,0.0641662405832,-0.742462555681,-17.9222858102,107.801204819
all,candle_quality,neutral,131,0.335877862595,1.14824821396,0.0815327269008,10.680787224,0.0815327269008,-0.538025884685,-14.1607179824,86.6030534351
all,instrument,USDRUBF,456,0.328947368421,1.33197387166,0.172814997093,78.8036386744,0.172814997093,-0.563274602017,-26.1997927363,103.89254386
all,instrument,CNYRUBF,374,0.270053475936,0.88358940542,-0.075251428372,-28.1440342111,-0.075251428372,-0.705968217582,-52.9627934905,142.125668449
all,session,Session_A,45,0.311111111111,1.34467706693,0.214075245639,9.63338605374,0.214075245639,-0.761327671723,-19.0273690779,49.6666666667
all,session,Session_B,536,0.30223880597,1.3128231923,0.17207760738,92.2335975556,0.17207760738,-0.581459642369,-23.4212239618,77.8638059701
all,session,Session_C,249,0.301204819277,0.672487974635,-0.205652125085,-51.2073791461,-0.205652125085,-0.610673890811,-64.6405433984,227.148594378
all,instrument_session,USDRUBF|Session_A,24,0.25,0.761504586262,-0.159098520547,-3.81836449313,-0.159098520547,-0.844429323547,-12.8075502474,42.7083333333
all,instrument_session,USDRUBF|Session_B,303,0.320132013201,1.57017176792,0.284215540832,86.1173088722,0.284215540832,-0.538025884685,-15.9580057399,78.5808580858
all,instrument_session,USDRUBF|Session_C,129,0.364341085271,0.950302297596,-0.0270953930595,-3.49530570468,-0.0270953930595,-0.55535613559,-21.026670241,174.728682171
all,instrument_session,CNYRUBF|Session_A,21,0.380952380952,2.12672574074,0.640559549851,13.4517505469,0.640559549851,-0.568204252315,-8.82143970868,57.619047619
all,instrument_session,CNYRUBF|Session_B,233,0.278969957082,1.04253179311,0.0262501660234,6.11628868346,0.0262501660234,-0.692586614415,-18.4152461172,76.9313304721
all,instrument_session,CNYRUBF|Session_C,120,0.233333333333,0.445346045018,-0.397600612012,-47.7120734415,-0.397600612012,-0.722105869394,-53.1992002361,283.5
