row_type,instrument,holding_bucket,outcome,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_minutes,median_minutes,minimum_minutes,maximum_minutes,percentile_25_minutes,percentile_75_minutes,average_MAE_R,average_MFE_R,average_final_R
HOLDING_BUCKET,USDRUBF,0-5 min,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,USDRUBF,5-15 min,DATA_UNAVAILABLE,53,0.00127961266617,-0.860599489108,-45.6117729227,-45.6117729227,-1,0.0188679245283,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.253902230241,0.110620068772,-0.860599489108
HOLDING_BUCKET,USDRUBF,15-30 min,DATA_UNAVAILABLE,78,0.0114278253547,-0.886312596317,-69.1323825127,-69.1323825127,-1,0.025641025641,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.565831778377,0.547429101658,-0.886312596317
HOLDING_BUCKET,USDRUBF,30-60 min,DATA_UNAVAILABLE,114,0.265017772702,-0.462822778955,-52.7617968009,-53.3325602006,-0.989298031118,0.157894736842,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.486571802283,1.11029421727,-0.462822778955
HOLDING_BUCKET,USDRUBF,60-120 min,DATA_UNAVAILABLE,95,1.252953783,0.0860290285952,8.17275771654,-7.35848685732,1.11065737767,0.389473684211,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.44098954533,1.58339756974,0.0860290285952
HOLDING_BUCKET,USDRUBF,120+ min,DATA_UNAVAILABLE,116,14.4681411017,2.05290373443,238.136833194,-4.91581608331,48.4429907788,0.793103448276,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.413527746512,3.70107403493,2.05290373443
DURATION,USDRUBF,DATA_UNAVAILABLE,WINNING,150,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,184.566666667,150,5,3505,90,195,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
DURATION,USDRUBF,DATA_UNAVAILABLE,LOSING,306,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,64.3464052288,35,5,3435,15,60,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,CNYRUBF,0-5 min,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,CNYRUBF,5-15 min,DATA_UNAVAILABLE,55,0.0377530405985,-0.939736397705,-51.6855018738,-51.6855018738,-1,0.0363636363636,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.196089677537,0.177651328435,-0.939736397705
HOLDING_BUCKET,CNYRUBF,15-30 min,DATA_UNAVAILABLE,58,0,-1.03571514248,-60.0714782636,-60.0714782636,-1,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.572663632788,0.335148313954,-1.03571514248
HOLDING_BUCKET,CNYRUBF,30-60 min,DATA_UNAVAILABLE,84,0.0974119391134,-0.735498610134,-61.7818832513,-61.7818832513,-1,0.107142857143,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.56088012536,0.905103497566,-0.735498610134
HOLDING_BUCKET,CNYRUBF,60-120 min,DATA_UNAVAILABLE,77,2.15531382962,0.476390218851,36.6820468515,-9.40624138595,3.89975606051,0.363636363636,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.483387246695,2.26009589673,0.476390218851
HOLDING_BUCKET,CNYRUBF,120+ min,DATA_UNAVAILABLE,100,4.91334907796,1.08712782326,108.712782326,-6.19505847467,17.5483060847,0.62,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.480473052992,2.58201983271,1.08712782326
DURATION,CNYRUBF,DATA_UNAVAILABLE,WINNING,101,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,175.198019802,135,10,1010,95,195,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
DURATION,CNYRUBF,DATA_UNAVAILABLE,LOSING,273,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,129.89010989,35,5,3660,15,75,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
