session,holding_bucket,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_MAE_R,average_MFE_R,average_final_R
Session_A,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_A,5-15 min,11,0,-0.960891770505,-10.5698094756,-10.5698094756,-1,0,0.161081590168,0.0155323859525,-0.960891770505
Session_A,15-30 min,13,0.000493479588505,-0.816626481973,-10.6161442657,-10.6161442657,-1,0.0769230769231,0.573470659259,0.865052152749,-0.816626481973
Session_A,30-60 min,12,0.388471812379,-0.344383336663,-4.13260003995,-5.07918224747,-0.813634919679,0.333333333333,0.414409904134,1.52388471365,-0.344383336663
Session_A,60-120 min,4,DATA_UNAVAILABLE,2.26552837745,9.06211350979,0,DATA_UNAVAILABLE,1,0.0148684496901,4.2039456478,2.26552837745
Session_A,120+ min,5,DATA_UNAVAILABLE,5.17796526502,25.8898263251,0,DATA_UNAVAILABLE,1,0.327580281856,7.60204904929,5.17796526502
Session_B,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_B,5-15 min,69,0.0324627628603,-0.875925649457,-60.4388698125,-60.4388698125,-1,0.0289855072464,0.271124844668,0.202843647853,-0.875925649457
Session_B,15-30 min,90,0.00923040252667,-0.946865943535,-85.2179349182,-85.2179349182,-1,0.0111111111111,0.56821599234,0.433891558093,-0.946865943535
Session_B,30-60 min,146,0.192558678354,-0.559525529103,-81.690727249,-81.690727249,-1,0.130136986301,0.526346519174,1.01977916309,-0.559525529103
Session_B,60-120 min,117,2.39786193847,0.468816626844,54.8515453408,-8.26714228994,6.6348858429,0.410256410256,0.465442143544,2.17574267193,0.468816626844
Session_B,120+ min,114,45.4768937733,2.32218933504,264.729584195,-0.920293950149,287.657638249,0.80701754386,0.433624375242,3.95345266212,2.32218933504
Session_C,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_C,5-15 min,28,0.00221809329296,-0.938878411014,-26.2885955084,-26.2885955084,-1,0.0357142857143,0.13436566762,0.052379241482,-0.938878411014
Session_C,15-30 min,33,0,-1.0112055028,-33.3697815925,-33.3697815925,-1,0,0.568327622246,0.35885314923,-1.0112055028
Session_C,30-60 min,40,0.11099099518,-0.71800881908,-28.7203527632,-29.9833428511,-0.957876942068,0.1,0.519090133534,0.885696504754,-0.71800881908
Session_C,60-120 min,51,0.232129807904,-0.373703025147,-19.0588542825,-20.2502700165,-0.941165439621,0.254901960784,0.482325886439,1.04063682288,-0.373703025147
Session_C,120+ min,97,2.42321050829,0.579692835056,56.2302050005,-9.70062265093,5.79655626488,0.587628865979,0.46335508977,2.04971878964,0.579692835056
