direction,holding_bucket,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_MAE_R,average_MFE_R,average_final_R
LONG,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
LONG,5-15 min,60,0,-1.04556171001,-62.7337026004,-62.7337026004,-1,0,0.982910577028,0.130597329961,-1.04556171001
LONG,15-30 min,101,0.0289410121199,-0.847203351823,-85.5675385341,-85.5675385341,-1,0.049504950495,0.83676810532,0.573269201855,-0.847203351823
LONG,30-60 min,122,0.39274516056,-0.390727781623,-47.668789358,-49.6199066319,-0.960678739516,0.270491803279,0.684089271796,1.16737850043,-0.390727781623
LONG,60-120 min,201,1.39006531802,0.132694465392,26.6715875437,-9.77211274104,2.72935733045,0.442786069652,0.495381255775,1.62027859124,0.132694465392
LONG,120+ min,164,11.3459849432,1.19045449517,195.234537208,-2.6659602458,73.2323512756,0.75,0.528767243682,2.42110226925,1.19045449517
SHORT,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SHORT,5-15 min,48,0.0022892678607,-0.981923406295,-47.1323235021,-47.1323235021,-1,0.0208333333333,0.951221627604,0.234665777247,-0.981923406295
SHORT,15-30 min,67,0.20037167218,-0.668311475876,-44.7768688837,-44.7768688837,-1,0.134328358209,0.821189313803,0.828267312451,-0.668311475876
SHORT,30-60 min,123,0.301078840909,-0.434126686283,-53.3975824128,-54.4748244639,-0.980224955992,0.243902439024,0.64460929156,1.14312478834,-0.434126686283
SHORT,60-120 min,127,1.56299120561,0.18651606228,23.6875399096,-6.10981538983,3.876964916,0.448818897638,0.509045874657,1.689712577,0.18651606228
SHORT,120+ min,118,11.4899612942,1.5526558555,183.213390949,-2.88970013348,63.4022156231,0.652542372881,0.47568053464,2.86774088605,1.5526558555
