scope,holding_bucket,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_MAE_R,average_MFE_R,average_final_R
T2,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,5-15 min,108,0.0209922274812,-0.90090069256,-97.2972747965,-97.2972747965,-1,0.0277777777778,0.224460652475,0.144756358415,-0.90090069256
T2,15-30 min,136,0.00614728395526,-0.950028388061,-129.203860776,-129.203860776,-1,0.0147058823529,0.568745363346,0.456897589255,-0.950028388061
T2,30-60 min,198,0.183208869666,-0.578503434607,-114.543680052,-114.972780633,-0.996267807231,0.136363636364,0.518096545406,1.02324360891,-0.578503434607
T2,60-120 min,172,1.70019974055,0.260783747489,44.854804568,-15.6000924031,2.87529095398,0.377906976744,0.459969911639,1.88633809985,0.260783747489
T2,120+ min,216,8.6295278776,1.60578525704,346.84961552,-9.58276118652,36.1951642923,0.712962962963,0.444520943956,3.18299338575,1.60578525704
T3,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,5-15 min,108,0.000983377156692,-1.01727801947,-109.866026103,-109.866026103,-1,0.00925925925926,0.968826599506,0.176849973199,-1.01727801947
T3,15-30 min,168,0.0955519105353,-0.775859567963,-130.344407418,-130.344407418,-1,0.0833333333333,0.830555134894,0.674964876915,-0.775859567963
T3,30-60 min,245,0.347533020567,-0.412515803146,-101.066371771,-103.015194446,-0.981082182242,0.257142857143,0.66426871029,1.15520214701,-0.412515803146
T3,60-120 min,328,1.45593810794,0.153533925163,50.3591274533,-13.9246509472,3.6165450498,0.44512195122,0.500672129549,1.64716309182,0.153533925163
T3,120+ min,282,11.4151896351,1.34201392963,378.447928156,-3.71001349743,102.00715669,0.709219858156,0.50655365621,2.60799360535,1.34201392963
portfolio,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
portfolio,5-15 min,216,0.0104817163141,-0.959089356014,-207.163300899,-207.163300899,-1,0.0185185185185,0.59664362599,0.160803165807,-0.959089356014
portfolio,15-30 min,304,0.0531509118684,-0.853777198007,-259.548268194,-259.548268194,-1,0.0526315789474,0.71342971078,0.577408458751,-0.853777198007
portfolio,30-60 min,443,0.269452848126,-0.486704405921,-215.610051823,-216.955905521,-0.993796648704,0.20316027088,0.598936681741,1.09622293585,-0.486704405921
portfolio,60-120 min,500,1.54560203596,0.190427864043,95.2139320214,-22.160333211,4.29659297606,0.422,0.486670566588,1.72943929458,0.190427864043
portfolio,120+ min,498,9.86697486604,1.45642077044,725.297543677,-9.58276118652,75.6877406793,0.710843373494,0.479647901498,2.85739110047,1.45642077044
