dimension,value,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R,average_price_movement,percent_profitable,percent_stopped,percent_still_open
ALL,ALL,5,1961,-0.0235223631742,0,0.314997683995,0.310586626679,-0.0012641509434,40.1325854156,3.51861295258,95.0025497195
ALL,ALL,15,1961,-0.00426398751429,-0.0352709839128,0.51182472048,0.565030314552,0.00197246302907,42.478327384,13.9724630291,83.1718510964
ALL,ALL,30,1961,0.00751721085381,-0.142266265321,0.641002494186,0.791871535962,0.00460275369709,42.3253442121,26.0071392147,69.5563488016
ALL,ALL,60,1961,0.0245389760022,-0.288381103003,0.741522645602,1.05216992994,0.0076119326874,40.1835798062,45.537990821,48.3426823049
ALL,ALL,120,1961,0.0581833330826,-0.487857874751,0.776302146242,1.32430323978,0.0143136155023,36.6649668536,69.0973992861,23.8143804182
instrument,USDRUBF,5,1060,0.000895735670543,0,0.297500424525,0.330714340153,-0.00144339622641,43.3962264151,3.8679245283,94.9056603774
instrument,USDRUBF,15,1060,0.0332408832211,0,0.496580176456,0.591920979965,0.00424528301887,45.0943396226,13.7735849057,83.7735849057
instrument,USDRUBF,30,1060,0.0531255729059,-0.115160037644,0.622744601385,0.824841666888,0.00899056603774,44.5283018868,26.320754717,69.8113207547
instrument,USDRUBF,60,1060,0.0808163224901,-0.244501204006,0.727787622606,1.08637654618,0.0139339622642,41.6037735849,46.7924528302,48.1132075472
instrument,USDRUBF,120,1060,0.140009026027,-0.405613458087,0.757593254012,1.35582002596,0.0255377358491,39.3396226415,69.1509433962,24.9056603774
instrument,CNYRUBF,5,901,-0.0522495382857,0,0.335582695135,0.286906963769,-0.00105327413984,36.2930077691,3.1076581576,95.1165371809
instrument,CNYRUBF,15,901,-0.0483873648501,-0.0632686289131,0.529759478155,0.533394237596,-0.000701442841287,39.4006659267,14.2064372919,82.4639289678
instrument,CNYRUBF,30,901,-0.0461396856781,-0.199699210278,0.662482368069,0.753083146637,-0.000559378468368,39.7336293008,25.6381798002,69.256381798
instrument,CNYRUBF,60,901,-0.0416696669246,-0.344987085457,0.757681496187,1.01192685201,0.000174250832408,38.512763596,44.0621531632,48.6126526082
instrument,CNYRUBF,120,901,-0.0380821880286,-0.527117873407,0.79831260769,1.2872246678,0.00110876803552,33.5183129856,69.0344062153,22.5305216426
direction,LONG,5,1118,-0.0258473254916,0,0.313090431073,0.290901132399,-0.000777280858676,39.8032200358,3.22003577818,95.3488372093
direction,LONG,15,1118,0.0115848531922,0,0.507157870987,0.552976112864,0.00375849731664,43.2915921288,13.4168157424,83.8103756708
direction,LONG,30,1118,0.0174176226942,-0.136432111755,0.642862234473,0.791348258214,0.00722540250447,41.4132379249,25.7602862254,69.946332737
direction,LONG,60,1118,0.0504766911235,-0.260067051913,0.740395014429,1.05800310739,0.0113747763864,40.9660107335,44.4543828265,49.4633273703
direction,LONG,120,1118,0.0617078490262,-0.427807890789,0.775693756163,1.31099564047,0.0195805008945,38.1037567084,68.4257602862,24.5080500894
direction,SHORT,5,843,-0.0204389611922,0,0.317527113135,0.336693842106,-0.00190984578885,40.5693950178,3.91459074733,94.5432977461
direction,SHORT,15,843,-0.0252829719862,-0.0655085619351,0.51801397046,0.58101678844,-0.000396204033215,41.3997627521,14.709371293,82.325029656
direction,SHORT,30,843,-0.00561287270202,-0.147585858807,0.638536077055,0.79256551523,0.00112455516014,43.5349940688,26.334519573,69.0391459075
direction,SHORT,60,843,-0.00986003408747,-0.344987085457,0.743018127989,1.04443387728,0.00262158956109,39.1459074733,46.975088968,46.8564650059
direction,SHORT,120,843,0.0535090640138,-0.539099182828,0.777109002837,1.34195198951,0.00732858837485,34.7568208778,69.9881376038,22.8944246738
session,Session_A,5,75,-0.0182551988238,0,0.420402367193,0.401753959048,-0.00898666666667,44,9.33333333333,86.6666666667
session,Session_A,15,75,-0.0597125482351,-0.213005979558,0.659809156281,0.806045909263,-0.00925333333333,36,26.6666666667,65.3333333333
session,Session_A,30,75,-0.019362895399,-0.513918132575,0.844659637368,1.09900617255,-0.00633333333333,32,49.3333333333,38.6666666667
session,Session_A,60,75,-0.134212015091,-0.751615533094,0.930077003136,1.3112974568,-0.0139466666667,28,65.3333333333,20
session,Session_A,120,75,-0.0239971986674,-0.776305010881,0.943831186593,1.51273163193,-0.0118666666667,28,77.3333333333,8
session,Session_B,5,1354,-0.00263592712311,0,0.312334063904,0.332785117243,0.00025258493353,42.1713441654,2.88035450517,95.7902511078
session,Session_B,15,1354,0.0199479747534,-0.0491639403005,0.519115712333,0.60444908889,0.00496454948301,44.9039881832,15.0664697194,82.3485967504
session,Session_B,30,1354,0.0464378024508,-0.11810871843,0.638733267723,0.842282583485,0.00827621861152,44.1654357459,27.400295421,68.3899556869
session,Session_B,60,1354,0.06002607865,-0.312994544814,0.737159097353,1.12251065843,0.00962555391433,41.8020679468,49.1875923191,44.9039881832
session,Session_B,120,1354,0.105540416931,-0.503367653495,0.766586484702,1.43321778442,0.0175443131462,36.9276218612,74.1506646972,19.1285081241
session,Session_C,5,532,-0.0774232499025,0,0.306917214752,0.241236427147,-0.00403571428571,34.3984962406,4.32330827068,94.1729323308
session,Session_C,15,532,-0.0580691658157,0,0.47240585647,0.430727325724,-0.00406015037594,37.2180451128,9.3984962406,87.7819548872
session,Session_C,30,532,-0.0877505956374,-0.144856876152,0.618066868044,0.620270678649,-0.00320488721804,39.0977443609,19.1729323308,76.8796992481
session,Session_C,60,532,-0.0433993936465,-0.200236531452,0.72604645672,0.836613706464,0.00552631578947,37.7819548872,33.4586466165,61.0902255639
session,Session_C,120,532,-0.0507601850546,-0.371038566674,0.777411784777,1.02053928704,0.00978195488722,37.2180451128,55.0751879699,37.969924812
candidate,10:00-17:00,5,1354,-0.00263592712311,0,0.312334063904,0.332785117243,0.00025258493353,42.1713441654,2.88035450517,95.7902511078
candidate,10:00-17:00,15,1354,0.0199479747534,-0.0491639403005,0.519115712333,0.60444908889,0.00496454948301,44.9039881832,15.0664697194,82.3485967504
candidate,10:00-17:00,30,1354,0.0464378024508,-0.11810871843,0.638733267723,0.842282583485,0.00827621861152,44.1654357459,27.400295421,68.3899556869
candidate,10:00-17:00,60,1354,0.06002607865,-0.312994544814,0.737159097353,1.12251065843,0.00962555391433,41.8020679468,49.1875923191,44.9039881832
candidate,10:00-17:00,120,1354,0.105540416931,-0.503367653495,0.766586484702,1.43321778442,0.0175443131462,36.9276218612,74.1506646972,19.1285081241
