dimension,value,duration_bucket,trades,PF,expectancy_R,net_R,win_rate
ALL,ALL,0-15,216,0.0104817163141,-0.959089356014,-207.163300899,0.0185185185185
ALL,ALL,15-30,304,0.0531509118684,-0.853777198007,-259.548268194,0.0526315789474
ALL,ALL,30-60,443,0.269452848126,-0.486704405921,-215.610051823,0.20316027088
ALL,ALL,60-120,500,1.54560203596,0.190427864043,95.2139320214,0.422
ALL,ALL,120+,498,9.86697486604,1.45642077044,725.297543677,0.710843373494
instrument,USDRUBF,0-15,107,0.000583625545209,-0.935276363072,-100.074570849,0.00934579439252
instrument,USDRUBF,15-30,172,0.0598063489101,-0.786603620921,-135.295822798,0.0581395348837
instrument,USDRUBF,30-60,246,0.302035498163,-0.425003707118,-104.550911951,0.215447154472
instrument,USDRUBF,60-120,255,1.58025059038,0.183818939413,46.8738295504,0.443137254902
instrument,USDRUBF,120+,280,14.5478851235,1.67789677967,469.811098308,0.771428571429
instrument,CNYRUBF,0-15,109,0.0195559043601,-0.982465413305,-107.08873005,0.0275229357798
instrument,CNYRUBF,15-30,132,0.0457959578721,-0.941306404512,-124.252445396,0.0454545454545
instrument,CNYRUBF,30-60,197,0.235871915761,-0.563751979045,-111.059139872,0.187817258883
instrument,CNYRUBF,60-120,245,1.51573975298,0.197306540698,48.340102471,0.4
instrument,CNYRUBF,120+,218,6.42205979238,1.17195617142,255.486445369,0.633027522936
direction,LONG,0-15,115,0.00646831570254,-0.959044005215,-110.2900606,0.0173913043478
direction,LONG,15-30,177,0.0159622679179,-0.890046540199,-157.538237615,0.0338983050847
direction,LONG,30-60,238,0.318830005209,-0.447606044093,-106.530238494,0.214285714286
direction,LONG,60-120,296,1.52347475011,0.175502876403,51.9488514153,0.445945945946
direction,LONG,120+,292,9.13354940917,1.33623422641,390.180394111,0.729452054795
direction,SHORT,0-15,101,0.0150116768829,-0.959140993062,-96.8732402993,0.019801980198
direction,SHORT,15-30,127,0.105364986692,-0.803228587236,-102.010030579,0.0787401574803
direction,SHORT,30-60,205,0.213793831021,-0.532096650384,-109.079813329,0.190243902439
direction,SHORT,60-120,204,1.57477416175,0.212083728461,43.2650806061,0.387254901961
direction,SHORT,120+,206,10.9071150287,1.62678227945,335.117149566,0.684466019417
session,Session_A,0-15,19,0,-0.88943638668,-16.8992913469,0
session,Session_A,15-30,23,0.0260647363696,-0.720083549973,-16.5619216494,0.130434782609
session,Session_A,30-60,16,0.43583405606,-0.315197632651,-5.04316212242,0.375
session,Session_A,60-120,11,2.40623274048,0.544540319969,5.98994351966,0.545454545455
session,Session_A,120+,6,DATA_UNAVAILABLE,5.14832891612,30.8899734967,1
session,Session_B,0-15,152,0.0144099684648,-0.961144137872,-146.093908957,0.0197368421053
session,Session_B,15-30,217,0.0726360940644,-0.826192590481,-179.283792134,0.0506912442396
session,Session_B,30-60,344,0.310699737698,-0.439035519399,-151.028218673,0.21511627907
session,Session_B,60-120,362,2.06183243754,0.325834809736,117.952201124,0.461325966851
session,Session_B,120+,279,28.7919381918,2.00598883229,559.67088421,0.78853046595
session,Session_C,0-15,45,0.00132132288626,-0.981557791012,-44.1701005956,0.0222222222222
session,Session_C,15-30,64,0.00131558333491,-0.995352412662,-63.7025544103,0.03125
session,Session_C,30-60,83,0.112584388851,-0.717333385872,-59.5386710273,0.120481927711
session,Session_C,60-120,127,0.514467709712,-0.226206398604,-28.7282126227,0.299212598425
session,Session_C,120+,213,3.18516448143,0.632566600797,134.73668597,0.600938967136
candidate,10:00-17:00,0-15,152,0.0144099684648,-0.961144137872,-146.093908957,0.0197368421053
candidate,10:00-17:00,15-30,217,0.0726360940644,-0.826192590481,-179.283792134,0.0506912442396
candidate,10:00-17:00,30-60,344,0.310699737698,-0.439035519399,-151.028218673,0.21511627907
candidate,10:00-17:00,60-120,362,2.06183243754,0.325834809736,117.952201124,0.461325966851
candidate,10:00-17:00,120+,279,28.7919381918,2.00598883229,559.67088421,0.78853046595
