dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
ALL,ALL,WINNER,5,675,0.192198830536,0.114457359683,0.19646697454,0.424239791028
ALL,ALL,WINNER,15,675,0.518684176767,0.375593390033,0.280270545888,0.900313820487
ALL,ALL,WINNER,30,675,0.875437578928,0.686062632211,0.324375369775,1.41337933144
ALL,ALL,WINNER,60,675,1.2728161274,0.978116974228,0.342647338879,2.08292760523
ALL,ALL,WINNER,120,675,1.5791994225,1.0776277792,0.346107475973,2.81413425195
ALL,ALL,LOSER,5,1286,-0.136750827991,-0.107422637565,0.377212480948,0.250931971986
ALL,ALL,LOSER,15,1286,-0.278750776698,-0.253397836949,0.633363653489,0.389045581655
ALL,ALL,LOSER,30,1286,-0.448039747506,-0.518738683054,0.807194802877,0.465652436469
ALL,ALL,LOSER,60,1286,-0.630660928505,-0.831334998261,0.950885656519,0.511142378752
ALL,ALL,LOSER,120,1286,-0.740172701412,-0.905015852423,1.00210416991,0.542315733391
instrument,USDRUBF,WINNER,5,393,0.181985721433,0.111363146888,0.186876767659,0.420124391251
instrument,USDRUBF,WINNER,15,393,0.504518393313,0.342637140106,0.275261314031,0.875997573853
instrument,USDRUBF,WINNER,30,393,0.861892191181,0.659110441807,0.316968044419,1.39015760001
instrument,USDRUBF,WINNER,60,393,1.25762946443,0.946216184894,0.338072266465,2.0305052556
instrument,USDRUBF,WINNER,120,393,1.57458003304,1.0776277792,0.343083366307,2.71480259319
instrument,USDRUBF,LOSER,5,667,-0.105803461338,-0.0857418398426,0.36268048022,0.278033455473
instrument,USDRUBF,LOSER,15,667,-0.244438369352,-0.238386752508,0.626982444721,0.424541517599
instrument,USDRUBF,LOSER,30,667,-0.423404083739,-0.511782846443,0.802909799118,0.491754467913
instrument,USDRUBF,LOSER,60,667,-0.612568332356,-0.803875260461,0.957410013855,0.530090814837
instrument,USDRUBF,LOSER,120,667,-0.70524795412,-0.847708896731,1.00182471708,0.555100162507
instrument,CNYRUBF,WINNER,5,282,0.206431993223,0.118063518122,0.209832050087,0.429975082206
instrument,CNYRUBF,WINNER,15,282,0.538425853708,0.402087001337,0.287251496668,0.93420135569
instrument,CNYRUBF,WINNER,30,282,0.894314661853,0.747398501646,0.334698344474,1.44574153163
instrument,CNYRUBF,WINNER,60,282,1.29398051942,1.02915564899,0.349023237669,2.15598428398
instrument,CNYRUBF,WINNER,120,282,1.58563708228,1.0842633679,0.350321926678,2.95256454234
instrument,CNYRUBF,LOSER,5,619,-0.170097990443,-0.13138038586,0.392871357338,0.221728919505
instrument,CNYRUBF,LOSER,15,619,-0.315723919993,-0.295743810253,0.640239689431,0.350797133714
instrument,CNYRUBF,LOSER,30,619,-0.474585769691,-0.533126866441,0.811812084795,0.437526337966
instrument,CNYRUBF,LOSER,60,619,-0.650156504646,-0.884921846624,0.943855371634,0.490724597057
instrument,CNYRUBF,LOSER,120,619,-0.777805668203,-0.967688003655,1.00240529274,0.528539943051
direction,LONG,WINNER,5,404,0.149730161067,0.0791420854501,0.209753040155,0.380362579012
direction,LONG,WINNER,15,404,0.491990942111,0.3401654529,0.304478487877,0.836230698532
direction,LONG,WINNER,30,404,0.84914764417,0.657793590711,0.346083539937,1.35822128889
direction,LONG,WINNER,60,404,1.23477260784,0.898690234871,0.363954692969,2.02486892042
direction,LONG,WINNER,120,404,1.47408530652,1.05272497862,0.368210572594,2.6686495964
direction,LONG,LOSER,5,714,-0.125193690435,-0.0984877846889,0.371561447784,0.240281490337
direction,LONG,LOSER,15,714,-0.260241561266,-0.236556158702,0.621839202607,0.392703210049
direction,LONG,LOSER,30,714,-0.453197123351,-0.472147347637,0.810787434182,0.470596571388
direction,LONG,LOSER,60,714,-0.619629121698,-0.822954855183,0.953394860186,0.510924972282
direction,LONG,LOSER,120,714,-0.737452505074,-0.893194378473,1.00625847068,0.542799284456
direction,SHORT,WINNER,5,271,0.255510057348,0.15007612787,0.176660441299,0.489650837722
direction,SHORT,WINNER,15,271,0.558477781199,0.419777653767,0.244181953403,0.995847330709
