dimension,value,duration_bucket,trades,PF,expectancy_R,net_R,win_rate
ALL,ALL,0-15,108,0.0209922274812,-0.90090069256,-97.2972747965,0.0277777777778
ALL,ALL,15-30,136,0.00614728395526,-0.950028388061,-129.203860776,0.0147058823529
ALL,ALL,30-60,198,0.183208869666,-0.578503434607,-114.543680052,0.136363636364
ALL,ALL,60-120,172,1.70019974055,0.260783747489,44.854804568,0.377906976744
ALL,ALL,120+,216,8.6295278776,1.60578525704,346.84961552,0.712962962963
instrument,USDRUBF,0-15,53,0.00127961266617,-0.860599489108,-45.6117729227,0.0188679245283
instrument,USDRUBF,15-30,78,0.0114278253547,-0.886312596317,-69.1323825127,0.025641025641
instrument,USDRUBF,30-60,114,0.265017772702,-0.462822778955,-52.7617968009,0.157894736842
instrument,USDRUBF,60-120,95,1.252953783,0.0860290285952,8.17275771654,0.389473684211
instrument,USDRUBF,120+,116,14.4681411017,2.05290373443,238.136833194,0.793103448276
instrument,CNYRUBF,0-15,55,0.0377530405985,-0.939736397705,-51.6855018738,0.0363636363636
instrument,CNYRUBF,15-30,58,0,-1.03571514248,-60.0714782636,0
instrument,CNYRUBF,30-60,84,0.0974119391134,-0.735498610134,-61.7818832513,0.107142857143
instrument,CNYRUBF,60-120,77,2.15531382962,0.476390218851,36.6820468515,0.363636363636
instrument,CNYRUBF,120+,100,4.91334907796,1.08712782326,108.712782326,0.62
direction,LONG,0-15,55,0.0148740431482,-0.864661054534,-47.5563579994,0.0363636363636
direction,LONG,15-30,76,7.28220709336e-05,-0.946982882646,-71.9706990811,0.0131578947368
direction,LONG,30-60,116,0.24434112051,-0.507426285657,-58.8614491362,0.155172413793
direction,LONG,60-120,95,1.81906102339,0.266076461806,25.2772638716,0.452631578947
direction,LONG,120+,128,7.69890236281,1.52301450706,194.945856903,0.703125
direction,SHORT,0-15,53,0.0267710666659,-0.938507864097,-49.7409167971,0.0188679245283
direction,SHORT,15-30,60,0.0136819567967,-0.953886028254,-57.2331616952,0.0166666666667
direction,SHORT,30-60,82,0.106826188221,-0.679051596536,-55.682230916,0.109756097561
direction,SHORT,60-120,77,1.5897072962,0.254253775279,19.5775406965,0.285714285714
direction,SHORT,120+,88,10.2848925354,1.72617907519,151.903758617,0.727272727273
session,Session_A,0-15,11,0,-0.960891770505,-10.5698094756,0
session,Session_A,15-30,13,0.000493479588505,-0.816626481973,-10.6161442657,0.0769230769231
session,Session_A,30-60,12,0.388471812379,-0.344383336663,-4.13260003995,0.333333333333
session,Session_A,60-120,4,DATA_UNAVAILABLE,2.26552837745,9.06211350979,1
session,Session_A,120+,5,DATA_UNAVAILABLE,5.17796526502,25.8898263251,1
session,Session_B,0-15,69,0.0324627628603,-0.875925649457,-60.4388698125,0.0289855072464
session,Session_B,15-30,90,0.00923040252667,-0.946865943535,-85.2179349182,0.0111111111111
session,Session_B,30-60,146,0.192558678354,-0.559525529103,-81.690727249,0.130136986301
session,Session_B,60-120,117,2.39786193847,0.468816626844,54.8515453408,0.410256410256
session,Session_B,120+,114,45.4768937733,2.32218933504,264.729584195,0.80701754386
session,Session_C,0-15,28,0.00221809329296,-0.938878411014,-26.2885955084,0.0357142857143
session,Session_C,15-30,33,0,-1.0112055028,-33.3697815925,0
session,Session_C,30-60,40,0.11099099518,-0.71800881908,-28.7203527632,0.1
session,Session_C,60-120,51,0.232129807904,-0.373703025147,-19.0588542825,0.254901960784
session,Session_C,120+,97,2.42321050829,0.579692835056,56.2302050005,0.587628865979
candidate,10:00-17:00,0-15,69,0.0324627628603,-0.875925649457,-60.4388698125,0.0289855072464
candidate,10:00-17:00,15-30,90,0.00923040252667,-0.946865943535,-85.2179349182,0.0111111111111
candidate,10:00-17:00,30-60,146,0.192558678354,-0.559525529103,-81.690727249,0.130136986301
candidate,10:00-17:00,60-120,117,2.39786193847,0.468816626844,54.8515453408,0.410256410256
candidate,10:00-17:00,120+,114,45.4768937733,2.32218933504,264.729584195,0.80701754386
