dimension,value,checkpoint_minutes,criterion,trades,winners,losers,winner_loser_ratio,average_final_R
ALL,ALL,15,MAE_R > 0.5,359,49,310,0.158064516129,-0.562194822566
ALL,ALL,30,MAE_R > 0.5,469,67,402,0.166666666667,-0.537735607239
instrument,USDRUBF,15,MAE_R > 0.5,187,26,161,0.16149068323,-0.496813414228
instrument,USDRUBF,30,MAE_R > 0.5,252,35,217,0.161290322581,-0.480596403192
instrument,CNYRUBF,15,MAE_R > 0.5,172,23,149,0.154362416107,-0.63327809791
instrument,CNYRUBF,30,MAE_R > 0.5,217,32,185,0.172972972973,-0.604090811939
direction,LONG,15,MAE_R > 0.5,185,32,153,0.209150326797,-0.529150908373
direction,LONG,30,MAE_R > 0.5,258,47,211,0.222748815166,-0.477796495285
direction,SHORT,15,MAE_R > 0.5,174,17,157,0.108280254777,-0.597327719839
direction,SHORT,30,MAE_R > 0.5,211,20,191,0.104712041885,-0.611026085364
session,Session_A,15,MAE_R > 0.5,23,1,22,0.0454545454545,-0.768011396629
session,Session_A,30,MAE_R > 0.5,29,2,27,0.0740740740741,-0.731870803575
session,Session_B,15,MAE_R > 0.5,232,29,203,0.142857142857,-0.560186977784
session,Session_B,30,MAE_R > 0.5,310,44,266,0.165413533835,-0.500159502316
session,Session_C,15,MAE_R > 0.5,104,19,85,0.223529411765,-0.521156733968
session,Session_C,30,MAE_R > 0.5,130,21,109,0.192660550459,-0.584033082874
candidate,10:00-17:00,15,MAE_R > 0.5,232,29,203,0.142857142857,-0.560186977784
candidate,10:00-17:00,30,MAE_R > 0.5,310,44,266,0.165413533835,-0.500159502316
