dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
ALL,ALL,WINNER,5,424,0.187184227069,0.119259395539,0.201166951577,0.425545342883
ALL,ALL,WINNER,15,424,0.50482709265,0.379851639606,0.285177598117,0.881114626512
ALL,ALL,WINNER,30,424,0.867454125032,0.71248573921,0.327541986283,1.40177455252
ALL,ALL,WINNER,60,424,1.15287872197,0.917877501218,0.349340903449,1.96234833677
ALL,ALL,WINNER,120,424,1.36113589929,0.98033011827,0.353005881953,2.5807752892
ALL,ALL,LOSER,5,707,-0.135278163963,-0.109147882885,0.383178079194,0.265406645995
ALL,ALL,LOSER,15,707,-0.286893817209,-0.260925120374,0.621893389288,0.385220667186
ALL,ALL,LOSER,30,707,-0.452369437485,-0.489455177922,0.81053579844,0.466825707779
ALL,ALL,LOSER,60,707,-0.616497489435,-0.843484970523,0.94770931828,0.516422633813
ALL,ALL,LOSER,120,707,-0.740567073616,-0.92632743043,1.00655883093,0.548396527442
instrument,USDRUBF,WINNER,5,243,0.169767778345,0.106511497221,0.193533555692,0.412178492621
instrument,USDRUBF,WINNER,15,243,0.453826089322,0.305449725658,0.288235234252,0.805232997209
instrument,USDRUBF,WINNER,30,243,0.81309346748,0.650550782823,0.331035512014,1.32840265821
instrument,USDRUBF,WINNER,60,243,1.11128857515,0.862758008513,0.357134267903,1.86061632627
instrument,USDRUBF,WINNER,120,243,1.38595473439,1.00407832036,0.36240731478,2.50537353993
instrument,USDRUBF,LOSER,5,361,-0.115599441929,-0.0750818087871,0.377771187595,0.285783704678
instrument,USDRUBF,LOSER,15,361,-0.267360765248,-0.253068920852,0.613767479158,0.415566828138
instrument,USDRUBF,LOSER,30,361,-0.436507662778,-0.463571136486,0.796376766011,0.475025688094
instrument,USDRUBF,LOSER,60,361,-0.600526340949,-0.83144160018,0.940218453666,0.514733063919
instrument,USDRUBF,LOSER,120,361,-0.710618233418,-0.868273110971,0.985182272997,0.538218885448
instrument,CNYRUBF,WINNER,5,181,0.210566531158,0.148585992684,0.211415101853,0.443490893235
instrument,CNYRUBF,WINNER,15,181,0.573298052919,0.440029533175,0.281072594909,0.982988858119
instrument,CNYRUBF,WINNER,30,181,0.940435560308,0.867366537669,0.322851783228,1.50027936089
instrument,CNYRUBF,WINNER,60,181,1.20871521743,1.0288696878,0.33887798874,2.09892777629
instrument,CNYRUBF,WINNER,120,181,1.32781558476,0.89833078922,0.34038406882,2.68200526197
instrument,CNYRUBF,LOSER,5,346,-0.155810009785,-0.141386023707,0.388819373607,0.244146188814
instrument,CNYRUBF,LOSER,15,346,-0.307273677781,-0.282938761145,0.630371578759,0.353558921221
instrument,CNYRUBF,LOSER,30,346,-0.468918861385,-0.524888424039,0.825308661756,0.458270236987
instrument,CNYRUBF,LOSER,60,346,-0.633161028751,-0.869453431509,0.95552493136,0.518185450956
instrument,CNYRUBF,LOSER,120,346,-0.771814273938,-0.977288752743,1.02886211824,0.559015396691
direction,LONG,WINNER,5,250,0.137448986807,0.0852195412819,0.210109154273,0.373797795261
direction,LONG,WINNER,15,250,0.466032919519,0.349032960568,0.312176852701,0.803341630455
direction,LONG,WINNER,30,250,0.829949673565,0.680002460917,0.351408407228,1.33043201299
direction,LONG,WINNER,60,250,1.11358824929,0.862940498239,0.371336819607,1.89435582753
direction,LONG,WINNER,120,250,1.28174583522,0.974449486576,0.375926593519,2.4397569957
direction,LONG,LOSER,5,398,-0.141338850763,-0.11347736916,0.390023507913,0.250329726741
direction,LONG,LOSER,15,398,-0.288166815318,-0.28672256858,0.632171618757,0.381457363394
direction,LONG,LOSER,30,398,-0.482927142643,-0.509141105385,0.841300150128,0.463533136607
direction,LONG,LOSER,60,398,-0.612126095824,-0.840138707053,0.966857827688,0.508766343381
direction,LONG,LOSER,120,398,-0.753089122664,-0.935530963159,1.03965016115,0.546015730549
direction,SHORT,WINNER,5,174,0.258642905608,0.166394735767,0.188318959197,0.499895267628
direction,SHORT,WINNER,15,174,0.560565847149,0.420303096805,0.24638556567,0.992857436939
direction,SHORT,WINNER,30,174,0.921339831162,0.84813992053,0.293251151591,1.50427820126
direction,SHORT,WINNER,60,174,1.20933055054,0.967442766655,0.317737575636,2.06003872361
direction,SHORT,WINNER,120,174,1.47520208329,0.990216495557,0.320073825104,2.78338777986
direction,SHORT,LOSER,5,309,-0.127471842454,-0.0952853112405,0.374360989775,0.284826108336
direction,SHORT,LOSER,15,309,-0.285254162686,-0.245387580841,0.608654763629,0.390067899901
direction,SHORT,LOSER,30,309,-0.413010322104,-0.476424337439,0.770910516979,0.471066624692
direction,SHORT,LOSER,60,309,-0.622127957581,-0.843528176653,0.923045542408,0.52628413411
direction,SHORT,LOSER,120,309,-0.724438350246,-0.913930302308,0.96393634087,0.55146305548
session,Session_A,WINNER,5,7,0.336983389067,0.592149559728,0.254108699733,0.682395831238
session,Session_A,WINNER,15,7,0.723800446998,0.481982977257,0.357390766288,1.4826525152
session,Session_A,WINNER,30,7,1.11863801804,0.963965954514,0.456712845864,1.95886351642
session,Session_A,WINNER,60,7,0.876579609406,0.3412376252,0.456712845864,2.66150128293
session,Session_A,WINNER,120,7,1.18229380796,0.3412376252,0.456712845864,2.93275700653
session,Session_A,LOSER,5,23,-0.161875791954,-0.316056374281,0.550392570315,0.451770753956
session,Session_A,LOSER,15,23,-0.330007212535,-0.253068920852,0.68287293903,0.604103431035
session,Session_A,LOSER,30,23,-0.609876213074,-0.649757487524,0.860388469636,0.604103431035
session,Session_A,LOSER,60,23,-0.753764970729,-1.01161937772,1.05195417789,0.611369604419
session,Session_A,LOSER,120,23,-0.83278881734,-1.01265344604,1.09680477612,0.611369604419
session,Session_B,WINNER,5,313,0.215567637456,0.171444914341,0.210231264851,0.453669144325
session,Session_B,WINNER,15,313,0.57375541994,0.452023037548,0.280143130392,0.954506990873
session,Session_B,WINNER,30,313,1.01229967404,0.894095046627,0.309235494608,1.54063232591
session,Session_B,WINNER,60,313,1.25989632713,1.02944161019,0.331693983775,2.11642939814
session,Session_B,WINNER,120,313,1.45024650076,1.05101612679,0.336188357943,2.76938003257
session,Session_B,LOSER,5,505,-0.123157519322,-0.108065165598,0.382024344791,0.278630590991
session,Session_B,LOSER,15,505,-0.299468534504,-0.278930814528,0.645775104473,0.408321488144
session,Session_B,LOSER,30,505,-0.454404218674,-0.558770229395,0.818184843704,0.480565446727
session,Session_B,LOSER,60,505,-0.6226209827,-0.881223450118,0.956477663256,0.53861935771
session,Session_B,LOSER,120,505,-0.754473424051,-0.941661194528,0.999377923491,0.572352673489
session,Session_C,WINNER,5,104,0.0916784425987,0,0.170323468001,0.323615503751
