scope,dimension,value,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R,average_price_movement,percent_profitable,percent_stopped,percent_still_open
T2,ALL,ALL,5,830,-0.0359660295666,0,0.315070805849,0.290345362429,-0.00140120481928,37.7108433735,3.25301204819,93.2530120482
T2,ALL,ALL,15,830,-0.02358366028,-0.0472785259165,0.533848613292,0.556723895778,0.00135301204819,40.2409638554,13.4939759036,79.7590361446
T2,ALL,ALL,30,830,-0.04004109184,-0.162395318675,0.656722023394,0.757183007656,0.00284698795181,41.4457831325,23.9759036145,65.5421686747
T2,ALL,ALL,60,830,-0.00582641101935,-0.434412257952,0.766234791494,1.04356474182,0.00444939759036,36.1445783133,41.0843373494,44.4578313253
T2,ALL,ALL,120,830,0.072960019184,-0.563751746378,0.79640592936,1.34336576588,0.0109759036145,33.0120481928,58.6746987952,24.578313253
T3,ALL,ALL,5,1131,-0.0143904064052,0,0.31494402251,0.325440958533,-0.00116357206012,41.9098143236,3.71352785146,96.2864721485
T3,ALL,ALL,15,1131,0.00991402167716,0,0.495662181988,0.571126094908,0.00242705570292,44.1202475685,14.3236074271,85.6763925729
T3,ALL,ALL,30,1131,0.0424185293647,-0.121802576411,0.62946650016,0.817328192456,0.00589124668435,42.9708222812,27.4977895668,72.5022104332
T3,ALL,ALL,60,1131,0.0468230354433,-0.188656177028,0.72338729539,1.05848496631,0.00993280282935,43.1476569408,48.8063660477,51.1936339523
T3,ALL,ALL,120,1131,0.0473392575174,-0.364732623294,0.761548706819,1.31031394122,0.0167630415561,39.3457117595,76.7462422635,23.2537577365
COMBINED,ALL,ALL,5,1961,-0.0235223631742,0,0.314997683995,0.310586626679,-0.0012641509434,40.1325854156,3.51861295258,95.0025497195
COMBINED,ALL,ALL,15,1961,-0.00426398751429,-0.0352709839128,0.51182472048,0.565030314552,0.00197246302907,42.478327384,13.9724630291,83.1718510964
COMBINED,ALL,ALL,30,1961,0.00751721085381,-0.142266265321,0.641002494186,0.791871535962,0.00460275369709,42.3253442121,26.0071392147,69.5563488016
COMBINED,ALL,ALL,60,1961,0.0245389760022,-0.288381103003,0.741522645602,1.05216992994,0.0076119326874,40.1835798062,45.537990821,48.3426823049
COMBINED,ALL,ALL,120,1961,0.0581833330826,-0.487857874751,0.776302146242,1.32430323978,0.0143136155023,36.6649668536,69.0973992861,23.8143804182
