outcome,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
EARLY_FAILURE_NEGATIVE_AT_15_MIN,ALL,ALL,837,0,0,-0.89222851345,-746.795265758,-746.795265758,-1,61.8817204301,837,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_A,41,0,0,-0.916030278013,-37.5572413985,-37.5572413985,-1,16.8292682927,41,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_B,588,0,0,-0.892990709198,-525.078537009,-525.078537009,-1,39.7534013605,588,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_C,208,0,0,-0.885382150726,-184.159487351,-184.159487351,-1,133.317307692,208,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,CNYRUBF,402,0,0,-0.939407667052,-377.641882155,-377.641882155,-1,80.8706467662,402,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,USDRUBF,435,0,0,-0.848628468053,-369.153383603,-369.153383603,-1,44.3333333333,435,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,near,26,0,0,-0.664448731853,-17.2756670282,-17.2756670282,-1,22.8846153846,26,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,normal,155,0,0,-0.879144396294,-136.267381426,-136.267381426,-1,35.935483871,155,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,extended,656,0,0,-0.904347892232,-593.252217304,-593.252217304,-1,69.5579268293,656,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|near,20,0,0,-0.699857174915,-13.9971434983,-13.9971434983,-1,24.75,20,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|normal,111,0,0,-0.858254104647,-95.2662056158,-95.2662056158,-1,33.9189189189,111,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|extended,453,0,0,-0.908865094308,-411.715887722,-411.715887722,-1,41.9536423841,453,DATA_UNAVAILABLE,DATA_UNAVAILABLE
LONG_WINNER_120_MIN_PLUS,ALL,ALL,354,1,DATA_UNAVAILABLE,2.27992987372,807.095175297,0,DATA_UNAVAILABLE,245.127118644,0,0.0203897517529,0.0791918364889
LONG_WINNER_120_MIN_PLUS,session,Session_A,6,1,DATA_UNAVAILABLE,5.14832891612,30.8899734967,0,DATA_UNAVAILABLE,215,0,0.244485746308,0.910946596169
LONG_WINNER_120_MIN_PLUS,session,Session_B,220,1,DATA_UNAVAILABLE,2.63549441024,579.808770253,0,DATA_UNAVAILABLE,208.568181818,0,0.0283825825162,0.110235223115
LONG_WINNER_120_MIN_PLUS,session,Session_C,128,1,DATA_UNAVAILABLE,1.53434712146,196.396431547,0,DATA_UNAVAILABLE,309.375,0,0.042685399826,0.18549775353
LONG_WINNER_120_MIN_PLUS,instrument,CNYRUBF,138,1,DATA_UNAVAILABLE,2.19279897619,302.606258715,0,DATA_UNAVAILABLE,264.528985507,0,0.0359017892576,0.142222496376
LONG_WINNER_120_MIN_PLUS,instrument,USDRUBF,216,1,DATA_UNAVAILABLE,2.33559683603,504.488916582,0,DATA_UNAVAILABLE,232.731481481,0,0.0326200828688,0.120278900177
LONG_WINNER_120_MIN_PLUS,EMA50_distance,near,9,1,DATA_UNAVAILABLE,1.28228738042,11.5405864238,0,DATA_UNAVAILABLE,537.777777778,0,0.270187681433,0.874762143033
LONG_WINNER_120_MIN_PLUS,EMA50_distance,normal,76,1,DATA_UNAVAILABLE,2.82403976673,214.627022272,0,DATA_UNAVAILABLE,230.263157895,0,0.0681789248665,0.246333238768
LONG_WINNER_120_MIN_PLUS,EMA50_distance,extended,269,1,DATA_UNAVAILABLE,2.15958203197,580.927566601,0,DATA_UNAVAILABLE,239.535315985,0,0.0283279210893,0.0894841093922
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|near,8,1,DATA_UNAVAILABLE,1.33321663822,10.6657331058,0,DATA_UNAVAILABLE,166.875,0,0.292349738859,0.914014700607
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|normal,51,1,DATA_UNAVAILABLE,3.15242888086,160.773872924,0,DATA_UNAVAILABLE,214.509803922,0,0.0910162787005,0.328845530445
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|extended,161,1,DATA_UNAVAILABLE,2.53645443617,408.369164223,0,DATA_UNAVAILABLE,208.757763975,0,0.0402980237174,0.124638895031
