variant,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
BASELINE,instrument,CNYRUBF,901,0.312985571587,0.926614356446,-0.0428121725618,-38.5737674782,-65.011136184,-0.593340921915,124.772475028,17,0.0266545098929,0.108125858411
BASELINE,instrument,USDRUBF,1060,0.370754716981,1.34707922033,0.166758134208,176.76362226,-30.5538447212,5.78531519922,96.9858490566,12,0.0239871843645,0.0884471129433
BASELINE,direction,LONG,1118,0.361359570662,1.11792259142,0.0606178075286,67.770708817,-74.3877617539,0.911046484248,119.454382826,19,0.0227760182713,0.0902139938315
BASELINE,direction,SHORT,843,0.321470937129,1.15301361372,0.0835339809787,70.419145965,-41.7461851369,1.68684026419,96.8861209964,17,0.0310128424323,0.105927898856
BASELINE,weekday,Monday,387,0.372093023256,1.34294480577,0.171862130934,66.5106446716,-30.2003562183,2.20231325058,100.775193798,12,0.0374657201635,0.148617211681
BASELINE,weekday,Tuesday,346,0.35838150289,0.95638195687,-0.0231710753843,-8.01719208298,-49.8258276467,-0.160904343423,95.289017341,13,0.0654329516894,0.230674233198
BASELINE,weekday,Wednesday,386,0.310880829016,0.968554616216,-0.0168719759084,-6.51258270064,-41.0091173769,-0.15880816553,99.1191709845,19,0.0729481162622,0.208250426919
BASELINE,weekday,Thursday,390,0.348717948718,1.1744288685,0.0962399339818,37.5335742529,-37.0096557712,1.01415626465,92.9102564103,24,0.0513715180185,0.179295982841
BASELINE,weekday,Friday,445,0.337078651685,1.23382455471,0.120407156166,53.5811844937,-35.3568944094,1.51543808891,153.662921348,16,0.0582051062328,0.189198712884
BASELINE,session,Session_A,75,0.28,0.96551275914,-0.021659441365,-1.62445810237,-30.1953332972,-0.0537983166599,45.7333333333,17,0.16605922184,0.660883729898
BASELINE,session,Session_B,1354,0.350812407681,1.29082611948,0.148609428043,201.217165571,-34.8832431959,5.76830441025,78.2274741507,15,0.0184262655717,0.075890657229
BASELINE,session,Session_C,532,0.336466165414,0.792512684951,-0.115418896027,-61.4028526862,-83.5212956907,-0.735176007249,199.013157895,18,0.0357445411594,0.155334894672
BASELINE,EMA50_distance,near,49,0.30612244898,1.37521265084,0.163622836652,8.01751899594,-7.67437646154,1.04471275759,124.693877551,9,0.391427752028,0.746846056955
BASELINE,EMA50_distance,normal,351,0.327635327635,1.4467135699,0.237953043586,83.5215182986,-17.2050609619,4.85447383672,89.0455840456,13,0.0540981929223,0.215516679758
BASELINE,EMA50_distance,extended,1561,0.349135169763,1.05643814013,0.0298852129964,46.6508174874,-54.8693779621,0.85021589856,113.939782191,16,0.0188454300488,0.0595301899745
SESSION_CANDIDATE,instrument,CNYRUBF,612,0.325163398693,1.04306608478,0.024113661722,14.7575609739,-31.2085670479,0.472868906516,76.6666666667,14,0.0363211555736,0.147339273566
SESSION_CANDIDATE,instrument,USDRUBF,737,0.374491180461,1.55509145746,0.259440170852,191.207405918,-22.5275184022,8.48772610033,79.8439620081,10,0.0307213706479,0.113277844459
SESSION_CANDIDATE,direction,LONG,767,0.367666232073,1.31103430471,0.15248486582,116.955892084,-41.5176031775,2.81701936367,81.479791395,16,0.029682923866,0.11600720004
SESSION_CANDIDATE,direction,SHORT,582,0.331615120275,1.28610064914,0.152936554653,89.0090748078,-29.8312657512,2.98375119414,74.3470790378,13,0.041128823663,0.140480185992
SESSION_CANDIDATE,weekday,Monday,257,0.381322957198,1.4883382753,0.235959651274,60.6416303775,-24.3488825007,2.49053033033,80.0389105058,13,0.0527967782809,0.195211357704
SESSION_CANDIDATE,weekday,Tuesday,237,0.350210970464,1.04381393056,0.0222678191159,5.27747313047,-21.7751478997,0.242362217459,74.4725738397,11,0.0914844103895,0.290842047974
SESSION_CANDIDATE,weekday,Wednesday,266,0.327067669173,1.16098066972,0.0830524264829,22.0919454444,-25.2309474853,0.875589212705,79.9812030075,11,0.091843690754,0.25318864608
SESSION_CANDIDATE,weekday,Thursday,272,0.345588235294,1.26941236384,0.148589064875,40.4162256459,-38.3788931763,1.05308471144,76.5257352941,14,0.0681725787149,0.234717185691
SESSION_CANDIDATE,weekday,Friday,317,0.356466876972,1.49943028005,0.244598398403,77.5376922937,-18.3645585878,4.22213754406,80.2996845426,10,0.0706923486994,0.229789141372
SESSION_CANDIDATE,session,Session_A,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,session,Session_B,1349,0.352112676056,1.29974518048,0.152679738245,205.964966892,-34.0692462804,6.04548058378,78.4025203855,15,0.0184262655717,0.075890657229
SESSION_CANDIDATE,session,Session_C,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,EMA50_distance,near,36,0.333333333333,1.69894471395,0.307606403842,11.0738305383,-5.96428887728,1.85668916549,60.9722222222,7,0.427316538957,0.815322037177
SESSION_CANDIDATE,EMA50_distance,normal,242,0.330578512397,1.68463414289,0.353625996177,85.5774910749,-14.7881169685,5.78690926352,83.9462809917,10,0.0694909028325,0.276838242515
SESSION_CANDIDATE,EMA50_distance,extended,1071,0.357609710551,1.20010094754,0.102066895685,109.313645279,-42.8173597624,2.55302162219,77.7357609711,14,0.0251011534672,0.0776360660782
