outcome,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
EARLY_FAILURE_NEGATIVE_AT_15_MIN,ALL,ALL,370,0,0,-0.887736693267,-328.462576509,-328.462576509,-1,53.9324324324,370,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_A,25,0,0,-0.931903584306,-23.2975896077,-23.2975896077,-1,15.8,25,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_B,245,0,0,-0.87610299964,-214.645234912,-214.645234912,-1,36.0612244898,245,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session,Session_C,100,0,0,-0.905197519895,-90.5197519895,-90.5197519895,-1,107.25,100,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,CNYRUBF,170,0,0,-0.951643461717,-161.779388492,-161.779388492,-1,70.6176470588,170,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,instrument,USDRUBF,200,0,0,-0.833415940086,-166.683188017,-166.683188017,-1,39.75,200,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,near,18,0,0,-0.581191909854,-10.4614543774,-10.4614543774,-1,8.88888888889,18,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,normal,118,0,0,-0.887685978186,-104.746945426,-104.746945426,-1,27.8389830508,118,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,EMA50_distance,extended,234,0,0,-0.911342635494,-213.254176706,-213.254176706,-1,70.5555555556,234,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|near,13,0,0,-0.598870748052,-7.78531972467,-7.78531972467,-1,9.23076923077,13,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|normal,81,0,0,-0.861127903155,-69.7513601556,-69.7513601556,-1,24.5679012346,81,DATA_UNAVAILABLE,DATA_UNAVAILABLE
EARLY_FAILURE_NEGATIVE_AT_15_MIN,session_x_EMA50_distance,10:00-17:00|extended,151,0,0,-0.908003675706,-137.108555032,-137.108555032,-1,44.5364238411,151,DATA_UNAVAILABLE,DATA_UNAVAILABLE
LONG_WINNER_120_MIN_PLUS,ALL,ALL,154,1,DATA_UNAVAILABLE,2.54747463475,392.311093751,0,DATA_UNAVAILABLE,248.116883117,0,0.0372995815282,0.134490352581
LONG_WINNER_120_MIN_PLUS,session,Session_A,5,1,DATA_UNAVAILABLE,5.17796526502,25.8898263251,0,DATA_UNAVAILABLE,214,0,0.291703703568,1
LONG_WINNER_120_MIN_PLUS,session,Session_B,92,1,DATA_UNAVAILABLE,2.94219189319,270.681654174,0,DATA_UNAVAILABLE,214.836956522,0,0.0540599608439,0.194804762921
LONG_WINNER_120_MIN_PLUS,session,Session_C,57,1,DATA_UNAVAILABLE,1.67964233776,95.7396132523,0,DATA_UNAVAILABLE,304.824561404,0,0.0798413405817,0.313740031875
LONG_WINNER_120_MIN_PLUS,instrument,CNYRUBF,62,1,DATA_UNAVAILABLE,2.2014962622,136.492768256,0,DATA_UNAVAILABLE,236.290322581,0,0.0714906975815,0.289183577922
LONG_WINNER_120_MIN_PLUS,instrument,USDRUBF,92,1,DATA_UNAVAILABLE,2.78063397277,255.818325495,0,DATA_UNAVAILABLE,256.086956522,0,0.0572009045775,0.1978595209
LONG_WINNER_120_MIN_PLUS,EMA50_distance,near,3,1,DATA_UNAVAILABLE,1.33732869789,4.01198609366,0,DATA_UNAVAILABLE,1260,0,0.650279102977,1
LONG_WINNER_120_MIN_PLUS,EMA50_distance,normal,58,1,DATA_UNAVAILABLE,3.16662922626,183.664495123,0,DATA_UNAVAILABLE,229.913793103,0,0.0796726640933,0.269827990356
LONG_WINNER_120_MIN_PLUS,EMA50_distance,extended,93,1,DATA_UNAVAILABLE,2.20037217779,204.634612534,0,DATA_UNAVAILABLE,226.827956989,0,0.0476848129288,0.19805904917
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|near,2,1,DATA_UNAVAILABLE,1.56856638782,3.13713277565,0,DATA_UNAVAILABLE,137.5,0,0.831622664617,1
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|normal,37,1,DATA_UNAVAILABLE,3.68069624718,136.185761146,0,DATA_UNAVAILABLE,226.621621622,0,0.107449115845,0.362611643467
LONG_WINNER_120_MIN_PLUS,session_x_EMA50_distance,10:00-17:00|extended,53,1,DATA_UNAVAILABLE,2.47846717457,131.358760252,0,DATA_UNAVAILABLE,209.528301887,0,0.0742848303282,0.298785150271
