variant,drawdown_period,start,trough,recovery,duration_minutes,depth_R,instrument_contribution_R,direction_contribution_R,session_contribution_R
BASELINE,1,2023-01-04T09:15:00+00:00,2023-01-06T14:40:00+00:00,2023-01-09T11:10:00+00:00,7315,-1.54267006243,CNYRUBF:0.882990140319|USDRUBF:-2.42566020275,LONG:-0.532860576598|SHORT:-1.00980948583,Session_B:-2.42566020275|Session_C:0.882990140319
BASELINE,2,2023-01-09T13:55:00+00:00,2023-01-10T12:55:00+00:00,2023-01-12T09:10:00+00:00,4035,-1.74687078986,CNYRUBF:-1.47252648694|USDRUBF:-0.27434430292,SHORT:-1.74687078986,Session_B:-1.98124522154|Session_C:0.234374431688
BASELINE,3,2023-01-12T14:15:00+00:00,2023-01-12T14:15:00+00:00,2023-01-13T19:30:00+00:00,1755,-1.01463565369,USDRUBF:-1.01463565369,SHORT:-1.01463565369,Session_B:-1.01463565369
BASELINE,4,2023-01-16T12:55:00+00:00,2023-02-06T06:40:00+00:00,2023-02-10T19:20:00+00:00,36385,-16.4842468828,CNYRUBF:-12.6215887701|USDRUBF:-3.8626581127,LONG:-9.36764779073|SHORT:-7.1165990921,Session_A:-2.23348553918|Session_B:-12.7725944598|Session_C:-1.47816688383
BASELINE,5,2023-02-13T06:45:00+00:00,2023-02-13T06:45:00+00:00,2023-02-13T09:00:00+00:00,135,-0.978996342995,USDRUBF:-0.978996342995,LONG:-0.978996342995,Session_A:-0.978996342995
BASELINE,6,2023-02-13T09:00:00+00:00,2023-02-15T07:10:00+00:00,2023-02-17T14:15:00+00:00,6075,-5.69956695236,CNYRUBF:-2.30878451078|USDRUBF:-3.39078244158,LONG:-5.69956695236,Session_B:-2.87870292692|Session_C:-2.82086402544
BASELINE,7,2023-02-17T15:45:00+00:00,2023-03-16T11:20:00+00:00,2023-04-04T06:30:00+00:00,65685,-19.5491074683,CNYRUBF:-13.0699024654|USDRUBF:-6.47920500293,LONG:-11.1203278229|SHORT:-8.42877964545,Session_A:-3.13588167163|Session_B:-8.39295868416|Session_C:-8.02026711253
BASELINE,8,2023-04-04T08:40:00+00:00,2023-04-04T10:35:00+00:00,2023-04-06T11:45:00+00:00,3065,-1.80712336835,CNYRUBF:-1.80712336835,LONG:-1.80712336835,Session_B:-1.80712336835
BASELINE,9,2023-04-06T12:45:00+00:00,2023-04-06T12:55:00+00:00,2023-04-07T06:15:00+00:00,1050,-2.83151519107,CNYRUBF:-1.0561960861|USDRUBF:-1.77531910497,LONG:-2.83151519107,Session_B:-2.83151519107
BASELINE,10,2023-04-10T15:20:00+00:00,2023-04-27T18:45:00+00:00,2023-05-04T13:15:00+00:00,34435,-27.4460246355,CNYRUBF:-12.343007099|USDRUBF:-15.1030175365,LONG:-9.96054061454|SHORT:-17.485484021,Session_A:-3.64808584624|Session_B:-10.7967966963|Session_C:-13.001142093
BASELINE,11,2023-05-04T13:30:00+00:00,2023-05-04T13:30:00+00:00,2023-05-04T14:40:00+00:00,70,-1.00907972048,USDRUBF:-1.00907972048,SHORT:-1.00907972048,Session_B:-1.00907972048
BASELINE,12,2023-05-04T14:40:00+00:00,2023-05-05T07:10:00+00:00,2023-05-05T09:45:00+00:00,1145,-1.87569206733,USDRUBF:-1.87569206733,SHORT:-1.87569206733,Session_B:-1.87569206733
BASELINE,13,2023-05-08T06:25:00+00:00,2023-06-28T15:35:00+00:00,2023-08-04T15:05:00+00:00,127240,-36.9674895528,CNYRUBF:-22.0781220269|USDRUBF:-14.8893675259,LONG:-17.4308301863|SHORT:-19.5366593665,Session_A:-6.11246967684|Session_B:-11.8635902374|Session_C:-18.9914296385
BASELINE,14,2023-08-04T16:25:00+00:00,2023-08-08T10:50:00+00:00,2023-08-08T15:05:00+00:00,5680,-2.72994322842,CNYRUBF:-1.74245773509|USDRUBF:-0.987485493328,LONG:-2.72994322842,Session_A:0.312163175029|Session_B:-0.747472486461|Session_C:-2.29463391699
BASELINE,15,2023-08-09T06:05:00+00:00,2023-09-29T07:10:00+00:00,2023-12-21T09:40:00+00:00,193175,-34.5190055318,CNYRUBF:-31.1508426659|USDRUBF:-3.36816286593,LONG:-28.3167916941|SHORT:-6.20221383768,Session_A:-2.87970787495|Session_B:-16.3979884332|Session_C:-15.2413092237
BASELINE,16,2023-12-21T12:55:00+00:00,2023-12-27T17:45:00+00:00,2024-01-09T13:55:00+00:00,27420,-9.89658577895,CNYRUBF:-5.48354380223|USDRUBF:-4.41304197672,LONG:-5.46524298543|SHORT:-4.43134279351,Session_B:-7.65566910529|Session_C:-2.24091667365
BASELINE,17,2024-01-09T15:25:00+00:00,2024-02-28T20:30:00+00:00,2024-06-17T14:35:00+00:00,230350,-46.8584781428,CNYRUBF:-16.3046334216|USDRUBF:-30.5538447212,LONG:-21.0617574642|SHORT:-25.7967206786,Session_A:-3.69012229795|Session_B:-23.0567195917|Session_C:-20.1116362532
BASELINE,18,2024-06-18T07:05:00+00:00,2024-06-18T13:30:00+00:00,2024-06-18T17:00:00+00:00,595,-3.55885041153,CNYRUBF:-2.12156781175|USDRUBF:-1.43728259978,SHORT:-3.55885041153,Session_B:-2.38579020251|Session_C:-1.17306020902
BASELINE,19,2024-06-19T08:15:00+00:00,2024-06-19T11:25:00+00:00,2024-06-19T14:30:00+00:00,375,-1.88081947237,CNYRUBF:-1.03729129572|USDRUBF:-0.843528176653,SHORT:-1.88081947237,Session_B:-1.88081947237
BASELINE,20,2024-06-19T17:25:00+00:00,2024-06-19T18:55:00+00:00,2024-06-20T10:50:00+00:00,1045,-0.624145188251,USDRUBF:-0.624145188252,SHORT:-0.624145188252,Session_C:-0.624145188252
BASELINE,21,2024-06-21T07:55:00+00:00,2024-11-14T08:05:00+00:00,2024-11-27T13:40:00+00:00,229305,-43.1788047022,CNYRUBF:-31.8801180139|USDRUBF:-11.2986866883,LONG:-28.5581672235|SHORT:-14.6206374788,Session_B:-34.8832431959|Session_C:-8.29556150634
BASELINE,22,2024-11-28T16:20:00+00:00,2024-11-29T14:20:00+00:00,2024-11-29T17:15:00+00:00,1495,-1.21919247269,CNYRUBF:-1.03759950456|USDRUBF:-0.181592968132,LONG:-1.00818940419|SHORT:-0.211003068502,Session_B:-0.211003068502|Session_C:-1.00818940419
BASELINE,23,2024-11-29T17:15:00+00:00,2024-11-29T17:15:00+00:00,2024-11-29T18:00:00+00:00,45,-0.443440985489,CNYRUBF:-0.443440985489,SHORT:-0.443440985489,Session_C:-0.443440985489
BASELINE,24,2024-11-29T18:00:00+00:00,2024-12-02T12:55:00+00:00,2024-12-03T20:45:00+00:00,5925,-1.06633079624,CNYRUBF:-1.04334098245|USDRUBF:-0.022989813786,SHORT:-1.06633079624,Session_B:-0.856309742121|Session_C:-0.210021054115
BASELINE,25,2024-12-04T12:25:00+00:00,2024-12-04T15:20:00+00:00,2024-12-05T11:50:00+00:00,1405,-1.43604727216,CNYRUBF:-0.596441368359|USDRUBF:-0.839605903804,SHORT:-1.43604727216,Session_B:-0.839605903804|Session_C:-0.596441368359
