variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
BASELINE,2023-01,53,0.48404304888,-14.0376041683,13,11,-22.0409184102,60.1748841592
BASELINE,2023-02,70,1.26266704983,9.58261031307,13,11,-22.0409184102,60.1748841592
BASELINE,2023-03,67,0.800749694177,-7.63722791807,13,11,-22.0409184102,60.1748841592
BASELINE,2023-04,63,2.00883014543,38.2742929742,13,11,-22.0409184102,60.1748841592
BASELINE,2023-05,66,0.965249125275,-1.25730315591,13,11,-22.0409184102,60.1748841592
BASELINE,2023-06,79,0.776251211947,-10.4384529781,13,11,-22.0409184102,60.1748841592
BASELINE,2023-07,81,1.1585156992,5.83923094929,13,11,-22.0409184102,60.1748841592
BASELINE,2023-08,80,1.32348734114,13.6510248797,13,11,-22.0409184102,60.1748841592
BASELINE,2023-09,77,0.579008419697,-18.7327935558,13,11,-22.0409184102,60.1748841592
BASELINE,2023-10,83,1.45219223858,15.7339223594,13,11,-22.0409184102,60.1748841592
BASELINE,2023-11,86,1.05752538487,2.79133533877,13,11,-22.0409184102,60.1748841592
BASELINE,2023-12,114,1.57926242476,33.2322586526,13,11,-22.0409184102,60.1748841592
BASELINE,2024-01,86,0.906563211768,-4.3196114423,13,11,-22.0409184102,60.1748841592
BASELINE,2024-02,78,0.564160580278,-22.0409184102,13,11,-22.0409184102,60.1748841592
BASELINE,2024-03,95,1.22690742028,11.3188220546,13,11,-22.0409184102,60.1748841592
BASELINE,2024-04,98,0.689318381207,-19.278953943,13,11,-22.0409184102,60.1748841592
BASELINE,2024-05,90,1.41066747268,20.8444185224,13,11,-22.0409184102,60.1748841592
BASELINE,2024-06,65,2.58700371994,36.5747115705,13,11,-22.0409184102,60.1748841592
BASELINE,2024-07,82,0.624899268598,-18.1750671638,13,11,-22.0409184102,60.1748841592
BASELINE,2024-08,85,0.643762286281,-16.9380028497,13,11,-22.0409184102,60.1748841592
BASELINE,2024-09,97,1.07611245874,3.99851933561,13,11,-22.0409184102,60.1748841592
BASELINE,2024-10,82,0.931265221096,-2.72033383237,13,11,-22.0409184102,60.1748841592
BASELINE,2024-11,81,2.92996798267,60.1748841592,13,11,-22.0409184102,60.1748841592
BASELINE,2024-12,103,1.47207134124,21.7500930903,13,11,-22.0409184102,60.1748841592
SESSION_CANDIDATE,2023-01,33,0.300524260389,-13.9471800975,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-02,39,2.25512303916,19.8904953235,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-03,47,0.915495900847,-2.3660134507,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-04,36,3.18837608009,43.9315578945,14,10,-18.1067298267,44.7762636022
