variant,drawdown_period,start,trough,recovery,duration_minutes,depth_R,instrument_contribution_R,direction_contribution_R,session_contribution_R
BASELINE,1,2023-01-04T09:15:00+00:00,2023-01-10T12:55:00+00:00,2023-01-11T18:25:00+00:00,10630,-1.33922300315,CNYRUBF:0.076627713767|USDRUBF:-1.41585071692,LONG:-0.532860576598|SHORT:-0.806362426552,Session_B:-2.45658757516|Session_C:1.11736457201
BASELINE,2,2023-01-12T14:15:00+00:00,2023-01-31T19:40:00+00:00,2023-02-10T19:20:00+00:00,42065,-12.6477514882,CNYRUBF:-8.71625587393|USDRUBF:-3.9314956143,LONG:-6.12104235139|SHORT:-6.52670913684,Session_A:-1.7368414726|Session_B:-7.66678308694|Session_C:-3.24412692869
BASELINE,3,2023-02-13T19:35:00+00:00,2023-02-14T10:25:00+00:00,2023-02-15T09:25:00+00:00,2270,-2.73424128106,CNYRUBF:-1.09608811583|USDRUBF:-1.63815316523,LONG:-2.73424128106,Session_B:-1.63815316523|Session_C:-1.09608811583
BASELINE,4,2023-02-15T11:30:00+00:00,2023-02-15T11:30:00+00:00,2023-02-17T14:15:00+00:00,3045,-1.09326099444,CNYRUBF:-1.09326099444,LONG:-1.09326099444,Session_B:-1.09326099444
BASELINE,5,2023-02-17T15:45:00+00:00,2023-03-20T09:45:00+00:00,2023-04-06T11:45:00+00:00,68880,-17.7560748148,CNYRUBF:-7.54342152858|USDRUBF:-10.2126532862,LONG:-10.6032589402|SHORT:-7.15281587465,Session_A:-2.06963461517|Session_B:-7.67166484319|Session_C:-8.01477535645
BASELINE,6,2023-04-06T12:55:00+00:00,2023-04-06T12:55:00+00:00,2023-04-06T16:10:00+00:00,195,-0.762946245816,USDRUBF:-0.762946245816,LONG:-0.762946245816,Session_B:-0.762946245816
BASELINE,7,2023-04-10T15:20:00+00:00,2024-02-28T15:00:00+00:00,2024-11-25T19:25:00+00:00,857045,-56.4226125007,CNYRUBF:-43.3618819482|USDRUBF:-13.0607305525,LONG:-0.370661276308|SHORT:-56.0519512244,Session_A:-15.848352381|Session_B:7.39551434736|Session_C:-47.9697744671
BASELINE,8,2024-11-26T08:50:00+00:00,2024-11-27T12:10:00+00:00,2024-11-27T13:40:00+00:00,1730,-4.23866204564,CNYRUBF:-3.63605908818|USDRUBF:-0.602602957454,LONG:-4.23866204564,Session_B:-4.23866204564
BASELINE,9,2024-11-28T16:20:00+00:00,2024-11-28T16:20:00+00:00,2024-11-29T17:15:00+00:00,1495,-1.00818940419,USDRUBF:-1.00818940419,LONG:-1.00818940419,Session_C:-1.00818940419
BASELINE,10,2024-12-04T12:25:00+00:00,2024-12-05T11:55:00+00:00,2024-12-05T16:10:00+00:00,1665,-1.84890296051,USDRUBF:-1.84890296051,SHORT:-1.84890296051,Session_B:-1.84890296051
BASELINE,11,2024-12-05T20:30:00+00:00,2024-12-05T20:30:00+00:00,2024-12-06T11:45:00+00:00,915,-1.00679110789,USDRUBF:-1.00679110789,SHORT:-1.00679110789,Session_C:-1.00679110789
BASELINE,12,2024-12-06T15:00:00+00:00,2024-12-06T15:00:00+00:00,2024-12-09T17:45:00+00:00,4485,-0.831242267659,USDRUBF:-0.831242267659,SHORT:-0.831242267659,Session_C:-0.831242267659
BASELINE,13,2024-12-10T10:10:00+00:00,2024-12-10T10:10:00+00:00,2024-12-11T13:25:00+00:00,1635,-1.06790554147,CNYRUBF:-1.06790554147,SHORT:-1.06790554147,Session_B:-1.06790554147
BASELINE,14,2024-12-12T16:35:00+00:00,2024-12-23T14:20:00+00:00,UNRECOVERED,25620,-8.46534626138,CNYRUBF:-4.03858594707|USDRUBF:-4.42676031431,LONG:-3.72296164894|SHORT:-4.74238461244,Session_B:-5.15389609429|Session_C:-3.31145016709
SESSION_CANDIDATE,1,2023-01-04T09:15:00+00:00,2023-01-27T14:00:00+00:00,2023-02-10T15:35:00+00:00,53660,-10.2323213981,CNYRUBF:-5.26005003184|USDRUBF:-4.97227136627,LONG:-5.63310484769|SHORT:-4.59921655042,Session_B:-10.2323213981
SESSION_CANDIDATE,2,2023-02-14T07:15:00+00:00,2023-02-14T10:25:00+00:00,2023-02-15T09:25:00+00:00,1570,-1.63815316523,USDRUBF:-1.63815316523,LONG:-1.63815316523,Session_B:-1.63815316523
SESSION_CANDIDATE,3,2023-02-15T11:30:00+00:00,2023-02-15T11:30:00+00:00,2023-02-17T14:15:00+00:00,3045,-1.09326099444,CNYRUBF:-1.09326099444,LONG:-1.09326099444,Session_B:-1.09326099444
