variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
BASELINE,2023-01,27,0.266925081209,-12.6364625103,11,13,-17.1127678575,30.9501215957
BASELINE,2023-02,33,1.82359679433,13.6304244088,11,13,-17.1127678575,30.9501215957
BASELINE,2023-03,29,0.781987631212,-3.85937647726,11,13,-17.1127678575,30.9501215957
BASELINE,2023-04,29,1.15420550635,3.09850910857,11,13,-17.1127678575,30.9501215957
BASELINE,2023-05,23,0.123872916913,-14.0146139442,11,13,-17.1127678575,30.9501215957
BASELINE,2023-06,32,0.819883575075,-3.66503081716,11,13,-17.1127678575,30.9501215957
BASELINE,2023-07,38,1.37983177916,6.09569680979,11,13,-17.1127678575,30.9501215957
BASELINE,2023-08,36,1.05123862266,1.29316004261,11,13,-17.1127678575,30.9501215957
BASELINE,2023-09,34,0.231450325809,-17.1127678575,11,13,-17.1127678575,30.9501215957
BASELINE,2023-10,30,0.93941925385,-0.980488587946,11,13,-17.1127678575,30.9501215957
BASELINE,2023-11,45,0.898232931536,-2.92401373839,11,13,-17.1127678575,30.9501215957
BASELINE,2023-12,42,1.86499285137,18.1593756863,11,13,-17.1127678575,30.9501215957
BASELINE,2024-01,40,0.563400381187,-9.85113756258,11,13,-17.1127678575,30.9501215957
BASELINE,2024-02,33,0.799694464335,-4.68326366537,11,13,-17.1127678575,30.9501215957
BASELINE,2024-03,39,1.69807761298,14.3140375026,11,13,-17.1127678575,30.9501215957
BASELINE,2024-04,37,0.842785802298,-4.02814033577,11,13,-17.1127678575,30.9501215957
BASELINE,2024-05,34,1.61387110908,12.8410865415,11,13,-17.1127678575,30.9501215957
BASELINE,2024-06,22,2.47706786598,12.9325530121,11,13,-17.1127678575,30.9501215957
BASELINE,2024-07,37,0.619389123441,-9.68721919621,11,13,-17.1127678575,30.9501215957
BASELINE,2024-08,35,0.710177254658,-6.03843412909,11,13,-17.1127678575,30.9501215957
BASELINE,2024-09,45,1.54508539334,12.6791436218,11,13,-17.1127678575,30.9501215957
BASELINE,2024-10,36,0.836442857149,-3.0661282537,11,13,-17.1127678575,30.9501215957
BASELINE,2024-11,33,3.28820467716,30.9501215957,11,13,-17.1127678575,30.9501215957
BASELINE,2024-12,41,1.94634953495,17.2125732091,11,13,-17.1127678575,30.9501215957
SESSION_CANDIDATE,2023-01,16,0.262928272336,-8.77285868101,14,10,-14.3582611794,22.2955729024
SESSION_CANDIDATE,2023-02,17,3.28715796992,14.2980680324,14,10,-14.3582611794,22.2955729024
SESSION_CANDIDATE,2023-03,18,0.928231927892,-0.77742896727,14,10,-14.3582611794,22.2955729024
SESSION_CANDIDATE,2023-04,17,1.50344460478,6.10228089473,14,10,-14.3582611794,22.2955729024
SESSION_CANDIDATE,2023-05,11,0.266800501384,-4.41376165161,14,10,-14.3582611794,22.2955729024
