variant,dimension,period,contribution_R,share_of_positive_R
BASELINE,trade,TOP_1,16.4564702653,0.0255810949338
BASELINE,trade,TOP_5,51.8148501632,0.0805446477669
BASELINE,year,2023,329.538225516,0.512257397566
BASELINE,year,2024,313.767712244,0.487742602434
BASELINE,month,2023-01,8.56817336733,0.0133189713702
BASELINE,month,2023-02,15.884276144,0.0246916361433
BASELINE,month,2023-03,16.8494089331,0.0261919064385
BASELINE,month,2023-04,53.021692173,0.0824206478765
BASELINE,month,2023-05,32.9416886783,0.0512068780105
BASELINE,month,2023-06,19.5310132982,0.0303603808885
BASELINE,month,2023-07,20.5320474982,0.0319164588621
BASELINE,month,2023-08,29.3194353906,0.0455761927096
BASELINE,month,2023-09,20.6104975618,0.032038407159
BASELINE,month,2023-10,35.3243533315,0.0549106595448
BASELINE,month,2023-11,25.506473592,0.039649056685
BASELINE,month,2023-12,51.4491655477,0.0799762018782
BASELINE,month,2024-01,29.1985120269,0.0453882209274
BASELINE,month,2024-02,9.83293566662,0.0152850068521
BASELINE,month,2024-03,26.3828440263,0.0410113485321
BASELINE,month,2024-04,21.1809301889,0.032925127759
BASELINE,month,2024-05,37.8425321146,0.0588250937748
BASELINE,month,2024-06,37.9329938945,0.0589657139286
BASELINE,month,2024-07,14.5142156749,0.0225619177797
BASELINE,month,2024-08,15.8124207906,0.0245799391277
BASELINE,month,2024-09,20.5928969912,0.0320110475941
BASELINE,month,2024-10,21.1765227046,0.0329182764555
BASELINE,month,2024-11,46.8780352003,0.0728705153314
BASELINE,month,2024-12,32.4228729646,0.0504003943714
SESSION_CANDIDATE,trade,TOP_1,16.4564702653,0.0325212334836
SESSION_CANDIDATE,trade,TOP_5,50.0953734527,0.098998345954
SESSION_CANDIDATE,year,2023,251.765255892,0.497537840006
SESSION_CANDIDATE,year,2024,254.257071754,0.502462159994
SESSION_CANDIDATE,month,2023-01,2.86284174661,0.00565754036967
SESSION_CANDIDATE,month,2023-02,15.1884176078,0.0300153111395
SESSION_CANDIDATE,month,2023-03,15.5776979769,0.0307846059864
SESSION_CANDIDATE,month,2023-04,45.7831777134,0.0904765960159
SESSION_CANDIDATE,month,2023-05,17.9555626964,0.035483736024
SESSION_CANDIDATE,month,2023-06,17.2551706292,0.0340996230531
SESSION_CANDIDATE,month,2023-07,12.7868166749,0.025269273659
SESSION_CANDIDATE,month,2023-08,23.8296730517,0.0470921375397
SESSION_CANDIDATE,month,2023-09,12.6953594161,0.0250885360636
SESSION_CANDIDATE,month,2023-10,29.6400468412,0.0585745830211
SESSION_CANDIDATE,month,2023-11,13.3700156531,0.0264217899539
SESSION_CANDIDATE,month,2023-12,44.8204758843,0.0885741071799
SESSION_CANDIDATE,month,2024-01,27.0366808762,0.0534298180121
SESSION_CANDIDATE,month,2024-02,8.13741296467,0.0160811342111
SESSION_CANDIDATE,month,2024-03,24.9610286675,0.0493279195478
SESSION_CANDIDATE,month,2024-04,19.426166728,0.0383899398637
SESSION_CANDIDATE,month,2024-05,33.586924233,0.0663743917966
SESSION_CANDIDATE,month,2024-06,23.072472281,0.0455957593578
SESSION_CANDIDATE,month,2024-07,12.037500867,0.02378847772
SESSION_CANDIDATE,month,2024-08,11.0502954746,0.0218375650063
SESSION_CANDIDATE,month,2024-09,17.3139758791,0.0342158338342
SESSION_CANDIDATE,month,2024-10,14.4922398729,0.0286395265211
SESSION_CANDIDATE,month,2024-11,34.0855819475,0.0673598378674
SESSION_CANDIDATE,month,2024-12,29.0567919628,0.0574219562563
SESSION_EMA50_NORMAL,trade,TOP_1,10.8641061284,0.308838786455
SESSION_EMA50_NORMAL,trade,TOP_5,19.976236194,0.567873368612
SESSION_EMA50_NORMAL,year,2023,26.6218523035,0.75679125935
SESSION_EMA50_NORMAL,year,2024,8.55542012747,0.24320874065
SESSION_EMA50_NORMAL,month,2023-01,0,0
SESSION_EMA50_NORMAL,month,2023-02,0.0799881990307,0.00227386018025
SESSION_EMA50_NORMAL,month,2023-03,3.37686044187,0.0959955166647
SESSION_EMA50_NORMAL,month,2023-04,12.8270276138,0.36463963029
SESSION_EMA50_NORMAL,month,2023-05,0,0
SESSION_EMA50_NORMAL,month,2023-06,0,0
SESSION_EMA50_NORMAL,month,2023-07,3.39239374762,0.0964370888695
SESSION_EMA50_NORMAL,month,2023-08,2.91302612154,0.0828098917348
SESSION_EMA50_NORMAL,month,2023-09,1.22091911481,0.0347076117742
SESSION_EMA50_NORMAL,month,2023-10,0,0
SESSION_EMA50_NORMAL,month,2023-11,0,0
SESSION_EMA50_NORMAL,month,2023-12,2.81163706483,0.0799276598362
SESSION_EMA50_NORMAL,month,2024-01,4.02100700457,0.114306958064
SESSION_EMA50_NORMAL,month,2024-02,0.0758392769032,0.00215591692198
SESSION_EMA50_NORMAL,month,2024-03,0,0
SESSION_EMA50_NORMAL,month,2024-04,0,0
SESSION_EMA50_NORMAL,month,2024-05,0,0
SESSION_EMA50_NORMAL,month,2024-06,0.803921256541,0.0228534278238
SESSION_EMA50_NORMAL,month,2024-07,0,0
SESSION_EMA50_NORMAL,month,2024-08,2.22386854254,0.0632189021163
SESSION_EMA50_NORMAL,month,2024-09,0,0
SESSION_EMA50_NORMAL,month,2024-10,0,0
SESSION_EMA50_NORMAL,month,2024-11,1.12314885499,0.0319282530274
SESSION_EMA50_NORMAL,month,2024-12,0.307635191924,0.00874528269715
