variant,weekday,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,Monday,157,1.21501937928,0.128958670634,20.2465112895,-17.0578840733,1.18692982099,0.312101910828
BASELINE,Tuesday,146,0.774382556446,-0.144668852276,-21.1216524323,-43.9413847763,-0.480677897155,0.27397260274
BASELINE,Wednesday,165,1.16841595798,0.0888649726315,14.6627204842,-25.1065709549,0.584019239845,0.30303030303
BASELINE,Thursday,166,1.10054813654,0.0631764752068,10.4872948843,-22.6634170529,0.462741115334,0.301204819277
BASELINE,Friday,194,1.26372624765,0.135062580288,26.2021405758,-15.3448778666,1.70754963341,0.314432989691
SESSION_FILTER,Monday,99,1.40764315435,0.232185701378,22.9863844364,-11.0606502394,2.07821275775,0.313131313131
SESSION_FILTER,Tuesday,93,0.975923988656,-0.0141948178846,-1.32011806327,-17.6858493599,-0.0746426160489,0.258064516129
SESSION_FILTER,Wednesday,109,1.34544228217,0.176411793009,19.228885438,-19.8601987585,0.968212134824,0.311926605505
SESSION_FILTER,Thursday,102,1.30444312427,0.185578604701,18.9290176795,-22.2252610295,0.851689330188,0.294117647059
SESSION_FILTER,Friday,132,1.50753792932,0.25043885768,33.0579292138,-7.29173061725,4.53361910211,0.325757575758
